"state_abb","policy_long","policy","start_date","end_date","exp_start_date","exp_end_date","Prop_Reduction_Mild_Trans","Prop_Reduction_Severe_Trans","Prop_Reduction_Death","Country.Region","state","Details","Category"
"AK","State-Mandated School Closures","S",2020-03-20,NA,NA,NA,0.2,0,0,"United States","Alaska",NA,NA
"AL","State-Mandated School Closures","S",2020-03-18,NA,NA,NA,0.2,0,0,"United States","Alabama",NA,NA
"AR","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Arkansas",NA,NA
"AZ","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Arizona",NA,NA
"CA","State-Mandated School Closures","S",2020-03-19,NA,NA,NA,0.2,0,0,"United States","California",NA,NA
"CO","State-Mandated School Closures","S",2020-03-23,NA,NA,NA,0.2,0,0,"United States","Colorado",NA,NA
"CT","State-Mandated School Closures","S",2020-03-17,NA,NA,NA,0.2,0,0,"United States","Connecticut",NA,NA
"DC","State-Mandated School Closures","S",2020-03-20,NA,NA,NA,0.2,0,0,"United States","District of Columbia",NA,NA
"DE","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Delaware",NA,NA
"FL","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Florida",NA,NA
"GA","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Georgia",NA,NA
"HI","State-Mandated School Closures","S",2020-03-15,NA,NA,NA,0.2,0,0,"United States","Hawaii",NA,NA
"IA","State-Mandated School Closures","S",2020-03-15,NA,NA,NA,0.2,0,0,"United States","Iowa",NA,NA
"ID","State-Mandated School Closures","S",2020-03-25,NA,NA,NA,0.2,0,0,"United States","Idaho",NA,NA
"IL","State-Mandated School Closures","S",2020-03-13,NA,NA,NA,0.2,0,0,"United States","Illinois",NA,NA
"IN","State-Mandated School Closures","S",2020-03-19,NA,NA,NA,0.2,0,0,"United States","Indiana",NA,NA
"KS","State-Mandated School Closures","S",2020-03-17,NA,NA,NA,0.2,0,0,"United States","Kansas",NA,NA
"KY","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Kentucky",NA,NA
