"","X.1","X","Longitude","Latitude","OBJECTID","HOSPITAL_NAME","HOSPITAL_TYPE","NUM_STAFFED_BEDS","NUM_LICENSED_BEDS","NUM_ICU_BEDS","BED_UTILIZATION","Potential_Increase_In_Bed_Capac","Latitude.1","Longitude.1","Accuracy.Score","Accuracy.Type","Number","Street","City","State","County","Zip","Country","Source","text_tip","AVAIL_BEDS","AVAIL_ICU_BEDS"
"1",1,1,-112.0661569,33.4954978,1,"Phoenix VA Health Care Sys ","VA Hospital",62,62,NA,NA,0,33.49456,-112.066244,0.99,"rooftop","601","E Indian School Rd","Phoenix","AZ","Maricopa County",85012,"US","Maricopa","<b>Phoenix VA Health Care Sys </b><br>Maricopa County<br>Num Beds: 62<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"2",2,2,-110.9658852,32.1812634,2,"Southern Arizona VA Health Care Sys","VA Hospital",NA,NA,NA,NA,0,32.181438,-110.968277,1,"nearest_street","3600","I-19 Bus","Tucson","AZ","Pima County",85713,"US","TIGER/Line® dataset from the US Census Bureau","<b>Southern Arizona VA Health Care Sys</b><br>Pima County<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"3",3,3,-119.7797421,36.7733235,3,"VA Central California Health Care Sys","VA Hospital",NA,NA,NA,NA,0,36.77255,-119.779263,0.99,"rooftop","2615","E Clinton Ave","Fresno","CA","Fresno County",93703,"US","Fresno County","<b>VA Central California Health Care Sys</b><br>Fresno County<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"4",4,4,-72.9576103,41.2844004,4,"VA Connecticut Healthcare Sys - West Haven Campus ","VA Hospital",216,216,NA,NA,0,41.284576,-72.957038,0.99,"rooftop","941","Campbell Ave","West Haven","CT","New Haven County",6516,"US","Connecticut Geospatial Information Systems Council","<b>VA Connecticut Healthcare Sys - West Haven Campus </b><br>New Haven County<br>Num Beds: 216<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"5",5,5,-75.6065325,39.7402063,5,"Wilmington VA Medical Ctr","VA Hospital",NA,NA,NA,NA,0,39.739677,-75.607179,0.99,"rooftop","1601","Kirkwood Hwy","Wilmington","DE","New Castle County",19805,"US","New Castle","<b>Wilmington VA Medical Ctr</b><br>New Castle County<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"6",6,6,-77.0111948,38.9306823,6,"Washington DC VA Medical Ctr","VA Hospital",NA,NA,NA,NA,0,38.929401,-77.011194,0.98,"rooftop","50","Irving St NW","Washington","DC","District of Columbia",20422,"US","City of Washington","<b>Washington DC VA Medical Ctr</b><br>District of Columbia<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"7",7,7,-82.345254,29.6369889,7,"North Florida/South Georgia Veterans Health Sys - Malcom Randall VA Medical Ctr","VA Hospital",278,278,NA,NA,0,29.637658,-82.344604,0.99,"rooftop","1601","SW Archer Rd","Gainesville","FL","Alachua County",32608,"US","Alachua","<b>North Florida/South Georgia Veterans Health Sys - Malcom Randall VA Medical Ctr</b><br>Alachua County<br>Num Beds: 278<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"8",8,8,-116.1901845,43.621035,8,"Boise VA Medical Ctr","VA Hospital",NA,NA,NA,NA,0,43.620556,-116.189703,0.99,"rooftop","500","W Fort St","Boise","ID","Ada County",83702,"US","City of Boise","<b>Boise VA Medical Ctr</b><br>Ada County<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"9",9,9,-93.7216826,32.5031008,9,"Overton Brooks VA Medical Ctr","VA Hospital",NA,NA,NA,NA,0,32.502223,-93.720991,0.97,"nearest_street","500","Veterans Way","Shreveport","LA","Caddo Parish",71101,"US","TIGER/Line® dataset from the US Census Bureau","<b>Overton Brooks VA Medical Ctr</b><br>Caddo Parish<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"10",10,10,-90.1053085,32.3254871,10,"Merit Health River Oaks ","Short Term Acute Care Hospital",160,160,10,0.296567,0,32.325543,-90.10527,1,"rooftop","1030","River Oaks Dr","Flowood","MS","Rankin County",39232,"US","City of Pelahatchie","<b>Merit Health River Oaks </b><br>Rankin County<br>Num Beds: 160<br>Num ICU Beds: 10<br>Bed Util: 0.3<br>Pot. Bed Increases: 0",113,7
"11",11,11,-92.3288487,38.9372354,11,"Harry S Truman Memorial Veterans Hospital","VA Hospital",89,89,NA,NA,0,38.937274,-92.328882,1,"rooftop","800","Hospital Dr","Columbia","MO","Boone County",65201,"US","City of Columbia","<b>Harry S Truman Memorial Veterans Hospital</b><br>Boone County<br>Num Beds: 89<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"12",12,12,-106.5816425,35.0551931,12,"New Mexico VA Health Care Sys - Raymond G Murphy VA Medical Ctr","VA Hospital",163,163,NA,NA,0,35.055318,-106.582451,0.99,"rooftop","1501","San Pedro Dr SE","Albuquerque","NM","Bernalillo County",87108,"US","Albuquerque","<b>New Mexico VA Health Care Sys - Raymond G Murphy VA Medical Ctr</b><br>Bernalillo County<br>Num Beds: 163<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"13",13,13,-73.7744404,42.6496127,13,"Albany Stratton VA Medical Ctr","VA Hospital",67,67,NA,NA,0,42.64931,-73.7748,0.99,"rooftop","112","Holland Ave","Albany","NY","Albany County",12208,"US","NYS GIS Program Office, State Geographic Information Officer (GIO)","<b>Albany Stratton VA Medical Ctr</b><br>Albany County<br>Num Beds: 67<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"14",14,14,-73.9064046,40.8674032,14,"James J Peters VA Medical Ctr","VA Hospital",NA,NA,NA,NA,0,40.86783,-73.907372,0.99,"rooftop","2555","Sedgwick Ave","Bronx","NY","Bronx County",10463,"US","City of New York","<b>James J Peters VA Medical Ctr</b><br>Bronx County<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"15",15,15,-96.77453,46.9059328,15,"Fargo VA Health Care Sys","VA Hospital",NA,NA,NA,NA,0,46.90609,-96.775037,0.99,"rooftop","2101","Elm St N","Fargo","ND","Cass County",58102,"US","City of Fargo","<b>Fargo VA Health Care Sys</b><br>Cass County<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"16",16,16,-123.3650574,43.2270692,16,"Roseburg VA Health Care Sys","VA Hospital",NA,NA,NA,NA,0,43.227307,-123.364294,0.99,"rooftop","777","NW Garden Valley Blvd","Roseburg","OR","Douglas County",97471,"US","Douglas","<b>Roseburg VA Health Care Sys</b><br>Douglas County<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"17",17,17,-79.9608074,40.4462661,17,"VA Pittsburgh Healthcare Sys - University Drive","VA Hospital",146,146,NA,NA,0,40.44581,-79.961561,0.99,"rooftop","3735","Sutherland Dr","Pittsburgh","PA","Allegheny County",15213,"US","Allegheny","<b>VA Pittsburgh Healthcare Sys - University Drive</b><br>Allegheny County<br>Num Beds: 146<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 0",NA,NA
"18",18,18,-86.451938,32.463778,18,"Prattville Baptist Hospital","Short Term Acute Care Hospital",55,85,6,0.623113,30,32.463516,-86.451778,1,"rooftop","124","S Memorial Dr","Prattville","AL","Autauga County",36067,"US","Autauga","<b>Prattville Baptist Hospital</b><br>Autauga County<br>Num Beds: 55<br>Num ICU Beds: 6<br>Bed Util: 0.62<br>Pot. Bed Increases: 30",21,2
"19",19,19,-87.8883067,30.5190265,19,"Thomas Hospital","Short Term Acute Care Hospital",129,162,10,0.770054,33,30.517803,-87.888378,0.98,"rooftop","765","Northrop St","Fairhope","AL","Baldwin County",36532,"US","Baldwin","<b>Thomas Hospital</b><br>Baldwin County<br>Num Beds: 129<br>Num ICU Beds: 10<br>Bed Util: 0.77<br>Pot. Bed Increases: 33",30,2
"20",20,20,-87.785172,30.903945,20,"North Baldwin Infirmary","Short Term Acute Care Hospital",55,70,4,0.285131,15,30.903485,-87.785777,0.99,"rooftop","2004","Medical Center Dr","Bay Minette","AL","Baldwin County",36507,"US","Baldwin","<b>North Baldwin Infirmary</b><br>Baldwin County<br>Num Beds: 55<br>Num ICU Beds: 4<br>Bed Util: 0.29<br>Pot. Bed Increases: 15",39,3
"21",21,21,-85.1563565,31.8887641,21,"Medical Center Barbour","Short Term Acute Care Hospital",30,74,5,0.43064,44,31.887983,-85.157145,0.97,"nearest_street","826","W Washington St","Eufaula","AL","Barbour County",36027,"US","TIGER/Line® dataset from the US Census Bureau","<b>Medical Center Barbour</b><br>Barbour County<br>Num Beds: 30<br>Num ICU Beds: 5<br>Bed Util: 0.43<br>Pot. Bed Increases: 44",17,3
"22",22,22,-87.1481336,32.9512234,22,"Bibb Medical Ctr","Short Term Acute Care Hospital",25,35,NA,0.376219,10,32.951197,-87.147781,0.99,"nearest_street","98","Pierson Ave","Centreville","AL","Bibb County",35042,"US","TIGER/Line® dataset from the US Census Bureau","<b>Bibb Medical Ctr</b><br>Bibb County<br>Num Beds: 25<br>Num ICU Beds: NA<br>Bed Util: 0.38<br>Pot. Bed Increases: 10",16,NA
"23",23,23,-86.4949953,33.9333028,23,"St Vincents Blount","Critical Access Hospital",25,40,6,0.499069,15,33.933354,-86.495115,0.99,"nearest_street","163","Gilbreath Dr","Oneonta","AL","Blount County",35121,"US","TIGER/Line® dataset from the US Census Bureau","<b>St Vincents Blount</b><br>Blount County<br>Num Beds: 25<br>Num ICU Beds: 6<br>Bed Util: 0.5<br>Pot. Bed Increases: 15",13,3
"24",24,24,-85.713048,32.146119,24,"Bullock County Hospital","Short Term Acute Care Hospital",30,61,NA,0.212877,31,32.146164,-85.713158,1,"nearest_street","207","US Hwy 82","Union Springs","AL","Bullock County",36089,"US","TIGER/Line® dataset from the US Census Bureau","<b>Bullock County Hospital</b><br>Bullock County<br>Num Beds: 30<br>Num ICU Beds: NA<br>Bed Util: 0.21<br>Pot. Bed Increases: 31",24,NA
"25",25,25,-86.64627,31.8290939,25,"Regional Medical Center of Central Alabama ","Short Term Acute Care Hospital",44,72,7,0.183251,28,31.829041,-86.644801,0.97,"nearest_street","50","L V Stabler Dr","Greenville","AL","Butler County",36037,"US","TIGER/Line® dataset from the US Census Bureau","<b>Regional Medical Center of Central Alabama </b><br>Butler County<br>Num Beds: 44<br>Num ICU Beds: 7<br>Bed Util: 0.18<br>Pot. Bed Increases: 28",36,6
"26",26,26,-85.825,33.6676,26,"Stringfellow Memorial Hospital","Short Term Acute Care Hospital",125,125,6,0.22229,0,33.667506,-85.825463,0.99,"rooftop","1730","Leighton Ave","Anniston","AL","Calhoun County",36207,"US","Calhoun County","<b>Stringfellow Memorial Hospital</b><br>Calhoun County<br>Num Beds: 125<br>Num ICU Beds: 6<br>Bed Util: 0.22<br>Pot. Bed Increases: 0",97,5
"27",27,27,-85.8228352,33.6563953,27,"Regional Medical Center Anniston ","Short Term Acute Care Hospital",250,323,18,0.586751,73,33.657514,-85.822956,0.98,"rooftop","1003","Christine Ave","Anniston","AL","Calhoun County",36207,"US","Calhoun County","<b>Regional Medical Center Anniston </b><br>Calhoun County<br>Num Beds: 250<br>Num ICU Beds: 18<br>Bed Util: 0.59<br>Pot. Bed Increases: 73",103,7
"28",28,28,-85.1685934,32.8246478,28,"East Alabama Medical Center - Lanier","Short Term Acute Care Hospital",NA,115,NA,NA,115,32.825727,-85.169563,0.97,"nearest_street","6","Medical Park","Valley","AL","Chambers County",36854,"US","TIGER/Line® dataset from the US Census Bureau","<b>East Alabama Medical Center - Lanier</b><br>Chambers County<br>Num Beds: NA<br>Num ICU Beds: NA<br>Bed Util: NA<br>Pot. Bed Increases: 115",NA,NA
"29",29,29,-85.6513,34.1627,29,"Cherokee Medical Ctr","Short Term Acute Care Hospital",45,60,NA,0.242532,15,34.162779,-85.651822,0.98,"nearest_street","353","Northwood Dr","Centre","AL","Cherokee County",35960,"US","TIGER/Line® dataset from the US Census Bureau","<b>Cherokee Medical Ctr</b><br>Cherokee County<br>Num Beds: 45<br>Num ICU Beds: NA<br>Bed Util: 0.24<br>Pot. Bed Increases: 15",34,NA
