"","cve_ent","poblacion","nombre","X12.01.2020","X13.01.2020","X14.01.2020","X15.01.2020","X16.01.2020","X17.01.2020","X18.01.2020","X19.01.2020","X20.01.2020","X21.01.2020","X22.01.2020","X23.01.2020","X24.01.2020","X25.01.2020","X26.01.2020","X27.01.2020","X28.01.2020","X29.01.2020","X30.01.2020","X31.01.2020","X01.02.2020","X02.02.2020","X03.02.2020","X04.02.2020","X05.02.2020","X06.02.2020","X07.02.2020","X08.02.2020","X09.02.2020","X10.02.2020","X11.02.2020","X12.02.2020","X13.02.2020","X14.02.2020","X15.02.2020","X16.02.2020","X17.02.2020","X18.02.2020","X19.02.2020","X20.02.2020","X21.02.2020","X22.02.2020","X23.02.2020","X24.02.2020","X25.02.2020","X26.02.2020","X27.02.2020","X28.02.2020","X29.02.2020","X01.03.2020","X02.03.2020","X03.03.2020","X04.03.2020","X05.03.2020","X06.03.2020","X07.03.2020","X08.03.2020","X09.03.2020","X10.03.2020","X11.03.2020","X12.03.2020","X13.03.2020","X14.03.2020","X15.03.2020","X16.03.2020","X17.03.2020","X18.03.2020","X19.03.2020","X20.03.2020","X21.03.2020","X22.03.2020","X23.03.2020","X24.03.2020","X25.03.2020","X26.03.2020","X27.03.2020","X28.03.2020","X29.03.2020","X30.03.2020","X31.03.2020","X01.04.2020","X02.04.2020","X03.04.2020","X04.04.2020","X05.04.2020","X06.04.2020","X07.04.2020","X08.04.2020","X09.04.2020","X10.04.2020","X11.04.2020","X12.04.2020","X13.04.2020","X14.04.2020","X15.04.2020","X16.04.2020","X17.04.2020","X18.04.2020","X19.04.2020","X20.04.2020","X21.04.2020","X22.04.2020","X23.04.2020","X24.04.2020","X25.04.2020","X26.04.2020","X27.04.2020","X28.04.2020","X29.04.2020","X30.04.2020","X01.05.2020","X02.05.2020","X03.05.2020","X04.05.2020","X05.05.2020","X06.05.2020","X07.05.2020","X08.05.2020","X09.05.2020","X10.05.2020","X11.05.2020","X12.05.2020","X13.05.2020","X14.05.2020","X15.05.2020","X16.05.2020","X17.05.2020","X18.05.2020","X19.05.2020","X20.05.2020","X21.05.2020","X22.05.2020","X23.05.2020","X24.05.2020","X25.05.2020","X26.05.2020","X27.05.2020","X28.05.2020","X29.05.2020","X30.05.2020","X31.05.2020","X01.06.2020","X02.06.2020","X03.06.2020","X04.06.2020","X05.06.2020","X06.06.2020","X07.06.2020","X08.06.2020","X09.06.2020","X10.06.2020","X11.06.2020","X12.06.2020","X13.06.2020","X14.06.2020","X15.06.2020","X16.06.2020","X17.06.2020","X18.06.2020","X19.06.2020","X20.06.2020","X21.06.2020","X22.06.2020","X23.06.2020","X24.06.2020","X25.06.2020","X26.06.2020","X27.06.2020","X28.06.2020","X29.06.2020","X30.06.2020","X01.07.2020","X02.07.2020","X03.07.2020","X04.07.2020","X05.07.2020","X06.07.2020","X07.07.2020","X08.07.2020","X09.07.2020","X10.07.2020","X11.07.2020","X12.07.2020","X13.07.2020","X14.07.2020","X15.07.2020","X16.07.2020","X17.07.2020","X18.07.2020","X19.07.2020","X20.07.2020","X21.07.2020","X22.07.2020","X23.07.2020","X24.07.2020","X25.07.2020","X26.07.2020"
"1",1,1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,1,1,4,0,17,3,6,5,3,4,1,0,0,2,0,2,4,1,1,0,3,1,2,7,2,12,7,15,12,3,17,13,11,21,11,1,7,17,30,18,27,4,4,3,49,12,16,24,14,0,4,11,43,14,23,27,3,7,36,20,27,29,24,17,8,39,39,36,45,42,15,20,63,60,60,44,60,24,26,73,66,63,63,60,33,24,79,58,73,63,69,15,26,68,53,50,69,56,17,11,39,39,79,70,67,11,8,93,120,53,43,77,22,32,82,83,82,86,71,22,13,50,92,41,20,0,1,0
"2",2,3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,6,3,2,10,9,7,11,16,7,21,29,44,66,30,38,25,20,70,41,58,58,48,33,44,81,103,102,84,98,46,44,110,107,91,111,85,44,68,112,97,109,89,91,78,91,144,140,118,123,142,75,69,130,125,126,113,144,70,72,215,155,170,225,208,66,79,136,134,126,117,115,84,71,152,167,159,146,152,100,68,169,173,145,145,108,88,91,174,186,150,142,175,84,62,209,174,169,156,170,110,61,205,163,169,188,155,70,76,205,177,144,151,108,47,53,139,151,129,133,89,62,75,124,90,62,29,12,0,0
"3",3,804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,2,4,4,1,13,7,5,11,16,5,5,23,24,24,22,9,7,5,14,17,5,9,6,3,8,7,12,4,9,13,5,7,10,4,4,14,2,9,6,7,12,10,11,9,6,10,7,16,13,8,5,11,3,11,15,17,8,15,7,9,16,14,22,18,22,13,8,36,18,16,22,22,14,20,53,38,47,29,25,22,21,52,30,47,48,19,35,17,33,47,53,54,42,45,35,65,58,75,70,65,56,47,88,112,92,118,109,39,48,131,116,127,117,90,59,37,142,90,79,51,60,0,0
"4",4,1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,2,1,0,3,2,0,0,2,1,5,2,2,4,3,4,3,6,2,5,7,6,7,4,6,8,4,6,8,8,6,11,11,18,9,16,11,14,14,7,24,20,16,12,15,15,15,17,21,24,16,25,17,14,34,35,31,29,20,19,8,39,24,19,39,40,24,23,42,59,69,76,36,27,22,98,82,102,88,100,54,40,105,91,85,90,96,52,47,70,92,70,92,59,31,36,78,93,89,94,107,47,54,101,61,112,103,86,41,46,97,92,72,51,40,1,0
"5",7,5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,5,1,0,2,2,4,2,5,1,1,5,2,6,3,3,1,0,5,5,6,3,10,4,7,9,9,11,15,13,9,12,21,9,19,13,18,9,14,31,27,35,34,34,23,21,32,46,67,66,81,40,34,93,65,74,105,99,56,50,146,132,125,142,126,70,70,146,144,114,109,129,70,73,140,129,110,96,107,68,60,96,91,113,95,82,53,40,95,86,98,88,84,42,44,69,54,62,52,63,43,23,43,43,33,31,40,21,24,36,25,27,21,30,10,27,31,17,11,10,3,0,0
"6",8,3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,1,1,0,1,2,2,2,2,5,3,5,7,6,5,9,12,11,7,10,8,12,13,9,18,14,23,27,16,20,23,42,36,36,54,44,37,24,55,58,63,67,45,46,28,56,74,69,59,53,38,47,71,48,78,72,61,54,49,78,59,61,83,65,62,30,74,58,55,48,74,23,33,66,75,48,44,64,28,26,70,54,56,54,42,22,23,46,59,43,53,52,30,22,48,45,47,37,53,28,18,62,62,79,67,45,25,24,68,57,56,40,67,36,19,81,57,50,32,28,18,7,18,24,28,4,3,0,0
"7",9,9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,3,12,17,24,21,10,26,34,31,39,24,12,11,25,35,25,50,39,49,35,77,51,55,71,79,57,55,118,127,125,127,147,110,114,268,247,226,250,327,197,185,446,432,399,344,508,247,222,495,535,565,531,327,321,292,718,588,681,704,788,391,354,797,802,878,792,921,585,359,1059,1002,1019,942,890,461,333,1007,893,966,824,903,526,395,1038,897,959,909,929,495,370,993,976,921,855,905,377,314,894,963,905,889,857,409,254,806,859,788,804,853,349,279,917,868,940,824,890,341,210,920,901,869,695,796,344,228,997,826,1113,1029,1045,554,208,935,699,663,348,107,6,0
"8",5,3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,3,4,0,0,1,6,0,3,4,4,8,18,14,19,19,21,11,4,25,8,16,6,11,9,6,15,16,16,5,9,6,9,9,19,14,9,13,3,4,24,16,13,19,15,5,5,26,31,34,23,18,9,15,29,29,17,32,35,17,12,61,47,42,64,45,35,17,47,54,69,54,88,37,33,100,76,68,75,88,38,41,138,128,119,125,133,57,43,163,184,178,204,203,116,63,270,324,247,198,243,175,108,320,289,304,230,311,189,137,283,321,285,270,222,77,80,363,336,258,265,269,134,86,252,258,166,163,63,0,0
"9",6,785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,2,1,1,1,1,1,3,2,1,0,2,0,0,3,1,0,2,3,5,1,1,2,3,1,2,6,4,12,4,3,5,7,7,8,4,7,4,7,7,7,4,7,8,6,4,11,11,11,8,11,11,4,12,14,12,16,13,11,8,15,24,18,18,27,11,15,21,23,20,24,27,17,13,21,22,36,18,34,13,14,32,36,34,37,58,27,22,52,56,34,49,46,43,34,57,57,68,46,27,0,0
"10",10,1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,2,0,2,10,4,4,2,2,2,5,8,5,3,8,2,6,6,7,3,3,5,11,10,2,1,6,11,10,12,16,3,8,15,7,23,20,23,5,15,27,21,28,23,33,38,12,40,38,29,43,81,22,20,72,69,50,59,54,17,19,69,92,72,82,53,14,15,71,107,94,70,89,52,37,64,87,110,64,75,19,20,63,65,82,115,67,26,19,101,84,84,79,81,27,13,103,105,78,74,52,2,0
