countyFIPS,msa_code,msa_name
1001,5240,"Montgomery, AL"
1003,5160,"Mobile, AL"
1009,1000,"Birmingham, AL"
1015,450,"Anniston, AL"
1033,2650,"Florence, AL"
1045,2180,"Dothan, AL"
1051,5240,"Montgomery, AL"
1055,2880,"Gadsden, AL"
1069,2180,"Dothan, AL"
1073,1000,"Birmingham, AL"
1077,2650,"Florence, AL"
1079,2030,"Decatur, AL"
1081,580,"Auburn-Opelika, AL"
1083,3440,"Huntsville, AL"
1089,3440,"Huntsville, AL"
1097,5160,"Mobile, AL"
1101,5240,"Montgomery, AL"
1103,2030,"Decatur, AL"
1113,1800,"Columbus, GA-AL"
1115,1000,"Birmingham, AL"
1117,1000,"Birmingham, AL"
1125,8600,"Tuscaloosa, AL"
2020,380,"Anchorage, AK"
4005,2620,"Flagstaff, AZ-UT"
4013,6200,"Phoenix-Mesa, AZ"
4015,4120,"Las Vegas, NV-AZ"
4019,8520,"Tucson, AZ"
4021,6200,"Phoenix-Mesa, AZ"
4027,9360,"Yuma, AZ"
5007,2580,"Fayetteville-Springdale-Rogers, AR"
5031,3700,"Jonesboro, AR"
5033,2720,"Fort Smith, AR-OK"
5035,4920,"Memphis, TN-AR-MS"
5045,4400,"Little Rock-North Little Rock, AR"
5069,6240,"Pine Bluff, AR"
5085,4400,"Little Rock-North Little Rock, AR"
5091,8360,"Texarkana, TX-AR"
5119,4400,"Little Rock-North Little Rock, AR"
5125,4400,"Little Rock-North Little Rock, AR"
5131,2720,"Fort Smith, AR-OK"
5143,2580,"Fayetteville-Springdale-Rogers, AR"
6001,5775,"Oakland, CA"
6007,1620,"Chico-Paradise, CA"
6013,5775,"Oakland, CA"
6017,6920,"Sacramento, CA"
6019,2840,"Fresno, CA"
6029,680,"Bakersfield, CA"
6037,4480,"Los Angeles-Long Beach, CA"
6037,4480,"Los Angeles-Long Beach, CA"
6039,2840,"Fresno, CA"
6041,7360,"San Francisco, CA"
6047,4940,"Merced, CA"
6053,7120,"Salinas, CA"
6055,8720,"Vallejo-Farifield-Napa, CA"
6059,5945,"Orange County, CA"
6061,6920,"Sacramento, CA"
6065,6780,"Riverside-San Bernadino, CA"
6067,6920,"Sacramento, CA"
6071,6780,"Riverside-San Bernadino, CA"
6073,7320,"San Diego, CA"
6075,7360,"San Francisco, CA"
6077,8120,"Stockton-Lodi, CA"
6079,7460,"San Luis Obispo-Atascadero-Paso Robles, CA"
6081,7360,"San Francisco, CA"
6083,7480,"Santa Barbara-Santa Maria-Lompoc, CA"
6085,7400,"San Jose, CA"
6087,7485,"Santa Cruz-Watsonville, CA"
6089,6690,"Redding, CA"
6095,8720,"Vallejo-Farifield-Napa, CA"
6097,7500,"Santa Rosa, CA"
6099,5170,"Modesto, CA"
6101,9340,"Yuba City, CA"
6107,8780,"Visalia-Tulare-Porterville, CA"
6111,8735,"Ventura, CA"
6113,9270,"Yolo, CA"
6115,9340,"Yuba City, CA"
8001,2080,"Denver, CO"
8005,2080,"Denver, CO"
8013,1125,"Boulder-Longmont, CO"
8014,2080,"Denver, CO"
8031,2080,"Denver, CO"
8035,2080,"Denver, CO"
8041,1720,"Colorado Springs, CO"
8059,2080,"Denver, CO"
8069,2670,"Fort Collins-Loveland, CO"
8077,2995,"Grand Junction, CO"
8101,6560,"Pueblo, CO"
8123,3060,"Greeley, CO"
9001,5483,"New Haven-Bridgeport-Stamford-Waterbury-Danbury, CT"
9003,3283,"Hartford, CT"
9005,3283,"Hartford, CT"
9007,3283,"Hartford, CT"
