"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.55,0.1,0.25,2020-02-28,0.4,2,2.55689374330339
0.56,0.1,0.25,2020-02-28,0.4,2,2.49465620839495
0.57,0.1,0.25,2020-02-28,0.4,2,2.43515808344389
0.58,0.1,0.25,2020-02-28,0.4,2,2.37846973249461
0.59,0.1,0.25,2020-02-28,0.4,2,2.32465891965615
0.6,0.1,0.25,2020-02-28,0.4,2,2.27380274963131
0.61,0.1,0.25,2020-02-28,0.4,2,2.225982901787
0.62,0.1,0.25,2020-02-28,0.4,2,2.18126462648352
0.63,0.1,0.25,2020-02-28,0.4,2,2.13966333965738
0.64,0.1,0.25,2020-02-28,0.4,2,2.10115643205955
0.65,0.1,0.25,2020-02-28,0.4,2,2.06571333101826
0.66,0.1,0.25,2020-02-28,0.4,2,2.0332715837106
0.67,0.1,0.25,2020-02-28,0.4,2,2.00356410911597
0.68,0.1,0.25,2020-02-28,0.4,2,1.97614945864648
0.69,0.1,0.25,2020-02-28,0.4,2,1.95039848838358
0.7,0.1,0.25,2020-02-28,0.4,2,1.92520194264518
0.71,0.1,0.25,2020-02-28,0.4,2,1.90025955751643
0.72,0.1,0.25,2020-02-28,0.4,2,1.87557762704203
0.73,0.1,0.25,2020-02-28,0.4,2,1.85116074315464
0.74,0.1,0.25,2020-02-28,0.4,2,1.82700656707979
0.75,0.1,0.25,2020-02-28,0.4,2,1.80312426236783
0.76,0.1,0.25,2020-02-28,0.4,2,1.77951291061077
0.77,0.1,0.25,2020-02-28,0.4,2,1.75617874034716
0.78,0.1,0.25,2020-02-28,0.4,2,1.73312835203073
0.79,0.1,0.25,2020-02-28,0.4,2,1.71036289266768
0.8,0.1,0.25,2020-02-28,0.4,2,1.6878883938245
0.81,0.1,0.25,2020-02-28,0.4,2,1.66570724433602
0.82,0.1,0.25,2020-02-28,0.4,2,1.6438280777817
0.83,0.1,0.25,2020-02-28,0.4,2,1.6222514742508
0.84,0.1,0.25,2020-02-28,0.4,2,1.60098348926841
0.85,0.1,0.25,2020-02-28,0.4,2,1.58003160040603
0.86,0.1,0.25,2020-02-28,0.4,2,1.55939937700303
0.87,0.1,0.25,2020-02-28,0.4,2,1.53909109770395
0.88,0.1,0.25,2020-02-28,0.4,2,1.51911587271969
0.89,0.1,0.25,2020-02-28,0.4,2,1.49947692710683
0.9,0.1,0.25,2020-02-28,0.4,2,1.48017861093846
0.91,0.1,0.25,2020-02-28,0.4,2,1.46122889672682
0.92,0.1,0.25,2020-02-28,0.4,2,1.44263593073616
0.93,0.1,0.25,2020-02-28,0.4,2,1.42440647986641
0.94,0.1,0.25,2020-02-28,0.4,2,1.40654247346387
0.95,0.1,0.25,2020-02-28,0.4,2,1.38905477838221
0.55,0.2,0.25,2020-02-28,0.4,2,1.35376918988822
0.56,0.2,0.25,2020-02-28,0.4,2,1.33921231389888
0.57,0.2,0.25,2020-02-28,0.4,2,1.32523796299657
0.58,0.2,0.25,2020-02-28,0.4,2,1.31177368107814
0.59,0.2,0.25,2020-02-28,0.4,2,1.29882881355039
0.6,0.2,0.25,2020-02-28,0.4,2,1.286410231192
0.61,0.2,0.25,2020-02-28,0.4,2,1.27452492976569
0.62,0.2,0.25,2020-02-28,0.4,2,1.26317968694566
0.63,0.2,0.25,2020-02-28,0.4,2,1.25238045063648
0.64,0.2,0.25,2020-02-28,0.4,2,1.24213296437414
0.65,0.2,0.25,2020-02-28,0.4,2,1.23244348603676
0.66,0.2,0.25,2020-02-28,0.4,2,1.2233156998071
0.67,0.2,0.25,2020-02-28,0.4,2,1.2147547285996
0.68,0.2,0.25,2020-02-28,0.4,2,1.20676438589407
0.69,0.2,0.25,2020-02-28,0.4,2,1.19934743602324
0.7,0.2,0.25,2020-02-28,0.4,2,1.19250665288162
0.71,0.2,0.25,2020-02-28,0.4,2,1.18624405348718
0.72,0.2,0.25,2020-02-28,0.4,2,1.18056009802817
0.73,0.2,0.25,2020-02-28,0.4,2,1.17545540296812
0.74,0.2,0.25,2020-02-28,0.4,2,1.17092974033005
0.75,0.2,0.25,2020-02-28,0.4,2,1.16698157020119
0.76,0.2,0.25,2020-02-28,0.4,2,1.16360908111223
0.77,0.2,0.25,2020-02-28,0.4,2,1.16080909650379
0.78,0.2,0.25,2020-02-28,0.4,2,1.15857819187433
