"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-03-13,1.3,2,620.258098112819
0.56,0.25,2020-03-13,1.3,2,589.17995310061
0.57,0.25,2020-03-13,1.3,2,559.126316493706
0.58,0.25,2020-03-13,1.3,2,530.084919861447
0.59,0.25,2020-03-13,1.3,2,502.040658251857
0.6,0.25,2020-03-13,1.3,2,474.977274396943
0.61,0.25,2020-03-13,1.3,2,448.877912772408
0.62,0.25,2020-03-13,1.3,2,423.724426049771
0.63,0.25,2020-03-13,1.3,2,399.498376893559
0.64,0.25,2020-03-13,1.3,2,376.178879358195
0.65,0.25,2020-03-13,1.3,2,353.747046353406
0.66,0.25,2020-03-13,1.3,2,332.181552077051
0.67,0.25,2020-03-13,1.3,2,311.461578710905
0.68,0.25,2020-03-13,1.3,2,291.56586748111
0.69,0.25,2020-03-13,1.3,2,272.473046690969
0.7,0.25,2020-03-13,1.3,2,254.161656474411
0.71,0.25,2020-03-13,1.3,2,236.610602724408
0.72,0.25,2020-03-13,1.3,2,219.798755990259
0.73,0.25,2020-03-13,1.3,2,203.705397290366
0.74,0.25,2020-03-13,1.3,2,188.310588302221
0.75,0.25,2020-03-13,1.3,2,173.594210250641
0.76,0.25,2020-03-13,1.3,2,159.537711265268
0.77,0.25,2020-03-13,1.3,2,146.122808272781
0.78,0.25,2020-03-13,1.3,2,133.332538407522
0.79,0.25,2020-03-13,1.3,2,121.15093945373
0.8,0.25,2020-03-13,1.3,2,109.563713603152
0.81,0.25,2020-03-13,1.3,2,98.5583726660455
0.82,0.25,2020-03-13,1.3,2,88.1247771318834
0.83,0.25,2020-03-13,1.3,2,78.2556439871084
0.84,0.25,2020-03-13,1.3,2,68.9479132211226
0.85,0.25,2020-03-13,1.3,2,60.2041808944647
0.86,0.25,2020-03-13,1.3,2,52.0351945912152
0.87,0.25,2020-03-13,1.3,2,44.4645995670057
0.88,0.25,2020-03-13,1.3,2,37.5369816593117
0.89,0.25,2020-03-13,1.3,2,31.3344276562154
0.9,0.25,2020-03-13,1.3,2,26.0100659282004
0.91,0.25,2020-03-13,1.3,2,21.8595108798087
0.92,0.25,2020-03-13,1.3,2,19.333688659303
0.93,0.25,2020-03-13,1.3,2,17.56441906474
0.94,0.25,2020-03-13,1.3,2,15.8735120774842
0.95,0.25,2020-03-13,1.3,2,14.2580097727337
0.55,0.3,2020-03-13,1.3,2,597.638681953076
0.56,0.3,2020-03-13,1.3,2,567.343433248175
0.57,0.3,2020-03-13,1.3,2,538.058878566128
0.58,0.3,2020-03-13,1.3,2,509.770944029914
0.59,0.3,2020-03-13,1.3,2,482.464371877093
0.6,0.3,2020-03-13,1.3,2,456.122895463427
0.61,0.3,2020-03-13,1.3,2,430.729219546144
0.62,0.3,2020-03-13,1.3,2,406.264609049572
0.63,0.3,2020-03-13,1.3,2,382.71060177425
0.64,0.3,2020-03-13,1.3,2,360.04756628932
0.65,0.3,2020-03-13,1.3,2,338.254405734323
0.66,0.3,2020-03-13,1.3,2,317.311469099792
0.67,0.3,2020-03-13,1.3,2,297.197494180407
0.68,0.3,2020-03-13,1.3,2,277.89156031479
0.69,0.3,2020-03-13,1.3,2,259.372486459696
0.7,0.3,2020-03-13,1.3,2,241.619294487395
0.71,0.3,2020-03-13,1.3,2,224.611215608668
0.72,0.3,2020-03-13,1.3,2,208.327562417043
0.73,0.3,2020-03-13,1.3,2,192.748166808309
0.74,0.3,2020-03-13,1.3,2,177.853644075016
0.75,0.3,2020-03-13,1.3,2,163.624772040694
0.76,0.3,2020-03-13,1.3,2,150.043560780809
0.77,0.3,2020-03-13,1.3,2,137.092599337249
0.78,0.3,2020-03-13,1.3,2,124.75602524523
0.79,0.3,2020-03-13,1.3,2,113.018983404807
0.8,0.3,2020-03-13,1.3,2,101.868616838392
0.81,0.3,2020-03-13,1.3,2,91.2938735703332
0.82,0.3,2020-03-13,1.3,2,81.2866927184066
0.83,0.3,2020-03-13,1.3,2,71.8423430856723
0.84,0.3,2020-03-13,1.3,2,62.9610470604559
0.85,0.3,2020-03-13,1.3,2,54.649775417621
0.86,0.3,2020-03-13,1.3,2,46.9257249158003
0.87,0.3,2020-03-13,1.3,2,39.821920195438
0.88,0.3,2020-03-13,1.3,2,33.3981038325703
0.89,0.3,2020-03-13,1.3,2,27.7610229095944
0.9,0.3,2020-03-13,1.3,2,23.1040860340394
0.91,0.3,2020-03-13,1.3,2,19.7599281160542
0.92,0.3,2020-03-13,1.3,2,17.7869152495653
0.93,0.3,2020-03-13,1.3,2,16.078463829728
0.94,0.3,2020-03-13,1.3,2,14.4465896160438
0.95,0.3,2020-03-13,1.3,2,12.8884802383088
0.55,0.35,2020-03-13,1.3,2,575.246543372514
0.56,0.35,2020-03-13,1.3,2,545.735159398704
0.57,0.35,2020-03-13,1.3,2,517.219357376055
0.58,0.35,2020-03-13,1.3,2,489.685095808768
0.59,0.35,2020-03-13,1.3,2,463.115321982236
0.6,0.35,2020-03-13,1.3,2,437.494942508505
0.61,0.35,2020-03-13,1.3,2,412.805736075335
0.62,0.35,2020-03-13,1.3,2,389.02977860067
0.63,0.35,2020-03-13,1.3,2,366.146630996592
0.64,0.35,2020-03-13,1.3,2,344.137740257957
0.65,0.35,2020-03-13,1.3,2,322.982750497011
0.66,0.35,2020-03-13,1.3,2,302.660752977097
0.67,0.35,2020-03-13,1.3,2,283.151492906385
0.68,0.35,2020-03-13,1.3,2,264.433996111906
0.69,0.35,2020-03-13,1.3,2,246.487559852253
0.7,0.35,2020-03-13,1.3,2,229.291527016006
0.71,0.35,2020-03-13,1.3,2,212.825419709298
0.72,0.35,2020-03-13,1.3,2,197.069191681858
0.73,0.35,2020-03-13,1.3,2,182.003391405183
0.74,0.35,2020-03-13,1.3,2,167.609000134951
0.75,0.35,2020-03-13,1.3,2,153.867835969373
0.76,0.35,2020-03-13,1.3,2,140.762556236979
0.77,0.35,2020-03-13,1.3,2,128.276628295931
0.78,0.35,2020-03-13,1.3,2,116.395404707761
0.79,0.35,2020-03-13,1.3,2,105.105322413632
0.8,0.35,2020-03-13,1.3,2,94.3949406484877
0.81,0.35,2020-03-13,1.3,2,84.2549985100336
0.82,0.35,2020-03-13,1.3,2,74.6796856778604
0.83,0.35,2020-03-13,1.3,2,65.6671730278597
0.84,0.35,2020-03-13,1.3,2,57.2213329032015
0.85,0.35,2020-03-13,1.3,2,49.3543186169417
0.86,0.35,2020-03-13,1.3,2,42.090721119946
0.87,0.35,2020-03-13,1.3,2,35.4746740504487
0.88,0.35,2020-03-13,1.3,2,29.5832308330709
0.89,0.35,2020-03-13,1.3,2,24.5501445193322
0.9,0.35,2020-03-13,1.3,2,20.6008043160361
0.91,0.35,2020-03-13,1.3,2,18.0150483813091
0.92,0.35,2020-03-13,1.3,2,16.2744928057301
0.93,0.35,2020-03-13,1.3,2,14.627087347331
0.94,0.35,2020-03-13,1.3,2,13.0546025719509
0.95,0.35,2020-03-13,1.3,2,11.5544113985692
0.55,0.4,2020-03-13,1.3,2,553.084659917356
0.56,0.4,2020-03-13,1.3,2,524.358042778227
0.57,0.4,2020-03-13,1.3,2,496.610666037149
0.58,0.4,2020-03-13,1.3,2,469.82878928406
0.59,0.4,2020-03-13,1.3,2,443.996652290936
0.6,0.4,2020-03-13,1.3,2,419.096471808167
0.61,0.4,2020-03-13,1.3,2,395.111237379716
0.62,0.4,2020-03-13,1.3,2,372.022100158602
0.63,0.4,2020-03-13,1.3,2,349.809120576844
0.64,0.4,2020-03-13,1.3,2,328.453469177816
0.65,0.4,2020-03-13,1.3,2,307.934856559606
0.66,0.4,2020-03-13,1.3,2,288.233089445504
0.67,0.4,2020-03-13,1.3,2,269.326972138062
0.68,0.4,2020-03-13,1.3,2,251.19680492642
0.69,0.4,2020-03-13,1.3,2,233.821925180453
0.7,0.4,2020-03-13,1.3,2,217.182139340528
0.71,0.4,2020-03-13,1.3,2,201.257267912887
0.72,0.4,2020-03-13,1.3,2,186.028042495232
0.73,0.4,2020-03-13,1.3,2,171.475503957943
0.74,0.4,2020-03-13,1.3,2,157.581479043323
0.75,0.4,2020-03-13,1.3,2,144.328304845584
0.76,0.4,2020-03-13,1.3,2,131.699819628134
0.77,0.4,2020-03-13,1.3,2,119.68050080135
0.78,0.4,2020-03-13,1.3,2,108.256724430588
0.79,0.4,2020-03-13,1.3,2,97.416405913818
0.8,0.4,2020-03-13,1.3,2,87.1496818237557
0.81,0.4,2020-03-13,1.3,2,77.4494130377874
0.82,0.4,2020-03-13,1.3,2,68.3121708057965
0.83,0.4,2020-03-13,1.3,2,59.7393608031805
0.84,0.4,2020-03-13,1.3,2,51.7390675707598
0.85,0.4,2020-03-13,1.3,2,44.3294186708218
0.86,0.4,2020-03-13,1.3,2,37.5433277306783
0.87,0.4,2020-03-13,1.3,2,31.4377352464232
0.88,0.4,2020-03-13,1.3,2,26.1082999394661
0.89,0.4,2020-03-13,1.3,2,21.7130689709505
0.9,0.4,2020-03-13,1.3,2,18.4813947042286
0.91,0.4,2020-03-13,1.3,2,16.4599495806447
0.92,0.4,2020-03-13,1.3,2,14.7979388387029
0.93,0.4,2020-03-13,1.3,2,13.2119842175685
0.94,0.4,2020-03-13,1.3,2,11.6994699365581
0.95,0.4,2020-03-13,1.3,2,10.2579958373835
0.55,0.45,2020-03-13,1.3,2,531.156305628593
0.56,0.45,2020-03-13,1.3,2,503.213483045227
0.57,0.45,2020-03-13,1.3,2,476.236017631268
0.58,0.45,2020-03-13,1.3,2,450.206741060095
0.59,0.45,2020-03-13,1.3,2,425.111189142419
0.6,0.45,2020-03-13,1.3,2,400.930772474416
0.61,0.45,2020-03-13,1.3,2,377.648430653598
0.62,0.45,2020-03-13,1.3,2,355.244933722713
0.63,0.45,2020-03-13,1.3,2,333.701581952568
0.64,0.45,2020-03-13,1.3,2,312.997905048929
0.65,0.45,2020-03-13,1.3,2,293.11448944349
0.66,0.45,2020-03-13,1.3,2,274.031114192138
0.67,0.45,2020-03-13,1.3,2,255.727600631609
0.68,0.45,2020-03-13,1.3,2,238.183716131336
0.69,0.45,2020-03-13,1.3,2,221.379625079221
0.7,0.45,2020-03-13,1.3,2,205.294955731527
0.71,0.45,2020-03-13,1.3,2,189.9110490571
0.72,0.45,2020-03-13,1.3,2,175.208421148166
0.73,0.45,2020-03-13,1.3,2,161.169208772343
0.74,0.45,2020-03-13,1.3,2,147.775804313001
0.75,0.45,2020-03-13,1.3,2,135.011554199506
0.76,0.45,2020-03-13,1.3,2,122.861074066291
0.77,0.45,2020-03-13,1.3,2,111.310255702949
0.78,0.45,2020-03-13,1.3,2,100.346425636657
0.79,0.45,2020-03-13,1.3,2,89.9592364957166
0.8,0.45,2020-03-13,1.3,2,80.1404160382677
0.81,0.45,2020-03-13,1.3,2,70.8852558650503
0.82,0.45,2020-03-13,1.3,2,62.1929803736103
0.83,0.45,2020-03-13,1.3,2,54.068563785912
0.84,0.45,2020-03-13,1.3,2,46.5249951030217
0.85,0.45,2020-03-13,1.3,2,39.5868712524241
0.86,0.45,2020-03-13,1.3,2,33.2967410460488
0.87,0.45,2020-03-13,1.3,2,27.7250582864454
0.88,0.45,2020-03-13,1.3,2,22.9855682191878
0.89,0.45,2020-03-13,1.3,2,19.2490532382886
0.9,0.45,2020-03-13,1.3,2,16.6855604727504
0.91,0.45,2020-03-13,1.3,2,14.957461121682
0.92,0.45,2020-03-13,1.3,2,13.3590265090174
0.93,0.45,2020-03-13,1.3,2,11.8351658274926
0.94,0.45,2020-03-13,1.3,2,10.3835139183498
0.95,0.45,2020-03-13,1.3,2,9.00200021074006
0.55,0.5,2020-03-13,1.3,2,515.639738341447
0.56,0.5,2020-03-13,1.3,2,488.153082698157
0.57,0.5,2020-03-13,1.3,2,461.6264314901
0.58,0.5,2020-03-13,1.3,2,436.043978240277
0.59,0.5,2020-03-13,1.3,2,411.388925308019
0.6,0.5,2020-03-13,1.3,2,387.643650589973
0.61,0.5,2020-03-13,1.3,2,364.789633147945
0.62,0.5,2020-03-13,1.3,2,342.808078957608
0.63,0.5,2020-03-13,1.3,2,321.679332299901
0.64,0.5,2020-03-13,1.3,2,301.383962388606
0.65,0.5,2020-03-13,1.3,2,281.901349883921
0.66,0.5,2020-03-13,1.3,2,263.211859542847
0.67,0.5,2020-03-13,1.3,2,245.295318199848
0.68,0.5,2020-03-13,1.3,2,228.130982158166
0.69,0.5,2020-03-13,1.3,2,211.699801663011
0.7,0.5,2020-03-13,1.3,2,195.982177239631
0.71,0.5,2020-03-13,1.3,2,180.958412979203
0.72,0.5,2020-03-13,1.3,2,166.610662131259
0.73,0.5,2020-03-13,1.3,2,152.92112060899
0.74,0.5,2020-03-13,1.3,2,139.87272204767
0.75,0.5,2020-03-13,1.3,2,127.449651940363
0.76,0.5,2020-03-13,1.3,2,115.637416246393
0.77,0.5,2020-03-13,1.3,2,104.422891859904
0.78,0.5,2020-03-13,1.3,2,93.7947541477695
0.79,0.5,2020-03-13,1.3,2,83.7440333022149
0.8,0.5,2020-03-13,1.3,2,74.2645751482567
0.81,0.5,2020-03-13,1.3,2,65.3538687029542
0.82,0.5,2020-03-13,1.3,2,57.0142898340761
0.83,0.5,2020-03-13,1.3,2,49.2549496007461
0.84,0.5,2020-03-13,1.3,2,42.0943793759598
0.85,0.5,2020-03-13,1.3,2,35.5648255774726
0.86,0.5,2020-03-13,1.3,2,29.7196850597893
0.87,0.5,2020-03-13,1.3,2,24.6438821034664
0.88,0.5,2020-03-13,1.3,2,20.4655192452614
0.89,0.5,2020-03-13,1.3,2,17.3438081288933
0.9,0.5,2020-03-13,1.3,2,15.2880559824513
0.91,0.5,2020-03-13,1.3,2,13.6575956666133
0.92,0.5,2020-03-13,1.3,2,12.1048596267629
0.93,0.5,2020-03-13,1.3,2,10.6263876982012
0.94,0.5,2020-03-13,1.3,2,9.2201209641505
0.95,0.5,2020-03-13,1.3,2,7.88439790713371
0.55,0.55,2020-03-13,1.3,2,493.928395525575
0.56,0.55,2020-03-13,1.3,2,461.640919159849
0.57,0.55,2020-03-13,1.3,2,436.201174764029
0.58,0.55,2020-03-13,1.3,2,411.677642048862
0.59,0.55,2020-03-13,1.3,2,388.053519020137
0.6,0.55,2020-03-13,1.3,2,365.311145142891
0.61,0.55,2020-03-13,1.3,2,343.432304492869
0.62,0.55,2020-03-13,1.3,2,322.398504066872
0.63,0.55,2020-03-13,1.3,2,302.189594479493
0.64,0.55,2020-03-13,1.3,2,282.787448110642
0.65,0.55,2020-03-13,1.3,2,264.171276913027
0.66,0.55,2020-03-13,1.3,2,246.322308037987
0.67,0.55,2020-03-13,1.3,2,229.220577171344
0.68,0.55,2020-03-13,1.3,2,212.84677689893
0.69,0.55,2020-03-13,1.3,2,197.181535767588
0.7,0.55,2020-03-13,1.3,2,182.206462522583
0.71,0.55,2020-03-13,1.3,2,167.90330906615
0.72,0.55,2020-03-13,1.3,2,154.254024467996
0.73,0.55,2020-03-13,1.3,2,141.242465985353
0.74,0.55,2020-03-13,1.3,2,128.852681902815
0.75,0.55,2020-03-13,1.3,2,117.069848411908
0.76,0.55,2020-03-13,1.3,2,105.880768564037
0.77,0.55,2020-03-13,1.3,2,95.273719718493
0.78,0.55,2020-03-13,1.3,2,85.2392202005134
0.79,0.55,2020-03-13,1.3,2,75.7700887433819
0.8,0.55,2020-03-13,1.3,2,66.862394729511
0.81,0.55,2020-03-13,1.3,2,58.5165001209064
0.82,0.55,2020-03-13,1.3,2,50.7376280601482
0.83,0.55,2020-03-13,1.3,2,43.5395676752531
0.84,0.55,2020-03-13,1.3,2,36.9462391947154
0.85,0.55,2020-03-13,1.3,2,30.9973943459016
0.86,0.55,2020-03-13,1.3,2,25.7559946987167
0.87,0.55,2020-03-13,1.3,2,21.316812194548
0.88,0.55,2020-03-13,1.3,2,17.8068135237506
0.89,0.55,2020-03-13,1.3,2,15.3232331302701
0.9,0.55,2020-03-13,1.3,2,13.6153031841519
0.91,0.55,2020-03-13,1.3,2,12.0720481074831
0.92,0.55,2020-03-13,1.3,2,10.6033129936723
0.93,0.55,2020-03-13,1.3,2,9.20710975963311
0.94,0.55,2020-03-13,1.3,2,7.88186684471687
0.95,0.55,2020-03-13,1.3,2,6.62659319474934
0.55,0.6,2020-03-13,1.3,2,466.805493779331
0.56,0.6,2020-03-13,1.3,2,441.219647076293
0.57,0.6,2020-03-13,1.3,2,416.549202227964
0.58,0.6,2020-03-13,1.3,2,392.778156035741
0.59,0.6,2020-03-13,1.3,2,369.889318028365
0.6,0.6,2020-03-13,1.3,2,352.081961333891
0.61,0.6,2020-03-13,1.3,2,326.68725540473
0.62,0.6,2020-03-13,1.3,2,306.336609180351
0.63,0.6,2020-03-13,1.3,2,286.793799699202
0.64,0.6,2020-03-13,1.3,2,268.040792411527
0.65,0.6,2020-03-13,1.3,2,250.057216317112
0.66,0.6,2020-03-13,1.3,2,232.82381929983
0.67,0.6,2020-03-13,1.3,2,216.321839312216
0.68,0.6,2020-03-13,1.3,2,200.532116687729
0.69,0.6,2020-03-13,1.3,2,185.436036116987
0.7,0.6,2020-03-13,1.3,2,171.014996591404
0.71,0.6,2020-03-13,1.3,2,157.252156677212
0.72,0.6,2020-03-13,1.3,2,144.130366469323
0.73,0.6,2020-03-13,1.3,2,131.633672357053
0.74,0.6,2020-03-13,1.3,2,119.747330149761
0.75,0.6,2020-03-13,1.3,2,108.457724752136
0.76,0.6,2020-03-13,1.3,2,97.7527207314617
0.77,0.6,2020-03-13,1.3,2,87.6221028784351
0.78,0.6,2020-03-13,1.3,2,78.05786488272
0.79,0.6,2020-03-13,1.3,2,69.0547459240868
0.8,0.6,2020-03-13,1.3,2,60.6112732070226
0.81,0.6,2020-03-13,1.3,2,52.7304474061167
0.82,0.6,2020-03-13,1.3,2,45.4216245347935
0.83,0.6,2020-03-13,1.3,2,38.7028177901854
0.84,0.6,2020-03-13,1.3,2,32.6042045987586
0.85,0.6,2020-03-13,1.3,2,27.1735264836693
0.86,0.6,2020-03-13,1.3,2,22.4824204276148
0.87,0.6,2020-03-13,1.3,2,18.6303282886238
0.88,0.6,2020-03-13,1.3,2,15.7211740471137
0.89,0.6,2020-03-13,1.3,2,13.7281295371481
0.9,0.6,2020-03-13,1.3,2,12.169821675983
0.91,0.6,2020-03-13,1.3,2,10.6943351765614
0.92,0.6,2020-03-13,1.3,2,9.29255357742706
0.93,0.6,2020-03-13,1.3,2,7.96298766237269
0.94,0.6,2020-03-13,1.3,2,6.70486241092494
0.95,0.6,2020-03-13,1.3,2,5.51832003134051
0.55,0.65,2020-03-13,1.3,2,445.846662829003
0.56,0.65,2020-03-13,1.3,2,421.046924297985
0.57,0.65,2020-03-13,1.3,2,397.146109648713
0.58,0.65,2020-03-13,1.3,2,374.127394933819
0.59,0.65,2020-03-13,1.3,2,351.973575640914
0.6,0.65,2020-03-13,1.3,2,330.666845178491
0.61,0.65,2020-03-13,1.3,2,310.188786195568
0.62,0.65,2020-03-13,1.3,2,290.520773169424
0.63,0.65,2020-03-13,1.3,2,271.643868323784
0.64,0.65,2020-03-13,1.3,2,253.539008662491
0.65,0.65,2020-03-13,1.3,2,239.049993082573
0.66,0.65,2020-03-13,1.3,2,219.569236570327
0.67,0.65,2020-03-13,1.3,2,203.666373316574
0.68,0.65,2020-03-13,1.3,2,188.460213243741
0.69,0.65,2020-03-13,1.3,2,173.932714210492
0.7,0.65,2020-03-13,1.3,2,160.06648623898
0.71,0.65,2020-03-13,1.3,2,146.844244183113
0.72,0.65,2020-03-13,1.3,2,134.250469741643
0.73,0.65,2020-03-13,1.3,2,122.269879120053
