"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-14,0.5,2,1763.78513569131
0.56,0.25,2020-02-14,0.5,2,1704.060871608
0.57,0.25,2020-02-14,0.5,2,1645.3459032071
0.58,0.25,2020-02-14,0.5,2,1587.62895584246
0.59,0.25,2020-02-14,0.5,2,1530.89841174529
0.6,0.25,2020-02-14,0.5,2,1475.14248984082
0.61,0.25,2020-02-14,0.5,2,1420.34959123102
0.62,0.25,2020-02-14,0.5,2,1366.50767150454
0.63,0.25,2020-02-14,0.5,2,1313.60531675614
0.64,0.25,2020-02-14,0.5,2,1261.63029907172
0.65,0.25,2020-02-14,0.5,2,1210.57099650812
0.66,0.25,2020-02-14,0.5,2,1160.41573416673
0.67,0.25,2020-02-14,0.5,2,1111.1525776672
0.68,0.25,2020-02-14,0.5,2,1062.7697942615
0.69,0.25,2020-02-14,0.5,2,1015.25621404442
0.7,0.25,2020-02-14,0.5,2,968.599904865676
0.71,0.25,2020-02-14,0.5,2,922.789792771029
0.72,0.25,2020-02-14,0.5,2,877.814489920128
0.73,0.25,2020-02-14,0.5,2,833.663890121223
0.74,0.25,2020-02-14,0.5,2,790.326444105262
0.75,0.25,2020-02-14,0.5,2,747.792785695586
0.76,0.25,2020-02-14,0.5,2,706.052087903649
0.77,0.25,2020-02-14,0.5,2,665.096034261431
0.78,0.25,2020-02-14,0.5,2,624.915693994843
0.79,0.25,2020-02-14,0.5,2,585.503606229997
0.8,0.25,2020-02-14,0.5,2,546.852496439193
0.81,0.25,2020-02-14,0.5,2,508.95765370276
0.82,0.25,2020-02-14,0.5,2,471.815168676555
0.83,0.25,2020-02-14,0.5,2,435.424213205429
0.84,0.25,2020-02-14,0.5,2,399.787498974085
0.85,0.25,2020-02-14,0.5,2,364.912875830767
0.86,0.25,2020-02-14,0.5,2,330.813663405002
0.87,0.25,2020-02-14,0.5,2,297.514648548586
0.88,0.25,2020-02-14,0.5,2,265.059363820348
0.89,0.25,2020-02-14,0.5,2,233.626831197136
0.9,0.25,2020-02-14,0.5,2,203.553880753682
0.91,0.25,2020-02-14,0.5,2,175.129202203757
0.92,0.25,2020-02-14,0.5,2,148.575825796659
0.93,0.25,2020-02-14,0.5,2,124.106393145347
0.94,0.25,2020-02-14,0.5,2,102.034469304223
0.95,0.25,2020-02-14,0.5,2,82.9140673660447
0.55,0.3,2020-02-14,0.5,2,1733.40745857657
0.56,0.3,2020-02-14,0.5,2,1674.10191243666
0.57,0.3,2020-02-14,0.5,2,1615.80077640363
0.58,0.3,2020-02-14,0.5,2,1558.4925861217
0.59,0.3,2020-02-14,0.5,2,1502.16596959948
0.6,0.3,2020-02-14,0.5,2,1446.80853261243
0.61,0.3,2020-02-14,0.5,2,1392.40914927396
0.62,0.3,2020-02-14,0.5,2,1338.95602241808
0.63,0.3,2020-02-14,0.5,2,1286.43705563466
0.64,0.3,2020-02-14,0.5,2,1234.8406711223
0.65,0.3,2020-02-14,0.5,2,1184.15485720438
0.66,0.3,2020-02-14,0.5,2,1134.36802575745
0.67,0.3,2020-02-14,0.5,2,1085.46834864621
0.68,0.3,2020-02-14,0.5,2,1037.44402753169
0.69,0.3,2020-02-14,0.5,2,990.283867530147
0.7,0.3,2020-02-14,0.5,2,943.976208684799
0.71,0.3,2020-02-14,0.5,2,898.509804649167
0.72,0.3,2020-02-14,0.5,2,853.873679223205
0.73,0.3,2020-02-14,0.5,2,810.056981028976
0.74,0.3,2020-02-14,0.5,2,767.049222864468
0.75,0.3,2020-02-14,0.5,2,724.840261437741
0.76,0.3,2020-02-14,0.5,2,683.42058979591
0.77,0.3,2020-02-14,0.5,2,642.780958307616
0.78,0.3,2020-02-14,0.5,2,602.91326158523
0.79,0.3,2020-02-14,0.5,2,563.808894533171
0.8,0.3,2020-02-14,0.5,2,525.462895034523
0.81,0.3,2020-02-14,0.5,2,487.871082182685
0.82,0.3,2020-02-14,0.5,2,451.029213208352
0.83,0.3,2020-02-14,0.5,2,414.938638519479
0.84,0.3,2020-02-14,0.5,2,379.602486483462
0.85,0.3,2020-02-14,0.5,2,345.03130447001
0.86,0.3,2020-02-14,0.5,2,311.242718661523
0.87,0.3,2020-02-14,0.5,2,278.267546695137
0.88,0.3,2020-02-14,0.5,2,246.166127787055
0.89,0.3,2020-02-14,0.5,2,215.174993216944
0.9,0.3,2020-02-14,0.5,2,185.65604591587
0.91,0.3,2020-02-14,0.5,2,157.909152342048
0.92,0.3,2020-02-14,0.5,2,132.18295629088
0.93,0.3,2020-02-14,0.5,2,108.767571816702
0.94,0.3,2020-02-14,0.5,2,88.1454061350532
0.95,0.3,2020-02-14,0.5,2,71.1969973449999
0.55,0.35,2020-02-14,0.5,2,1703.06783581742
0.56,0.35,2020-02-14,0.5,2,1644.18131998845
0.57,0.35,2020-02-14,0.5,2,1586.29457924215
0.58,0.35,2020-02-14,0.5,2,1529.39565455443
0.59,0.35,2020-02-14,0.5,2,1473.47314061687
0.6,0.35,2020-02-14,0.5,2,1418.51518495683
0.61,0.35,2020-02-14,0.5,2,1364.51010888297
0.62,0.35,2020-02-14,0.5,2,1311.44630924675
0.63,0.35,2020-02-14,0.5,2,1259.31105597284
0.64,0.35,2020-02-14,0.5,2,1208.09344944148
0.65,0.35,2020-02-14,0.5,2,1157.78166862275
0.66,0.35,2020-02-14,0.5,2,1108.36406612156
0.67,0.35,2020-02-14,0.5,2,1059.82786609633
0.68,0.35,2020-02-14,0.5,2,1012.16266793364
0.69,0.35,2020-02-14,0.5,2,965.356876363058
0.7,0.35,2020-02-14,0.5,2,919.397830104484
0.71,0.35,2020-02-14,0.5,2,874.275842641885
0.72,0.35,2020-02-14,0.5,2,829.978984829516
0.73,0.35,2020-02-14,0.5,2,786.497022921943
0.74,0.35,2020-02-14,0.5,2,743.81966085153
0.75,0.35,2020-02-14,0.5,2,701.936153196964
0.76,0.35,2020-02-14,0.5,2,660.837783916892
0.77,0.35,2020-02-14,0.5,2,620.514866779888
0.78,0.35,2020-02-14,0.5,2,580.960219743608
0.79,0.35,2020-02-14,0.5,2,542.166112777444
0.8,0.35,2020-02-14,0.5,2,504.126851847895
0.81,0.35,2020-02-14,0.5,2,466.838458182973
0.82,0.35,2020-02-14,0.5,2,430.299965495256
0.83,0.35,2020-02-14,0.5,2,394.511565612015
0.84,0.35,2020-02-14,0.5,2,359.480229044786
0.85,0.35,2020-02-14,0.5,2,325.218089886323
0.86,0.35,2020-02-14,0.5,2,291.747266087122
0.87,0.35,2020-02-14,0.5,2,259.107653050229
0.88,0.35,2020-02-14,0.5,2,227.38513260838
0.89,0.35,2020-02-14,0.5,2,196.881275215953
0.9,0.35,2020-02-14,0.5,2,167.979501643032
0.91,0.35,2020-02-14,0.5,2,140.999129130969
0.92,0.35,2020-02-14,0.5,2,116.244333383634
0.93,0.35,2020-02-14,0.5,2,94.1418769926902
