"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-23,0.32,2,5.71164274747149
0.56,0.25,2020-02-23,0.32,2,5.59997218318954
0.57,0.25,2020-02-23,0.32,2,5.48931388930055
0.58,0.25,2020-02-23,0.32,2,5.37965850861037
0.59,0.25,2020-02-23,0.32,2,5.27103137564409
0.6,0.25,2020-02-23,0.32,2,5.16344741166296
0.61,0.25,2020-02-23,0.32,2,5.05690556932772
0.62,0.25,2020-02-23,0.32,2,4.95142130143342
0.63,0.25,2020-02-23,0.32,2,4.8470334362526
0.64,0.25,2020-02-23,0.32,2,4.74368564625526
0.65,0.25,2020-02-23,0.32,2,4.64146305081566
0.66,0.25,2020-02-23,0.32,2,4.54036341257143
0.67,0.25,2020-02-23,0.32,2,4.44040575236752
0.68,0.25,2020-02-23,0.32,2,4.34160769307793
0.69,0.25,2020-02-23,0.32,2,4.24399265952424
0.7,0.25,2020-02-23,0.32,2,4.14758830513929
0.71,0.25,2020-02-23,0.32,2,4.05241100186409
0.72,0.25,2020-02-23,0.32,2,3.95850037193648
0.73,0.25,2020-02-23,0.32,2,3.86588435417716
0.74,0.25,2020-02-23,0.32,2,3.77460047599056
0.75,0.25,2020-02-23,0.32,2,3.68467548551632
0.76,0.25,2020-02-23,0.32,2,3.59616201531754
0.77,0.25,2020-02-23,0.32,2,3.50909083489219
0.78,0.25,2020-02-23,0.32,2,3.42351579518575
0.79,0.25,2020-02-23,0.32,2,3.33948502675793
0.8,0.25,2020-02-23,0.32,2,3.25705538369817
0.81,0.25,2020-02-23,0.32,2,3.17629063107284
0.82,0.25,2020-02-23,0.32,2,3.09723399768788
0.83,0.25,2020-02-23,0.32,2,3.01996948304035
0.84,0.25,2020-02-23,0.32,2,2.94456592097278
0.85,0.25,2020-02-23,0.32,2,2.87109951314117
0.86,0.25,2020-02-23,0.32,2,2.79965623212749
0.87,0.25,2020-02-23,0.32,2,2.7303164375406
0.88,0.25,2020-02-23,0.32,2,2.66318065884215
0.89,0.25,2020-02-23,0.32,2,2.59834517500558
0.9,0.25,2020-02-23,0.32,2,2.53591756043145
0.91,0.25,2020-02-23,0.32,2,2.47599368307598
0.92,0.25,2020-02-23,0.32,2,2.41869774475725
0.93,0.25,2020-02-23,0.32,2,2.36414429380202
0.94,0.25,2020-02-23,0.32,2,2.3124489021406
0.95,0.25,2020-02-23,0.32,2,2.26373350293127
0.55,0.3,2020-02-23,0.32,2,4.64142362612344
0.56,0.3,2020-02-23,0.32,2,4.53833051575517
0.57,0.3,2020-02-23,0.32,2,4.43640514699584
0.58,0.3,2020-02-23,0.32,2,4.33567535923367
0.59,0.3,2020-02-23,0.32,2,4.23616085515156
0.6,0.3,2020-02-23,0.32,2,4.13789099248292
0.61,0.3,2020-02-23,0.32,2,4.04089730487294
0.62,0.3,2020-02-23,0.32,2,3.94520348481353
0.63,0.3,2020-02-23,0.32,2,3.85084501802485
0.64,0.3,2020-02-23,0.32,2,3.75785996288374
0.65,0.3,2020-02-23,0.32,2,3.66629425019293
0.66,0.3,2020-02-23,0.32,2,3.57618562312265
0.67,0.3,2020-02-23,0.32,2,3.48757697392735
0.68,0.3,2020-02-23,0.32,2,3.40052935019255
0.69,0.3,2020-02-23,0.32,2,3.315090991499
0.7,0.3,2020-02-23,0.32,2,3.23132161372036
0.71,0.3,2020-02-23,0.32,2,3.1492841544133
0.72,0.3,2020-02-23,0.32,2,3.06905715175135
0.73,0.3,2020-02-23,0.32,2,2.99069788150333
0.74,0.3,2020-02-23,0.32,2,2.91429995591491
0.75,0.3,2020-02-23,0.32,2,2.83995027154029
0.76,0.3,2020-02-23,0.32,2,2.76772284129986
0.77,0.3,2020-02-23,0.32,2,2.6977316108553
0.78,0.3,2020-02-23,0.32,2,2.63007660687132
0.79,0.3,2020-02-23,0.32,2,2.56486444121085
0.8,0.3,2020-02-23,0.32,2,2.50220921631429
0.81,0.3,2020-02-23,0.32,2,2.44222904851049
0.82,0.3,2020-02-23,0.32,2,2.38505104203976
0.83,0.3,2020-02-23,0.32,2,2.33080741770601
0.84,0.3,2020-02-23,0.32,2,2.27961367470439
