"Stay At Home Order","State-Mandated School Closures","start_date","b1","loss"
0.55,0.1,2020-03-06,0.8,28.3232998578944
0.56,0.1,2020-03-06,0.8,27.3682604153146
0.57,0.1,2020-03-06,0.8,26.4095162175647
0.58,0.1,2020-03-06,0.8,25.4519742171608
0.59,0.1,2020-03-06,0.8,24.5000875868078
0.6,0.1,2020-03-06,0.8,23.5578995432453
0.61,0.1,2020-03-06,0.8,22.6290725283101
0.62,0.1,2020-03-06,0.8,21.7170397461518
0.63,0.1,2020-03-06,0.8,20.8247173202922
0.64,0.1,2020-03-06,0.8,19.9547887767887
0.65,0.1,2020-03-06,0.8,19.1095417638872
0.66,0.1,2020-03-06,0.8,18.2911786937657
0.67,0.1,2020-03-06,0.8,17.5016767958106
0.68,0.1,2020-03-06,0.8,16.7428662727722
0.69,0.1,2020-03-06,0.8,16.0164833804303
0.7,0.1,2020-03-06,0.8,15.324189087511
0.71,0.1,2020-03-06,0.8,14.6675798394802
0.72,0.1,2020-03-06,0.8,14.0482793548199
0.73,0.1,2020-03-06,0.8,13.4676569629561
0.74,0.1,2020-03-06,0.8,12.9273130906784
0.75,0.1,2020-03-06,0.8,12.428653490149
0.76,0.1,2020-03-06,0.8,11.9728954745132
0.77,0.1,2020-03-06,0.8,11.5612572792816
0.78,0.1,2020-03-06,0.8,11.1946958814902
0.79,0.1,2020-03-06,0.8,10.8739148902051
0.8,0.1,2020-03-06,0.8,10.5992877955105
0.81,0.1,2020-03-06,0.8,10.3707878034845
0.82,0.1,2020-03-06,0.8,10.1879435958882
0.83,0.1,2020-03-06,0.8,10.0498275761992
0.84,0.1,2020-03-06,0.8,9.95502912884505
0.85,0.1,2020-03-06,0.8,9.90168194977877
0.86,0.1,2020-03-06,0.8,9.88754263081118
0.87,0.1,2020-03-06,0.8,9.91003029196608
0.88,0.1,2020-03-06,0.8,9.96633426567219
0.89,0.1,2020-03-06,0.8,10.0534912660076
0.9,0.1,2020-03-06,0.8,10.1685284506578
0.91,0.1,2020-03-06,0.8,10.3084644349131
0.92,0.1,2020-03-06,0.8,10.4704383430406
0.93,0.1,2020-03-06,0.8,10.6517284737765
0.94,0.1,2020-03-06,0.8,10.8497868415693
0.95,0.1,2020-03-06,0.8,11.0622803498637
0.55,0.2,2020-03-06,0.8,16.2895996697974
0.56,0.2,2020-03-06,0.8,15.6000072058454
0.57,0.2,2020-03-06,0.8,14.9445926788074
0.58,0.2,2020-03-06,0.8,14.3258872105564
0.59,0.2,2020-03-06,0.8,13.746285890509
0.6,0.2,2020-03-06,0.8,13.2080729234431
0.61,0.2,2020-03-06,0.8,12.7133187325455
0.62,0.2,2020-03-06,0.8,12.2639097354462
0.63,0.2,2020-03-06,0.8,11.8615088019708
0.64,0.2,2020-03-06,0.8,11.5073787482741
0.65,0.2,2020-03-06,0.8,11.2024472190762
0.66,0.2,2020-03-06,0.8,10.9471527852838
0.67,0.2,2020-03-06,0.8,10.7413819357756
0.68,0.2,2020-03-06,0.8,10.5844625755433
0.69,0.2,2020-03-06,0.8,10.4751234278773
0.7,0.2,2020-03-06,0.8,10.4115262853355
0.71,0.2,2020-03-06,0.8,10.3913314808912
0.72,0.2,2020-03-06,0.8,10.411776536221
0.73,0.2,2020-03-06,0.8,10.4697758739176
0.74,0.2,2020-03-06,0.8,10.5620592420651
0.75,0.2,2020-03-06,0.8,10.6852523694297
0.76,0.2,2020-03-06,0.8,10.8359927652275
0.77,0.2,2020-03-06,0.8,11.0110746086902
0.78,0.2,2020-03-06,0.8,11.2073691164626
0.79,0.2,2020-03-06,0.8,11.4219983259729
0.8,0.2,2020-03-06,0.8,11.6522408827935
0.81,0.2,2020-03-06,0.8,11.8957948862178
0.82,0.2,2020-03-06,0.8,12.1504446936231
0.83,0.2,2020-03-06,0.8,12.4142482999275
0.84,0.2,2020-03-06,0.8,12.6855130762241
0.85,0.2,2020-03-06,0.8,12.9627378150447
0.86,0.2,2020-03-06,0.8,13.2445894242138
0.87,0.2,2020-03-06,0.8,13.5299037922663
0.88,0.2,2020-03-06,0.8,13.8177516075074
0.89,0.2,2020-03-06,0.8,14.1072476731188
0.9,0.2,2020-03-06,0.8,14.3976532776603
0.91,0.2,2020-03-06,0.8,14.6883258997942
0.92,0.2,2020-03-06,0.8,14.9787461117759
0.93,0.2,2020-03-06,0.8,15.2684442476601
0.94,0.2,2020-03-06,0.8,15.5570275334902
0.95,0.2,2020-03-06,0.8,15.8441732775308
0.55,0.3,2020-03-06,0.8,11.4798032396075
0.56,0.3,2020-03-06,0.8,11.4472014539844
0.57,0.3,2020-03-06,0.8,11.4566408272016
0.58,0.3,2020-03-06,0.8,11.5051976446378
0.59,0.3,2020-03-06,0.8,11.5897175857656
0.6,0.3,2020-03-06,0.8,11.706899277349
0.61,0.3,2020-03-06,0.8,11.8533807134025
0.62,0.3,2020-03-06,0.8,12.0259004985833
0.63,0.3,2020-03-06,0.8,12.2212742322184
0.64,0.3,2020-03-06,0.8,12.4365684575536
0.65,0.3,2020-03-06,0.8,12.6689625154204
0.66,0.3,2020-03-06,0.8,12.9159158737707
0.67,0.3,2020-03-06,0.8,13.175042518701
0.68,0.3,2020-03-06,0.8,13.4444341335991
0.69,0.3,2020-03-06,0.8,13.7221556974797
0.7,0.3,2020-03-06,0.8,14.0065737294211
0.71,0.3,2020-03-06,0.8,14.2962521975416
0.72,0.3,2020-03-06,0.8,14.5899189839117
0.73,0.3,2020-03-06,0.8,14.88650411395
0.74,0.3,2020-03-06,0.8,15.1850383924582
0.75,0.3,2020-03-06,0.8,15.4847061138701
0.76,0.3,2020-03-06,0.8,15.7847928584827
0.77,0.3,2020-03-06,0.8,16.0846770834343
0.78,0.3,2020-03-06,0.8,16.383895551709
0.79,0.3,2020-03-06,0.8,16.6819648698792
0.8,0.3,2020-03-06,0.8,16.9784494411803
0.81,0.3,2020-03-06,0.8,17.273165031251
0.82,0.3,2020-03-06,0.8,17.5657828808355
0.83,0.3,2020-03-06,0.8,17.856090215977
0.84,0.3,2020-03-06,0.8,18.1439048055053
0.85,0.3,2020-03-06,0.8,18.4290806157466
0.86,0.3,2020-03-06,0.8,18.7114784775914
0.87,0.3,2020-03-06,0.8,18.9910499392577
0.88,0.3,2020-03-06,0.8,19.2677123823953
0.89,0.3,2020-03-06,0.8,19.5414121570074
0.9,0.3,2020-03-06,0.8,19.8121096354357
0.91,0.3,2020-03-06,0.8,20.0798008135645
0.92,0.3,2020-03-06,0.8,20.3444647863966
0.93,0.3,2020-03-06,0.8,20.6061082298384
0.94,0.3,2020-03-06,0.8,20.8647422885869
0.95,0.3,2020-03-06,0.8,21.1203855282411
