"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-03-06,0.7,2,184.859727896563
0.56,0.25,2020-03-06,0.7,2,177.882388886332
0.57,0.25,2020-03-06,0.7,2,171.055283563251
0.58,0.25,2020-03-06,0.7,2,164.375762969865
0.59,0.25,2020-03-06,0.7,2,157.841287147169
0.6,0.25,2020-03-06,0.7,2,151.449223901637
0.61,0.25,2020-03-06,0.7,2,145.197063708234
0.62,0.25,2020-03-06,0.7,2,139.082272043662
0.63,0.25,2020-03-06,0.7,2,133.102511881299
0.64,0.25,2020-03-06,0.7,2,127.255070212598
0.65,0.25,2020-03-06,0.7,2,121.537724240584
0.66,0.25,2020-03-06,0.7,2,115.948049790251
0.67,0.25,2020-03-06,0.7,2,110.483679198217
0.68,0.25,2020-03-06,0.7,2,105.142379836053
0.69,0.25,2020-03-06,0.7,2,99.9217430622005
0.7,0.25,2020-03-06,0.7,2,94.8196592329681
0.71,0.25,2020-03-06,0.7,2,89.8339903580091
0.72,0.25,2020-03-06,0.7,2,84.9623953800635
0.73,0.25,2020-03-06,0.7,2,80.2030128168543
0.74,0.25,2020-03-06,0.7,2,75.553748644924
0.75,0.25,2020-03-06,0.7,2,71.0126697443482
0.76,0.25,2020-03-06,0.7,2,66.5778223714695
0.77,0.25,2020-03-06,0.7,2,62.2474512339859
0.78,0.25,2020-03-06,0.7,2,58.0197698272222
0.79,0.25,2020-03-06,0.7,2,53.8931354482106
0.8,0.25,2020-03-06,0.7,2,49.8659484214244
0.81,0.25,2020-03-06,0.7,2,45.9367806910582
0.82,0.25,2020-03-06,0.7,2,42.1042434153493
0.83,0.25,2020-03-06,0.7,2,38.3673891103077
0.84,0.25,2020-03-06,0.7,2,34.7250572081819
0.85,0.25,2020-03-06,0.7,2,31.1767151526216
0.86,0.25,2020-03-06,0.7,2,27.7219924206318
0.87,0.25,2020-03-06,0.7,2,24.3612537938049
0.88,0.25,2020-03-06,0.7,2,21.0955827725174
0.89,0.25,2020-03-06,0.7,2,17.9272478911233
0.9,0.25,2020-03-06,0.7,2,14.862667036755
0.91,0.25,2020-03-06,0.7,2,11.9947346504765
0.92,0.25,2020-03-06,0.7,2,9.50958369010312
0.93,0.25,2020-03-06,0.7,2,7.53023385404523
0.94,0.25,2020-03-06,0.7,2,6.3068255947397
0.95,0.25,2020-03-06,0.7,2,5.57072173799663
0.55,0.3,2020-03-06,0.7,2,184.859727896563
0.56,0.3,2020-03-06,0.7,2,177.882388886332
0.57,0.3,2020-03-06,0.7,2,171.055283563251
0.58,0.3,2020-03-06,0.7,2,164.375762969865
0.59,0.3,2020-03-06,0.7,2,157.841287147169
0.6,0.3,2020-03-06,0.7,2,151.449223901637
0.61,0.3,2020-03-06,0.7,2,145.197063708234
0.62,0.3,2020-03-06,0.7,2,139.082272043662
0.63,0.3,2020-03-06,0.7,2,133.102511881299
0.64,0.3,2020-03-06,0.7,2,127.255070212598
0.65,0.3,2020-03-06,0.7,2,121.537724240584
0.66,0.3,2020-03-06,0.7,2,115.948049790251
0.67,0.3,2020-03-06,0.7,2,110.483679198217
0.68,0.3,2020-03-06,0.7,2,105.142379836053
0.69,0.3,2020-03-06,0.7,2,99.9217430622005
0.7,0.3,2020-03-06,0.7,2,94.8196592329681
0.71,0.3,2020-03-06,0.7,2,89.8339903580091
0.72,0.3,2020-03-06,0.7,2,84.9623953800635
0.73,0.3,2020-03-06,0.7,2,80.2030128168543
0.74,0.3,2020-03-06,0.7,2,75.553748644924
0.75,0.3,2020-03-06,0.7,2,71.0126697443482
0.76,0.3,2020-03-06,0.7,2,66.5778223714695
0.77,0.3,2020-03-06,0.7,2,62.2474512339859
