"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-08,0.51,2,6116.79334360011
0.56,0.25,2020-02-08,0.51,2,5651.32115189862
0.57,0.25,2020-02-08,0.51,2,5200.33947294972
0.58,0.25,2020-02-08,0.51,2,4763.68665168008
0.59,0.25,2020-02-08,0.51,2,4341.24244654438
0.6,0.25,2020-02-08,0.51,2,3932.96782492307
0.61,0.25,2020-02-08,0.51,2,3538.91989155807
0.62,0.25,2020-02-08,0.51,2,3159.31379063395
0.63,0.25,2020-02-08,0.51,2,2794.59873761721
0.64,0.25,2020-02-08,0.51,2,2445.59876899967
0.65,0.25,2020-02-08,0.51,2,2113.75971113264
0.66,0.25,2020-02-08,0.51,2,1801.58559925649
0.67,0.25,2020-02-08,0.51,2,1513.46813151297
0.68,0.25,2020-02-08,0.51,2,1257.20141185126
0.69,0.25,2020-02-08,0.51,2,1046.4196955261
0.7,0.25,2020-02-08,0.51,2,902.571180115117
0.71,0.25,2020-02-08,0.51,2,849.40658731204
0.72,0.25,2020-02-08,0.51,2,893.75449095304
0.73,0.25,2020-02-08,0.51,2,1015.34691458238
0.74,0.25,2020-02-08,0.51,2,1184.63062688467
0.75,0.25,2020-02-08,0.51,2,1379.32634117456
0.76,0.25,2020-02-08,0.51,2,1586.17392775707
0.77,0.25,2020-02-08,0.51,2,1797.75433687886
0.78,0.25,2020-02-08,0.51,2,2009.89056410327
0.79,0.25,2020-02-08,0.51,2,2220.17246064498
0.8,0.25,2020-02-08,0.51,2,2427.17683572641
0.81,0.25,2020-02-08,0.51,2,2630.05265643455
0.82,0.25,2020-02-08,0.51,2,2828.29305207004
0.83,0.25,2020-02-08,0.51,2,3021.60792053679
0.84,0.25,2020-02-08,0.51,2,3209.84302844966
0.85,0.25,2020-02-08,0.51,2,3392.93623035022
0.86,0.25,2020-02-08,0.51,2,3570.88581932787
0.87,0.25,2020-02-08,0.51,2,3743.73310242679
0.88,0.25,2020-02-08,0.51,2,3911.05962419622
0.89,0.25,2020-02-08,0.51,2,4070.99313597139
0.9,0.25,2020-02-08,0.51,2,4222.13377426714
0.91,0.25,2020-02-08,0.51,2,4364.02048898001
0.92,0.25,2020-02-08,0.51,2,4496.80262134529
0.93,0.25,2020-02-08,0.51,2,4620.94974772148
0.94,0.25,2020-02-08,0.51,2,4737.08141640465
0.95,0.25,2020-02-08,0.51,2,4845.85666377737
0.55,0.3,2020-02-08,0.51,2,6116.79334360011
0.56,0.3,2020-02-08,0.51,2,5651.32115189862
0.57,0.3,2020-02-08,0.51,2,5200.33947294972
0.58,0.3,2020-02-08,0.51,2,4763.68665168008
0.59,0.3,2020-02-08,0.51,2,4341.24244654438
0.6,0.3,2020-02-08,0.51,2,3932.96782492307
0.61,0.3,2020-02-08,0.51,2,3538.91989155807
0.62,0.3,2020-02-08,0.51,2,3159.31379063395
0.63,0.3,2020-02-08,0.51,2,2794.59873761721
0.64,0.3,2020-02-08,0.51,2,2445.59876899967
0.65,0.3,2020-02-08,0.51,2,2113.75971113264
0.66,0.3,2020-02-08,0.51,2,1801.58559925649
0.67,0.3,2020-02-08,0.51,2,1513.46813151297
0.68,0.3,2020-02-08,0.51,2,1257.20141185126
0.69,0.3,2020-02-08,0.51,2,1046.4196955261
0.7,0.3,2020-02-08,0.51,2,902.571180115117
0.71,0.3,2020-02-08,0.51,2,849.40658731204
0.72,0.3,2020-02-08,0.51,2,893.75449095304
0.73,0.3,2020-02-08,0.51,2,1015.34691458238
0.74,0.3,2020-02-08,0.51,2,1184.63062688467
0.75,0.3,2020-02-08,0.51,2,1379.32634117456
0.76,0.3,2020-02-08,0.51,2,1586.17392775707
0.77,0.3,2020-02-08,0.51,2,1797.75433687886
0.78,0.3,2020-02-08,0.51,2,2009.89056410327
0.79,0.3,2020-02-08,0.51,2,2220.17246064498
0.8,0.3,2020-02-08,0.51,2,2427.17683572641
0.81,0.3,2020-02-08,0.51,2,2630.05265643455
0.82,0.3,2020-02-08,0.51,2,2828.29305207004
0.83,0.3,2020-02-08,0.51,2,3021.60792053679
0.84,0.3,2020-02-08,0.51,2,3209.84302844966
0.85,0.3,2020-02-08,0.51,2,3392.93623035022
0.86,0.3,2020-02-08,0.51,2,3570.88581932787
0.87,0.3,2020-02-08,0.51,2,3743.73310242679
0.88,0.3,2020-02-08,0.51,2,3911.05962419622
0.89,0.3,2020-02-08,0.51,2,4070.99313597139
0.9,0.3,2020-02-08,0.51,2,4222.13377426714
0.91,0.3,2020-02-08,0.51,2,4364.02048898001
0.92,0.3,2020-02-08,0.51,2,4496.80262134529
0.93,0.3,2020-02-08,0.51,2,4620.94974772148
0.94,0.3,2020-02-08,0.51,2,4737.08141640465
0.95,0.3,2020-02-08,0.51,2,4845.85666377737
0.55,0.35,2020-02-08,0.51,2,6116.79334360011
0.56,0.35,2020-02-08,0.51,2,5651.32115189862
0.57,0.35,2020-02-08,0.51,2,5200.33947294972
