"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.55,0.1,0.25,2020-02-28,0.65,3,48.0155506924718
0.56,0.1,0.25,2020-02-28,0.65,3,46.3050952013507
0.57,0.1,0.25,2020-02-28,0.65,3,44.6228271424137
0.58,0.1,0.25,2020-02-28,0.65,3,42.9691116728521
0.59,0.1,0.25,2020-02-28,0.65,3,41.3443971745173
0.6,0.1,0.25,2020-02-28,0.65,3,39.7495800794874
0.61,0.1,0.25,2020-02-28,0.65,3,38.1851385604419
0.62,0.1,0.25,2020-02-28,0.65,3,36.6518486988304
0.63,0.1,0.25,2020-02-28,0.65,3,35.150487497647
0.64,0.1,0.25,2020-02-28,0.65,3,33.6821353935395
0.65,0.1,0.25,2020-02-28,0.65,3,32.2475744484238
0.66,0.1,0.25,2020-02-28,0.65,3,30.8481177110712
0.67,0.1,0.25,2020-02-28,0.65,3,29.4850432452183
0.68,0.1,0.25,2020-02-28,0.65,3,28.1592895847539
0.69,0.1,0.25,2020-02-28,0.65,3,26.8729231237483
0.7,0.1,0.25,2020-02-28,0.65,3,25.6273319188922
0.71,0.1,0.25,2020-02-28,0.65,3,24.4244840163024
0.72,0.1,0.25,2020-02-28,0.65,3,23.2664393943836
0.73,0.1,0.25,2020-02-28,0.65,3,22.1554880258141
0.74,0.1,0.25,2020-02-28,0.65,3,21.0938834920287
0.75,0.1,0.25,2020-02-28,0.65,3,20.0845995806603
0.76,0.1,0.25,2020-02-28,0.65,3,19.1305534204846
0.77,0.1,0.25,2020-02-28,0.65,3,18.2350533302122
0.78,0.1,0.25,2020-02-28,0.65,3,17.4013281716798
0.79,0.1,0.25,2020-02-28,0.65,3,16.632433888324
0.8,0.1,0.25,2020-02-28,0.65,3,15.9318439422971
0.81,0.1,0.25,2020-02-28,0.65,3,15.3025551278014
0.82,0.1,0.25,2020-02-28,0.65,3,14.7464351863875
0.83,0.1,0.25,2020-02-28,0.65,3,14.2625280556772
