"start_date","b1","initial.infected","loss"
2020-01-31,0,1,23.5993709774519
2020-02-07,0,1,24.2955464870741
2020-02-14,0,1,25.0579317821651
2020-02-21,0,1,25.8980860789313
2020-02-28,0,1,26.8306975137784
2020-03-06,0,1,27.8746750180919
2020-03-13,0,1,29.0546253595056
2020-01-31,0.05,1,23.2691627384311
2020-02-07,0.05,1,23.9583359463057
2020-02-14,0.05,1,24.7158331621564
2020-02-21,0.05,1,25.5544190447457
2020-02-28,0.05,1,26.4903398638972
2020-03-06,0.05,1,27.5438757750407
2020-03-13,0.05,1,28.7360958183055
2020-01-31,0.1,1,22.6172457302401
2020-02-07,0.1,1,23.3590843565712
2020-02-14,0.1,1,24.1769944423627
2020-02-21,0.1,1,25.0836382555931
2020-02-28,0.1,1,26.0945603937519
2020-03-06,0.1,1,27.2280679770646
2020-03-13,0.1,1,28.4967392194724
2020-01-31,0.15,1,20.426516919508
2020-02-07,0.15,1,21.5644875235895
2020-02-14,0.15,1,22.7384840291431
2020-02-21,0.15,1,23.9611697948796
2020-02-28,0.15,1,25.2481273499873
2020-03-06,0.15,1,26.6171660971646
2020-03-13,0.15,1,28.0726581378324
2020-01-31,0.2,1,12.2079838947584
2020-02-07,0.2,1,15.6068400707859
2020-02-14,0.2,1,18.5291150420868
2020-02-21,0.2,1,21.0607029521096
2020-02-28,0.2,1,23.3067768960984
2020-03-06,0.2,1,25.3634269256822
2020-03-13,0.2,1,27.2859475741746
2020-01-31,0.25,1,475.777537191916
2020-02-07,0.25,1,188.496779543146
2020-02-14,0.25,1,47.8879756505788
2020-02-21,0.25,1,9.43457685373403
2020-02-28,0.25,1,18.4161461469828
2020-03-06,0.25,1,22.6950599439302
2020-03-13,0.25,1,25.7819864014751
2020-01-31,0.3,1,3374.10094641262
2020-02-07,0.3,1,1974.5595697718
2020-02-14,0.3,1,1017.59478444107
2020-02-21,0.3,1,439.014415982725
2020-02-28,0.3,1,137.777489243108
2020-03-06,0.3,1,21.2152358659571
2020-03-13,0.3,1,21.849595448844
2020-01-31,0.35,1,8730.69523931565
2020-02-07,0.35,1,6051.4689199287
2020-02-14,0.35,1,3746.72815337795
2020-02-21,0.35,1,2027.91058115801
2020-02-28,0.35,1,930.945199954757
2020-03-06,0.35,1,336.042483889771
2020-03-13,0.35,1,77.0742973885726
2020-01-31,0.4,1,14256.8762198764
2020-02-07,0.4,1,11168.9128507026
2020-02-14,0.4,1,7986.09815159336
2020-02-21,0.4,1,5046.35812627008
2020-02-28,0.4,1,2728.87675377062
2020-03-06,0.4,1,1221.82679205766
2020-03-13,0.4,1,432.337787643615
2020-01-31,0.45,1,18632.5299788939
2020-02-07,0.45,1,15710.2018384155
2020-02-14,0.45,1,12406.5401286251
2020-02-21,0.45,1,8885.83002547782
2020-02-28,0.45,1,5536.43441215396
2020-03-06,0.45,1,2869.41065313683
2020-03-13,0.45,1,1201.82366231552
2020-01-31,0.5,1,21860.3126344921
2020-02-07,0.5,1,19246.8358242374
2020-02-14,0.5,1,16160.4669314316
2020-02-21,0.5,1,12617.645767787
2020-02-28,0.5,1,8808.85222989399
2020-03-06,0.5,1,5213.18320224474
2020-03-13,0.5,1,2494.26967260182
2020-01-31,0.55,1,24221.6869599584
2020-02-07,0.55,1,21923.2104226961
2020-02-14,0.55,1,19124.328130941
2020-02-21,0.55,1,15792.4346311615
2020-02-28,0.55,1,11957.1023029253
2020-03-06,0.55,1,7892.10096853229
2020-03-13,0.55,1,4275.1762264726
2020-01-31,0.6,1,25960.9990162124
2020-02-07,0.6,1,23955.810557762
2020-02-14,0.6,1,21432.0650039762
2020-02-21,0.6,1,18362.5081281806
2020-02-28,0.6,1,14699.0820881213
2020-03-06,0.6,1,10530.583015883
2020-03-13,0.6,1,6350.25583880029
2020-01-31,0.65,1,27256.5120979668
2020-02-07,0.65,1,25516.5697083908
2020-02-14,0.65,1,23241.4776807378
2020-02-21,0.65,1,20421.2588173634
2020-02-28,0.65,1,16988.8764721722
2020-03-06,0.65,1,12917.4938966774
2020-03-13,0.65,1,8487.72286346622
2020-01-31,0.7,1,28238.3295928341
2020-02-07,0.7,1,26729.0010442143
2020-02-14,0.7,1,24678.1348745379
2020-02-21,0.7,1,22079.3787472356
2020-02-28,0.7,1,18877.326680517
2020-03-06,0.7,1,14987.5169368842
2020-03-13,0.7,1,10521.8065522467
2020-01-31,0.75,1,29001.466066786
2020-02-07,0.75,1,27680.8556683487
2020-02-14,0.75,1,25834.1994519268
2020-02-21,0.75,1,23429.6964825471
2020-02-28,0.75,1,20436.9271330075
2020-03-06,0.75,1,16751.4671286778
2020-03-13,0.75,1,12370.2881400446
2020-01-31,0.8,1,29612.4496684881
2020-02-07,0.8,1,28437.2531908487
2020-02-14,0.8,1,26775.7778364065
2020-02-21,0.8,1,24543.1108648858
2020-02-28,0.8,1,21734.5392754588
2020-03-06,0.8,1,18248.1206999001
