"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.55,0.1,0.25,2020-02-14,0.3,3,3.52668544143678
0.56,0.1,0.25,2020-02-14,0.3,3,3.47459287822856
0.57,0.1,0.25,2020-02-14,0.3,3,3.42635215743443
0.58,0.1,0.25,2020-02-14,0.3,3,3.38132721912616
0.59,0.1,0.25,2020-02-14,0.3,3,3.33866608688624
0.6,0.1,0.25,2020-02-14,0.3,3,3.2968911956327
0.61,0.1,0.25,2020-02-14,0.3,3,3.25562886429016
0.62,0.1,0.25,2020-02-14,0.3,3,3.21488426299023
0.63,0.1,0.25,2020-02-14,0.3,3,3.17466020922879
0.64,0.1,0.25,2020-02-14,0.3,3,3.13497030252172
0.65,0.1,0.25,2020-02-14,0.3,3,3.09583356375597
0.66,0.1,0.25,2020-02-14,0.3,3,3.05721660333713
0.67,0.1,0.25,2020-02-14,0.3,3,3.01916987941767
0.68,0.1,0.25,2020-02-14,0.3,3,2.98169248194587
0.69,0.1,0.25,2020-02-14,0.3,3,2.94478752140181
0.7,0.1,0.25,2020-02-14,0.3,3,2.90849130788263
0.71,0.1,0.25,2020-02-14,0.3,3,2.87279310329992
0.72,0.1,0.25,2020-02-14,0.3,3,2.83766557629219
0.73,0.1,0.25,2020-02-14,0.3,3,2.80318061691582
0.74,0.1,0.25,2020-02-14,0.3,3,2.76933433267054
0.75,0.1,0.25,2020-02-14,0.3,3,2.73611312156794
0.76,0.1,0.25,2020-02-14,0.3,3,2.70356236933287
0.77,0.1,0.25,2020-02-14,0.3,3,2.67166658613469
0.78,0.1,0.25,2020-02-14,0.3,3,2.64044737756274
0.79,0.1,0.25,2020-02-14,0.3,3,2.60990860175455
0.8,0.1,0.25,2020-02-14,0.3,3,2.58007381605906
0.81,0.1,0.25,2020-02-14,0.3,3,2.55095430721287
0.82,0.1,0.25,2020-02-14,0.3,3,2.52253862918774
0.83,0.1,0.25,2020-02-14,0.3,3,2.4948658815696
0.84,0.1,0.25,2020-02-14,0.3,3,2.46795806941318
0.85,0.1,0.25,2020-02-14,0.3,3,2.44179190014045
0.86,0.1,0.25,2020-02-14,0.3,3,2.41638696793614
0.87,0.1,0.25,2020-02-14,0.3,3,2.39177023623317
0.88,0.1,0.25,2020-02-14,0.3,3,2.36794073143708
0.89,0.1,0.25,2020-02-14,0.3,3,2.34490436673749
0.9,0.1,0.25,2020-02-14,0.3,3,2.32268205149998
0.91,0.1,0.25,2020-02-14,0.3,3,2.30128947452584
0.92,0.1,0.25,2020-02-14,0.3,3,2.28071646470814
0.93,0.1,0.25,2020-02-14,0.3,3,2.26098628021843
0.94,0.1,0.25,2020-02-14,0.3,3,2.24209904729717
0.95,0.1,0.25,2020-02-14,0.3,3,2.22406914023358
0.55,0.2,0.25,2020-02-14,0.3,3,2.64509928893621
0.56,0.2,0.25,2020-02-14,0.3,3,2.61492241515173
0.57,0.2,0.25,2020-02-14,0.3,3,2.58544938256567
0.58,0.2,0.25,2020-02-14,0.3,3,2.55668745387486
0.59,0.2,0.25,2020-02-14,0.3,3,2.52865137737194
0.6,0.2,0.25,2020-02-14,0.3,3,2.50135121863062
0.61,0.2,0.25,2020-02-14,0.3,3,2.4747964777978
0.62,0.2,0.25,2020-02-14,0.3,3,2.44899708070535
0.63,0.2,0.25,2020-02-14,0.3,3,2.42397105147897
0.64,0.2,0.25,2020-02-14,0.3,3,2.39971559672178
0.65,0.2,0.25,2020-02-14,0.3,3,2.37624883385309
0.66,0.2,0.25,2020-02-14,0.3,3,2.35357306953991
0.67,0.2,0.25,2020-02-14,0.3,3,2.33170174129217
0.68,0.2,0.25,2020-02-14,0.3,3,2.31065059805157
0.69,0.2,0.25,2020-02-14,0.3,3,2.2904177745992
0.7,0.2,0.25,2020-02-14,0.3,3,2.27101346299472
0.71,0.2,0.25,2020-02-14,0.3,3,2.25244549911812
0.72,0.2,0.25,2020-02-14,0.3,3,2.23471880628496
0.73,0.2,0.25,2020-02-14,0.3,3,2.21783777878516
0.74,0.2,0.25,2020-02-14,0.3,3,2.20180728461513
0.75,0.2,0.25,2020-02-14,0.3,3,2.18664249717143
0.76,0.2,0.25,2020-02-14,0.3,3,2.17233398751113
