"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-04,0.34,1,25.2192989291786
0.56,0.25,2020-02-04,0.34,1,24.8016294510392
0.57,0.25,2020-02-04,0.34,1,24.3875400020184
0.58,0.25,2020-02-04,0.34,1,23.9772691946175
0.59,0.25,2020-02-04,0.34,1,23.5708536247335
0.6,0.25,2020-02-04,0.34,1,23.1683058533921
0.61,0.25,2020-02-04,0.34,1,22.7697504199832
0.62,0.25,2020-02-04,0.34,1,22.375350050793
0.63,0.25,2020-02-04,0.34,1,21.9851279347396
0.64,0.25,2020-02-04,0.34,1,21.5993168085464
0.65,0.25,2020-02-04,0.34,1,21.2179305986496
0.66,0.25,2020-02-04,0.34,1,20.8411722527524
0.67,0.25,2020-02-04,0.34,1,20.4691521876571
0.68,0.25,2020-02-04,0.34,1,20.1019990634504
0.69,0.25,2020-02-04,0.34,1,19.7399898144634
0.7,0.25,2020-02-04,0.34,1,19.3832902969656
0.71,0.25,2020-02-04,0.34,1,19.0319818705033
0.72,0.25,2020-02-04,0.34,1,18.6864851564754
0.73,0.25,2020-02-04,0.34,1,18.3469167552336
0.74,0.25,2020-02-04,0.34,1,18.0136499660544
0.75,0.25,2020-02-04,0.34,1,17.6870278460116
0.76,0.25,2020-02-04,0.34,1,17.3673084409966
0.77,0.25,2020-02-04,0.34,1,17.0551918231127
0.78,0.25,2020-02-04,0.34,1,16.7507499260177
0.79,0.25,2020-02-04,0.34,1,16.4549778642973
0.8,0.25,2020-02-04,0.34,1,16.1685182851832
0.81,0.25,2020-02-04,0.34,1,15.892298770028
0.82,0.25,2020-02-04,0.34,1,15.627707729725
0.83,0.25,2020-02-04,0.34,1,15.3763036893014
0.84,0.25,2020-02-04,0.34,1,15.1407781826158
0.85,0.25,2020-02-04,0.34,1,14.9257716339364
0.86,0.25,2020-02-04,0.34,1,14.7528772208568
0.87,0.25,2020-02-04,0.34,1,14.6603566904887
0.88,0.25,2020-02-04,0.34,1,14.5694772596884
0.89,0.25,2020-02-04,0.34,1,14.4791462165402
0.9,0.25,2020-02-04,0.34,1,14.3893556709351
0.91,0.25,2020-02-04,0.34,1,14.3001154528167
0.92,0.25,2020-02-04,0.34,1,14.2114181834585
0.93,0.25,2020-02-04,0.34,1,14.1232688992722
0.94,0.25,2020-02-04,0.34,1,14.03565959676
0.95,0.25,2020-02-04,0.34,1,13.948612722293
0.55,0.3,2020-02-04,0.34,1,19.9098292768567
