"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-18,0.19,3,1.4763780850088
0.56,0.25,2020-02-18,0.19,3,1.47502954104649
0.57,0.25,2020-02-18,0.19,3,1.47815962252188
0.58,0.25,2020-02-18,0.19,3,1.48564707358877
0.59,0.25,2020-02-18,0.19,3,1.49733581344637
0.6,0.25,2020-02-18,0.19,3,1.51303990613313
0.61,0.25,2020-02-18,0.19,3,1.53255065212591
0.62,0.25,2020-02-18,0.19,3,1.55564153261506
0.63,0.25,2020-02-18,0.19,3,1.58207543932593
0.64,0.25,2020-02-18,0.19,3,1.6116102999974
0.65,0.25,2020-02-18,0.19,3,1.64400419660025
0.66,0.25,2020-02-18,0.19,3,1.67901962902785
0.67,0.25,2020-02-18,0.19,3,1.7164268370906
0.68,0.25,2020-02-18,0.19,3,1.75600643690682
0.69,0.25,2020-02-18,0.19,3,1.79755092324942
0.7,0.25,2020-02-18,0.19,3,1.84086583022867
0.71,0.25,2020-02-18,0.19,3,1.8857701903528
0.72,0.25,2020-02-18,0.19,3,1.93209674708825
0.73,0.25,2020-02-18,0.19,3,1.97969103589702
0.74,0.25,2020-02-18,0.19,3,2.02841185202898
0.75,0.25,2020-02-18,0.19,3,2.07812994821692
0.76,0.25,2020-02-18,0.19,3,2.12872744356455
0.77,0.25,2020-02-18,0.19,3,2.18009702653585
0.78,0.25,2020-02-18,0.19,3,2.23214114501932
0.79,0.25,2020-02-18,0.19,3,2.28477121015799
0.8,0.25,2020-02-18,0.19,3,2.33790682798241
0.81,0.25,2020-02-18,0.19,3,2.39147525627684
0.82,0.25,2020-02-18,0.19,3,2.44540997922019
0.83,0.25,2020-02-18,0.19,3,2.49965100639285
0.84,0.25,2020-02-18,0.19,3,2.55414431265224
0.85,0.25,2020-02-18,0.19,3,2.60884034507084
0.86,0.25,2020-02-18,0.19,3,2.66369430776079
0.87,0.25,2020-02-18,0.19,3,2.71866553222647
0.88,0.25,2020-02-18,0.19,3,2.77371708184931
0.89,0.25,2020-02-18,0.19,3,2.8288153940007
0.9,0.25,2020-02-18,0.19,3,2.88392995767258
0.91,0.25,2020-02-18,0.19,3,2.9389165707899
0.92,0.25,2020-02-18,0.19,3,2.99358451045043
