"region","time","date","period","b1"
"Ashtabula County, OH",0,2020-03-10,"baseline",-0.03
"Ashtabula County, OH",1,2020-03-11,"baseline",-0.03
"Ashtabula County, OH",2,2020-03-12,"baseline",-0.03
"Ashtabula County, OH",3,2020-03-13,"baseline",-0.03
"Ashtabula County, OH",4,2020-03-14,"baseline",-0.03
"Ashtabula County, OH",5,2020-03-15,"baseline",-0.03
"Ashtabula County, OH",6,2020-03-16,"baseline",-0.03
"Ashtabula County, OH",7,2020-03-17,"baseline",-0.03
"Ashtabula County, OH",8,2020-03-18,"baseline",-0.03
"Ashtabula County, OH",9,2020-03-19,"baseline",-0.03
"Ashtabula County, OH",10,2020-03-20,"baseline",-0.03
"Ashtabula County, OH",11,2020-03-21,"baseline",-0.03
"Ashtabula County, OH",12,2020-03-22,"baseline",-0.03
"Ashtabula County, OH",12,2020-03-22,"step1",0.6
"Ashtabula County, OH",13,2020-03-23,"step1",0.6
"Ashtabula County, OH",14,2020-03-24,"step1",0.6
"Ashtabula County, OH",14,2020-03-24,"step2",0.56
"Ashtabula County, OH",15,2020-03-25,"step2",0.56
"Ashtabula County, OH",16,2020-03-26,"step2",0.56
"Ashtabula County, OH",16,2020-03-26,"step3",0.5
"Ashtabula County, OH",17,2020-03-27,"step3",0.5
"Ashtabula County, OH",18,2020-03-28,"step3",0.5
"Ashtabula County, OH",18,2020-03-28,"step4",0.45
"Ashtabula County, OH",19,2020-03-29,"step4",0.45
"Ashtabula County, OH",20,2020-03-30,"step4",0.45
"Ashtabula County, OH",20,2020-03-30,"step5",0.39
"Ashtabula County, OH",21,2020-03-31,"step5",0.39
"Ashtabula County, OH",22,2020-04-01,"step5",0.39
"Ashtabula County, OH",22,2020-04-01,"step6",0.34
"Ashtabula County, OH",23,2020-04-02,"step6",0.34
"Ashtabula County, OH",24,2020-04-03,"step6",0.34
"Ashtabula County, OH",24,2020-04-03,"step7",0.3
"Ashtabula County, OH",25,2020-04-04,"step7",0.3
"Ashtabula County, OH",26,2020-04-05,"step7",0.3
"Ashtabula County, OH",26,2020-04-05,"step8",0.27
"Ashtabula County, OH",27,2020-04-06,"step8",0.27
"Ashtabula County, OH",28,2020-04-07,"step8",0.27
"Ashtabula County, OH",28,2020-04-07,"step9",0.24
"Ashtabula County, OH",29,2020-04-08,"step9",0.24
"Ashtabula County, OH",30,2020-04-09,"step9",0.24
"Ashtabula County, OH",30,2020-04-09,"step10",0.22
"Ashtabula County, OH",31,2020-04-10,"step10",0.22
"Ashtabula County, OH",32,2020-04-11,"step10",0.22
"Ashtabula County, OH",32,2020-04-11,"step11",0.19
"Ashtabula County, OH",33,2020-04-12,"step11",0.19
"Ashtabula County, OH",34,2020-04-13,"step11",0.19
"Ashtabula County, OH",34,2020-04-13,"step12",0.16
"Ashtabula County, OH",35,2020-04-14,"step12",0.16
"Ashtabula County, OH",36,2020-04-15,"step12",0.16
"Ashtabula County, OH",36,2020-04-15,"step13",0.14
"Ashtabula County, OH",37,2020-04-16,"step13",0.14
"Ashtabula County, OH",38,2020-04-17,"step13",0.14
"Ashtabula County, OH",38,2020-04-17,"step14",0.12
"Ashtabula County, OH",39,2020-04-18,"step14",0.12
"Ashtabula County, OH",40,2020-04-19,"step14",0.12
"Ashtabula County, OH",40,2020-04-19,"step15",0.1
"Ashtabula County, OH",41,2020-04-20,"step15",0.1
"Ashtabula County, OH",42,2020-04-21,"step15",0.1
"Ashtabula County, OH",42,2020-04-21,"step16",0.09
"Ashtabula County, OH",43,2020-04-22,"step16",0.09
"Ashtabula County, OH",44,2020-04-23,"step16",0.09
"Ashtabula County, OH",44,2020-04-23,"step17",0.09
"Ashtabula County, OH",45,2020-04-24,"step17",0.09
"Ashtabula County, OH",46,2020-04-25,"step17",0.09
"Ashtabula County, OH",46,2020-04-25,"step18",0.09
"Ashtabula County, OH",47,2020-04-26,"step18",0.09
"Ashtabula County, OH",48,2020-04-27,"step18",0.09
"Ashtabula County, OH",48,2020-04-27,"step19",0.07
"Ashtabula County, OH",49,2020-04-28,"step19",0.07
"Ashtabula County, OH",50,2020-04-29,"step19",0.07
"Ashtabula County, OH",50,2020-04-29,"step20",0
"Ashtabula County, OH",51,2020-04-30,"step20",0
"Ashtabula County, OH",52,2020-05-01,"step20",0
"Ashtabula County, OH",52,2020-05-01,"step21",0
"Ashtabula County, OH",53,2020-05-02,"step21",0
"Ashtabula County, OH",54,2020-05-03,"step21",0
"Ashtabula County, OH",54,2020-05-03,"step22",0
"Ashtabula County, OH",55,2020-05-04,"step22",0
"Ashtabula County, OH",56,2020-05-05,"step22",0
"Ashtabula County, OH",56,2020-05-05,"step23",0
"Ashtabula County, OH",57,2020-05-06,"step23",0
"Ashtabula County, OH",58,2020-05-07,"step23",0
"Ashtabula County, OH",58,2020-05-07,"step24",0
"Ashtabula County, OH",59,2020-05-08,"step24",0
"Ashtabula County, OH",60,2020-05-09,"step24",0
"Ashtabula County, OH",60,2020-05-09,"step25",0
"Ashtabula County, OH",61,2020-05-10,"step25",0
"Ashtabula County, OH",62,2020-05-11,"step25",0
