"region","time","date","period","b1"
"Bronx County, NY",0,2020-02-28,"baseline",0.83
"Bronx County, NY",1,2020-02-29,"baseline",0.83
"Bronx County, NY",2,2020-03-01,"baseline",0.83
"Bronx County, NY",3,2020-03-02,"baseline",0.83
"Bronx County, NY",4,2020-03-03,"baseline",0.83
"Bronx County, NY",5,2020-03-04,"baseline",0.83
"Bronx County, NY",6,2020-03-05,"baseline",0.83
"Bronx County, NY",7,2020-03-06,"baseline",0.83
"Bronx County, NY",8,2020-03-07,"baseline",0.83
"Bronx County, NY",9,2020-03-08,"baseline",0.83
"Bronx County, NY",10,2020-03-09,"baseline",0.83
"Bronx County, NY",11,2020-03-10,"baseline",0.83
"Bronx County, NY",11,2020-03-10,"step1",0.6
"Bronx County, NY",12,2020-03-11,"step1",0.6
"Bronx County, NY",13,2020-03-12,"step1",0.6
"Bronx County, NY",13,2020-03-12,"step2",0.56
"Bronx County, NY",14,2020-03-13,"step2",0.56
"Bronx County, NY",15,2020-03-14,"step2",0.56
"Bronx County, NY",15,2020-03-14,"step3",0.52
"Bronx County, NY",16,2020-03-15,"step3",0.52
"Bronx County, NY",17,2020-03-16,"step3",0.52
"Bronx County, NY",17,2020-03-16,"step4",0.48
"Bronx County, NY",18,2020-03-17,"step4",0.48
"Bronx County, NY",19,2020-03-18,"step4",0.48
"Bronx County, NY",19,2020-03-18,"step5",0.44
"Bronx County, NY",20,2020-03-19,"step5",0.44
"Bronx County, NY",21,2020-03-20,"step5",0.44
"Bronx County, NY",21,2020-03-20,"step6",0.41
"Bronx County, NY",22,2020-03-21,"step6",0.41
"Bronx County, NY",23,2020-03-22,"step6",0.41
"Bronx County, NY",23,2020-03-22,"step7",0.37
"Bronx County, NY",24,2020-03-23,"step7",0.37
"Bronx County, NY",25,2020-03-24,"step7",0.37
"Bronx County, NY",25,2020-03-24,"step8",0.34
"Bronx County, NY",26,2020-03-25,"step8",0.34
"Bronx County, NY",27,2020-03-26,"step8",0.34
"Bronx County, NY",27,2020-03-26,"step9",0.31
"Bronx County, NY",28,2020-03-27,"step9",0.31
"Bronx County, NY",29,2020-03-28,"step9",0.31
"Bronx County, NY",29,2020-03-28,"step10",0.28
"Bronx County, NY",30,2020-03-29,"step10",0.28
"Bronx County, NY",31,2020-03-30,"step10",0.28
"Bronx County, NY",31,2020-03-30,"step11",0.24
"Bronx County, NY",32,2020-03-31,"step11",0.24
"Bronx County, NY",33,2020-04-01,"step11",0.24
"Bronx County, NY",33,2020-04-01,"step12",0.2
"Bronx County, NY",34,2020-04-02,"step12",0.2
"Bronx County, NY",35,2020-04-03,"step12",0.2
"Bronx County, NY",35,2020-04-03,"step13",0.16
"Bronx County, NY",36,2020-04-04,"step13",0.16
"Bronx County, NY",37,2020-04-05,"step13",0.16
"Bronx County, NY",37,2020-04-05,"step14",0.12
"Bronx County, NY",38,2020-04-06,"step14",0.12
"Bronx County, NY",39,2020-04-07,"step14",0.12
"Bronx County, NY",39,2020-04-07,"step15",0.08
"Bronx County, NY",40,2020-04-08,"step15",0.08
"Bronx County, NY",41,2020-04-09,"step15",0.08
"Bronx County, NY",41,2020-04-09,"step16",0.04
"Bronx County, NY",42,2020-04-10,"step16",0.04
"Bronx County, NY",43,2020-04-11,"step16",0.04
"Bronx County, NY",43,2020-04-11,"step17",0.01
"Bronx County, NY",44,2020-04-12,"step17",0.01
"Bronx County, NY",45,2020-04-13,"step17",0.01
"Bronx County, NY",45,2020-04-13,"step18",0
"Bronx County, NY",46,2020-04-14,"step18",0
"Bronx County, NY",47,2020-04-15,"step18",0
"Bronx County, NY",47,2020-04-15,"step19",0
"Bronx County, NY",48,2020-04-16,"step19",0
"Bronx County, NY",49,2020-04-17,"step19",0
"Bronx County, NY",49,2020-04-17,"step20",0
"Bronx County, NY",50,2020-04-18,"step20",0
"Bronx County, NY",51,2020-04-19,"step20",0
"Bronx County, NY",51,2020-04-19,"step21",0
"Bronx County, NY",52,2020-04-20,"step21",0
"Bronx County, NY",53,2020-04-21,"step21",0
"Bronx County, NY",53,2020-04-21,"step22",0
"Bronx County, NY",54,2020-04-22,"step22",0
"Bronx County, NY",55,2020-04-23,"step22",0
"Bronx County, NY",55,2020-04-23,"step23",0
"Bronx County, NY",56,2020-04-24,"step23",0
"Bronx County, NY",57,2020-04-25,"step23",0
"Bronx County, NY",57,2020-04-25,"step24",0
"Bronx County, NY",58,2020-04-26,"step24",0
"Bronx County, NY",59,2020-04-27,"step24",0
"Bronx County, NY",59,2020-04-27,"step25",0
"Bronx County, NY",60,2020-04-28,"step25",0
"Bronx County, NY",61,2020-04-29,"step25",0
"Bronx County, NY",61,2020-04-29,"step26",0
"Bronx County, NY",62,2020-04-30,"step26",0
"Bronx County, NY",63,2020-05-01,"step26",0
"Bronx County, NY",63,2020-05-01,"step27",0
"Bronx County, NY",64,2020-05-02,"step27",0
"Bronx County, NY",65,2020-05-03,"step27",0
"Bronx County, NY",65,2020-05-03,"step28",0
"Bronx County, NY",66,2020-05-04,"step28",0
"Bronx County, NY",67,2020-05-05,"step28",0
"Bronx County, NY",67,2020-05-05,"step29",0.07
"Bronx County, NY",68,2020-05-06,"step29",0.07
"Bronx County, NY",69,2020-05-07,"step29",0.07
"Bronx County, NY",69,2020-05-07,"step30",0.22
"Bronx County, NY",70,2020-05-08,"step30",0.22
"Bronx County, NY",71,2020-05-09,"step30",0.22
"Bronx County, NY",71,2020-05-09,"step31",0.33
"Bronx County, NY",72,2020-05-10,"step31",0.33
"Bronx County, NY",73,2020-05-11,"step31",0.33
"Bronx County, NY",73,2020-05-11,"step32",0.5
"Bronx County, NY",74,2020-05-12,"step32",0.5
"Bronx County, NY",75,2020-05-13,"step32",0.5
"Bronx County, NY",75,2020-05-13,"step33",0.87
"Bronx County, NY",76,2020-05-14,"step33",0.87
"Bronx County, NY",77,2020-05-15,"step33",0.87
"Bronx County, NY",77,2020-05-15,"step34",1.33
"Bronx County, NY",78,2020-05-16,"step34",1.33
"Bronx County, NY",79,2020-05-17,"step34",1.33
"Bronx County, NY",79,2020-05-17,"step35",1.3
"Bronx County, NY",80,2020-05-18,"step35",1.3
"Bronx County, NY",81,2020-05-19,"step35",1.3
