"region","time","date","period","b1"
"Clark County, WA",0,2020-02-02,"baseline",0.22
"Clark County, WA",1,2020-02-03,"baseline",0.22
"Clark County, WA",2,2020-02-04,"baseline",0.22
"Clark County, WA",3,2020-02-05,"baseline",0.22
"Clark County, WA",4,2020-02-06,"baseline",0.22
"Clark County, WA",5,2020-02-07,"baseline",0.22
"Clark County, WA",6,2020-02-08,"baseline",0.22
"Clark County, WA",7,2020-02-09,"baseline",0.22
"Clark County, WA",8,2020-02-10,"baseline",0.22
"Clark County, WA",9,2020-02-11,"baseline",0.22
"Clark County, WA",10,2020-02-12,"baseline",0.22
"Clark County, WA",11,2020-02-13,"baseline",0.22
"Clark County, WA",12,2020-02-14,"baseline",0.22
"Clark County, WA",13,2020-02-15,"baseline",0.22
"Clark County, WA",14,2020-02-16,"baseline",0.22
"Clark County, WA",15,2020-02-17,"baseline",0.22
"Clark County, WA",16,2020-02-18,"baseline",0.22
"Clark County, WA",17,2020-02-19,"baseline",0.22
"Clark County, WA",18,2020-02-20,"baseline",0.22
"Clark County, WA",19,2020-02-21,"baseline",0.22
"Clark County, WA",20,2020-02-22,"baseline",0.22
"Clark County, WA",21,2020-02-23,"baseline",0.22
"Clark County, WA",22,2020-02-24,"baseline",0.22
"Clark County, WA",23,2020-02-25,"baseline",0.22
"Clark County, WA",24,2020-02-26,"baseline",0.22
"Clark County, WA",25,2020-02-27,"baseline",0.22
"Clark County, WA",26,2020-02-28,"baseline",0.22
"Clark County, WA",27,2020-02-29,"baseline",0.22
"Clark County, WA",28,2020-03-01,"baseline",0.22
"Clark County, WA",29,2020-03-02,"baseline",0.22
"Clark County, WA",30,2020-03-03,"baseline",0.22
"Clark County, WA",31,2020-03-04,"baseline",0.22
"Clark County, WA",32,2020-03-05,"baseline",0.22
"Clark County, WA",33,2020-03-06,"baseline",0.22
"Clark County, WA",34,2020-03-07,"baseline",0.22
"Clark County, WA",35,2020-03-08,"baseline",0.22
"Clark County, WA",36,2020-03-09,"baseline",0.22
"Clark County, WA",36,2020-03-09,"step1",0.18
"Clark County, WA",37,2020-03-10,"step1",0.18
"Clark County, WA",38,2020-03-11,"step1",0.18
"Clark County, WA",38,2020-03-11,"step2",0.16
"Clark County, WA",39,2020-03-12,"step2",0.16
"Clark County, WA",40,2020-03-13,"step2",0.16
"Clark County, WA",40,2020-03-13,"step3",0.16
"Clark County, WA",41,2020-03-14,"step3",0.16
"Clark County, WA",42,2020-03-15,"step3",0.16
"Clark County, WA",42,2020-03-15,"step4",0.15
"Clark County, WA",43,2020-03-16,"step4",0.15
"Clark County, WA",44,2020-03-17,"step4",0.15
"Clark County, WA",44,2020-03-17,"step5",0.14
"Clark County, WA",45,2020-03-18,"step5",0.14
"Clark County, WA",46,2020-03-19,"step5",0.14
"Clark County, WA",46,2020-03-19,"step6",0.14
"Clark County, WA",47,2020-03-20,"step6",0.14
"Clark County, WA",48,2020-03-21,"step6",0.14
"Clark County, WA",48,2020-03-21,"step7",0.14
"Clark County, WA",49,2020-03-22,"step7",0.14
"Clark County, WA",50,2020-03-23,"step7",0.14
"Clark County, WA",50,2020-03-23,"step8",0.13
"Clark County, WA",51,2020-03-24,"step8",0.13
"Clark County, WA",52,2020-03-25,"step8",0.13
"Clark County, WA",52,2020-03-25,"step9",0.12
"Clark County, WA",53,2020-03-26,"step9",0.12
"Clark County, WA",54,2020-03-27,"step9",0.12
"Clark County, WA",54,2020-03-27,"step10",0.11
"Clark County, WA",55,2020-03-28,"step10",0.11
"Clark County, WA",56,2020-03-29,"step10",0.11
"Clark County, WA",56,2020-03-29,"step11",0.1
"Clark County, WA",57,2020-03-30,"step11",0.1
"Clark County, WA",58,2020-03-31,"step11",0.1
"Clark County, WA",58,2020-03-31,"step12",0.1
"Clark County, WA",59,2020-04-01,"step12",0.1
"Clark County, WA",60,2020-04-02,"step12",0.1
"Clark County, WA",60,2020-04-02,"step13",0.1
"Clark County, WA",61,2020-04-03,"step13",0.1
"Clark County, WA",62,2020-04-04,"step13",0.1
"Clark County, WA",62,2020-04-04,"step14",0.1
"Clark County, WA",63,2020-04-05,"step14",0.1
"Clark County, WA",64,2020-04-06,"step14",0.1
"Clark County, WA",64,2020-04-06,"step15",0.1
"Clark County, WA",65,2020-04-07,"step15",0.1
"Clark County, WA",66,2020-04-08,"step15",0.1
"Clark County, WA",66,2020-04-08,"step16",0.11
"Clark County, WA",67,2020-04-09,"step16",0.11
"Clark County, WA",68,2020-04-10,"step16",0.11
"Clark County, WA",68,2020-04-10,"step17",0.12
"Clark County, WA",69,2020-04-11,"step17",0.12
"Clark County, WA",70,2020-04-12,"step17",0.12
"Clark County, WA",70,2020-04-12,"step18",0.12
"Clark County, WA",71,2020-04-13,"step18",0.12
"Clark County, WA",72,2020-04-14,"step18",0.12
"Clark County, WA",72,2020-04-14,"step19",0.12
"Clark County, WA",73,2020-04-15,"step19",0.12
"Clark County, WA",74,2020-04-16,"step19",0.12
"Clark County, WA",74,2020-04-16,"step20",0.07
"Clark County, WA",75,2020-04-17,"step20",0.07
"Clark County, WA",76,2020-04-18,"step20",0.07
"Clark County, WA",76,2020-04-18,"step21",0
"Clark County, WA",77,2020-04-19,"step21",0
"Clark County, WA",78,2020-04-20,"step21",0
"Clark County, WA",78,2020-04-20,"step22",0
"Clark County, WA",79,2020-04-21,"step22",0
"Clark County, WA",80,2020-04-22,"step22",0
"Clark County, WA",80,2020-04-22,"step23",0
"Clark County, WA",81,2020-04-23,"step23",0
"Clark County, WA",82,2020-04-24,"step23",0
"Clark County, WA",82,2020-04-24,"step24",0
"Clark County, WA",83,2020-04-25,"step24",0
"Clark County, WA",84,2020-04-26,"step24",0
"Clark County, WA",84,2020-04-26,"step25",0
"Clark County, WA",85,2020-04-27,"step25",0
"Clark County, WA",86,2020-04-28,"step25",0
"Clark County, WA",86,2020-04-28,"step26",0
"Clark County, WA",87,2020-04-29,"step26",0
"Clark County, WA",88,2020-04-30,"step26",0
"Clark County, WA",88,2020-04-30,"step27",0
"Clark County, WA",89,2020-05-01,"step27",0
"Clark County, WA",90,2020-05-02,"step27",0
"Clark County, WA",90,2020-05-02,"step28",0
"Clark County, WA",91,2020-05-03,"step28",0
"Clark County, WA",92,2020-05-04,"step28",0
"Clark County, WA",92,2020-05-04,"step29",0
"Clark County, WA",93,2020-05-05,"step29",0
"Clark County, WA",94,2020-05-06,"step29",0
"Clark County, WA",94,2020-05-06,"step30",0
"Clark County, WA",95,2020-05-07,"step30",0
"Clark County, WA",96,2020-05-08,"step30",0
"Clark County, WA",96,2020-05-08,"step31",0
"Clark County, WA",97,2020-05-09,"step31",0
