"region","time","date","period","b1"
"Henderson County, NC",0,2020-03-13,"baseline",0.7
"Henderson County, NC",1,2020-03-14,"baseline",0.7
"Henderson County, NC",2,2020-03-15,"baseline",0.7
"Henderson County, NC",3,2020-03-16,"baseline",0.7
"Henderson County, NC",4,2020-03-17,"baseline",0.7
"Henderson County, NC",5,2020-03-18,"baseline",0.7
"Henderson County, NC",6,2020-03-19,"baseline",0.7
"Henderson County, NC",7,2020-03-20,"baseline",0.7
"Henderson County, NC",8,2020-03-21,"baseline",0.7
"Henderson County, NC",9,2020-03-22,"baseline",0.7
"Henderson County, NC",10,2020-03-23,"baseline",0.7
"Henderson County, NC",11,2020-03-24,"baseline",0.7
"Henderson County, NC",11,2020-03-24,"step1",0
"Henderson County, NC",12,2020-03-25,"step1",0
"Henderson County, NC",13,2020-03-26,"step1",0
"Henderson County, NC",13,2020-03-26,"step2",0
"Henderson County, NC",14,2020-03-27,"step2",0
"Henderson County, NC",15,2020-03-28,"step2",0
"Henderson County, NC",15,2020-03-28,"step3",0
"Henderson County, NC",16,2020-03-29,"step3",0
"Henderson County, NC",17,2020-03-30,"step3",0
"Henderson County, NC",17,2020-03-30,"step4",0
"Henderson County, NC",18,2020-03-31,"step4",0
"Henderson County, NC",19,2020-04-01,"step4",0
"Henderson County, NC",19,2020-04-01,"step5",0
"Henderson County, NC",20,2020-04-02,"step5",0
"Henderson County, NC",21,2020-04-03,"step5",0
"Henderson County, NC",21,2020-04-03,"step6",0
"Henderson County, NC",22,2020-04-04,"step6",0
"Henderson County, NC",23,2020-04-05,"step6",0
"Henderson County, NC",23,2020-04-05,"step7",0
"Henderson County, NC",24,2020-04-06,"step7",0
"Henderson County, NC",25,2020-04-07,"step7",0
"Henderson County, NC",25,2020-04-07,"step8",0
"Henderson County, NC",26,2020-04-08,"step8",0
"Henderson County, NC",27,2020-04-09,"step8",0
"Henderson County, NC",27,2020-04-09,"step9",0
"Henderson County, NC",28,2020-04-10,"step9",0
"Henderson County, NC",29,2020-04-11,"step9",0
"Henderson County, NC",29,2020-04-11,"step10",0
"Henderson County, NC",30,2020-04-12,"step10",0
"Henderson County, NC",31,2020-04-13,"step10",0
"Henderson County, NC",31,2020-04-13,"step11",0
"Henderson County, NC",32,2020-04-14,"step11",0
"Henderson County, NC",33,2020-04-15,"step11",0
"Henderson County, NC",33,2020-04-15,"step12",0
"Henderson County, NC",34,2020-04-16,"step12",0
"Henderson County, NC",35,2020-04-17,"step12",0
"Henderson County, NC",35,2020-04-17,"step13",0
"Henderson County, NC",36,2020-04-18,"step13",0
"Henderson County, NC",37,2020-04-19,"step13",0
"Henderson County, NC",37,2020-04-19,"step14",0.47
"Henderson County, NC",38,2020-04-20,"step14",0.47
"Henderson County, NC",39,2020-04-21,"step14",0.47
"Henderson County, NC",39,2020-04-21,"step15",0.48
"Henderson County, NC",40,2020-04-22,"step15",0.48
"Henderson County, NC",41,2020-04-23,"step15",0.48
"Henderson County, NC",41,2020-04-23,"step16",0.48
"Henderson County, NC",42,2020-04-24,"step16",0.48
"Henderson County, NC",43,2020-04-25,"step16",0.48
"Henderson County, NC",43,2020-04-25,"step17",0.48
"Henderson County, NC",44,2020-04-26,"step17",0.48
"Henderson County, NC",45,2020-04-27,"step17",0.48
"Henderson County, NC",45,2020-04-27,"step18",0.48
"Henderson County, NC",46,2020-04-28,"step18",0.48
"Henderson County, NC",47,2020-04-29,"step18",0.48
"Henderson County, NC",47,2020-04-29,"step19",0.48
"Henderson County, NC",48,2020-04-30,"step19",0.48
"Henderson County, NC",49,2020-05-01,"step19",0.48
"Henderson County, NC",49,2020-05-01,"step20",0.48
"Henderson County, NC",50,2020-05-02,"step20",0.48
"Henderson County, NC",51,2020-05-03,"step20",0.48
"Henderson County, NC",51,2020-05-03,"step21",0.49
"Henderson County, NC",52,2020-05-04,"step21",0.49
"Henderson County, NC",53,2020-05-05,"step21",0.49
"Henderson County, NC",53,2020-05-05,"step22",0.54
"Henderson County, NC",54,2020-05-06,"step22",0.54
"Henderson County, NC",55,2020-05-07,"step22",0.54
"Henderson County, NC",55,2020-05-07,"step23",0.72
"Henderson County, NC",56,2020-05-08,"step23",0.72
"Henderson County, NC",57,2020-05-09,"step23",0.72
"Henderson County, NC",57,2020-05-09,"step24",0
"Henderson County, NC",58,2020-05-10,"step24",0
"Henderson County, NC",59,2020-05-11,"step24",0
