"region","time","date","period","b1"
"Kenton County, KY",0,2020-03-13,"baseline",0.9
"Kenton County, KY",1,2020-03-14,"baseline",0.9
"Kenton County, KY",2,2020-03-15,"baseline",0.9
"Kenton County, KY",3,2020-03-16,"baseline",0.9
"Kenton County, KY",4,2020-03-17,"baseline",0.9
"Kenton County, KY",5,2020-03-18,"baseline",0.9
"Kenton County, KY",6,2020-03-19,"baseline",0.9
"Kenton County, KY",7,2020-03-20,"baseline",0.9
"Kenton County, KY",7,2020-03-20,"step1",0.14
"Kenton County, KY",8,2020-03-21,"step1",0.14
"Kenton County, KY",9,2020-03-22,"step1",0.14
"Kenton County, KY",9,2020-03-22,"step2",0.12
"Kenton County, KY",10,2020-03-23,"step2",0.12
"Kenton County, KY",11,2020-03-24,"step2",0.12
"Kenton County, KY",11,2020-03-24,"step3",0.1
"Kenton County, KY",12,2020-03-25,"step3",0.1
"Kenton County, KY",13,2020-03-26,"step3",0.1
"Kenton County, KY",13,2020-03-26,"step4",0.08
"Kenton County, KY",14,2020-03-27,"step4",0.08
"Kenton County, KY",15,2020-03-28,"step4",0.08
"Kenton County, KY",15,2020-03-28,"step5",0.07
"Kenton County, KY",16,2020-03-29,"step5",0.07
"Kenton County, KY",17,2020-03-30,"step5",0.07
"Kenton County, KY",17,2020-03-30,"step6",0.07
"Kenton County, KY",18,2020-03-31,"step6",0.07
"Kenton County, KY",19,2020-04-01,"step6",0.07
"Kenton County, KY",19,2020-04-01,"step7",0.07
"Kenton County, KY",20,2020-04-02,"step7",0.07
"Kenton County, KY",21,2020-04-03,"step7",0.07
"Kenton County, KY",21,2020-04-03,"step8",0.07
"Kenton County, KY",22,2020-04-04,"step8",0.07
"Kenton County, KY",23,2020-04-05,"step8",0.07
"Kenton County, KY",23,2020-04-05,"step9",0.08
"Kenton County, KY",24,2020-04-06,"step9",0.08
"Kenton County, KY",25,2020-04-07,"step9",0.08
"Kenton County, KY",25,2020-04-07,"step10",0.1
"Kenton County, KY",26,2020-04-08,"step10",0.1
"Kenton County, KY",27,2020-04-09,"step10",0.1
"Kenton County, KY",27,2020-04-09,"step11",0.12
"Kenton County, KY",28,2020-04-10,"step11",0.12
"Kenton County, KY",29,2020-04-11,"step11",0.12
"Kenton County, KY",29,2020-04-11,"step12",0.12
"Kenton County, KY",30,2020-04-12,"step12",0.12
"Kenton County, KY",31,2020-04-13,"step12",0.12
"Kenton County, KY",31,2020-04-13,"step13",0.13
"Kenton County, KY",32,2020-04-14,"step13",0.13
"Kenton County, KY",33,2020-04-15,"step13",0.13
"Kenton County, KY",33,2020-04-15,"step14",0.14
"Kenton County, KY",34,2020-04-16,"step14",0.14
"Kenton County, KY",35,2020-04-17,"step14",0.14
"Kenton County, KY",35,2020-04-17,"step15",0.14
"Kenton County, KY",36,2020-04-18,"step15",0.14
"Kenton County, KY",37,2020-04-19,"step15",0.14
"Kenton County, KY",37,2020-04-19,"step16",0.14
"Kenton County, KY",38,2020-04-20,"step16",0.14
"Kenton County, KY",39,2020-04-21,"step16",0.14
"Kenton County, KY",39,2020-04-21,"step17",0.14
"Kenton County, KY",40,2020-04-22,"step17",0.14
"Kenton County, KY",41,2020-04-23,"step17",0.14
"Kenton County, KY",41,2020-04-23,"step18",0.14
"Kenton County, KY",42,2020-04-24,"step18",0.14
"Kenton County, KY",43,2020-04-25,"step18",0.14
"Kenton County, KY",43,2020-04-25,"step19",0.14
"Kenton County, KY",44,2020-04-26,"step19",0.14
"Kenton County, KY",45,2020-04-27,"step19",0.14
"Kenton County, KY",45,2020-04-27,"step20",0.13
"Kenton County, KY",46,2020-04-28,"step20",0.13
"Kenton County, KY",47,2020-04-29,"step20",0.13
"Kenton County, KY",47,2020-04-29,"step21",0.13
"Kenton County, KY",48,2020-04-30,"step21",0.13
"Kenton County, KY",49,2020-05-01,"step21",0.13
"Kenton County, KY",49,2020-05-01,"step22",0.1
"Kenton County, KY",50,2020-05-02,"step22",0.1
"Kenton County, KY",51,2020-05-03,"step22",0.1
"Kenton County, KY",51,2020-05-03,"step23",0.03
"Kenton County, KY",52,2020-05-04,"step23",0.03
"Kenton County, KY",53,2020-05-05,"step23",0.03
"Kenton County, KY",53,2020-05-05,"step24",0
"Kenton County, KY",54,2020-05-06,"step24",0
"Kenton County, KY",55,2020-05-07,"step24",0
"Kenton County, KY",55,2020-05-07,"step25",0
"Kenton County, KY",56,2020-05-08,"step25",0
"Kenton County, KY",57,2020-05-09,"step25",0
"Kenton County, KY",57,2020-05-09,"step26",0
"Kenton County, KY",58,2020-05-10,"step26",0
"Kenton County, KY",59,2020-05-11,"step26",0
