"region","time","date","period","b1"
"Lebanon County, PA",0,2020-03-10,"baseline",-0.03
"Lebanon County, PA",1,2020-03-11,"baseline",-0.03
"Lebanon County, PA",2,2020-03-12,"baseline",-0.03
"Lebanon County, PA",3,2020-03-13,"baseline",-0.03
"Lebanon County, PA",4,2020-03-14,"baseline",-0.03
"Lebanon County, PA",5,2020-03-15,"baseline",-0.03
"Lebanon County, PA",6,2020-03-16,"baseline",-0.03
"Lebanon County, PA",7,2020-03-17,"baseline",-0.03
"Lebanon County, PA",8,2020-03-18,"baseline",-0.03
"Lebanon County, PA",9,2020-03-19,"baseline",-0.03
"Lebanon County, PA",10,2020-03-20,"baseline",-0.03
"Lebanon County, PA",11,2020-03-21,"baseline",-0.03
"Lebanon County, PA",11,2020-03-21,"step1",0
"Lebanon County, PA",12,2020-03-22,"step1",0
"Lebanon County, PA",13,2020-03-23,"step1",0
"Lebanon County, PA",13,2020-03-23,"step2",0.56
"Lebanon County, PA",14,2020-03-24,"step2",0.56
"Lebanon County, PA",15,2020-03-25,"step2",0.56
"Lebanon County, PA",15,2020-03-25,"step3",0.5
"Lebanon County, PA",16,2020-03-26,"step3",0.5
"Lebanon County, PA",17,2020-03-27,"step3",0.5
"Lebanon County, PA",17,2020-03-27,"step4",0.45
"Lebanon County, PA",18,2020-03-28,"step4",0.45
"Lebanon County, PA",19,2020-03-29,"step4",0.45
"Lebanon County, PA",19,2020-03-29,"step5",0.41
"Lebanon County, PA",20,2020-03-30,"step5",0.41
"Lebanon County, PA",21,2020-03-31,"step5",0.41
"Lebanon County, PA",21,2020-03-31,"step6",0.37
"Lebanon County, PA",22,2020-04-01,"step6",0.37
"Lebanon County, PA",23,2020-04-02,"step6",0.37
"Lebanon County, PA",23,2020-04-02,"step7",0.33
"Lebanon County, PA",24,2020-04-03,"step7",0.33
"Lebanon County, PA",25,2020-04-04,"step7",0.33
"Lebanon County, PA",25,2020-04-04,"step8",0.28
"Lebanon County, PA",26,2020-04-05,"step8",0.28
"Lebanon County, PA",27,2020-04-06,"step8",0.28
"Lebanon County, PA",27,2020-04-06,"step9",0.24
"Lebanon County, PA",28,2020-04-07,"step9",0.24
"Lebanon County, PA",29,2020-04-08,"step9",0.24
"Lebanon County, PA",29,2020-04-08,"step10",0.2
"Lebanon County, PA",30,2020-04-09,"step10",0.2
"Lebanon County, PA",31,2020-04-10,"step10",0.2
"Lebanon County, PA",31,2020-04-10,"step11",0.18
"Lebanon County, PA",32,2020-04-11,"step11",0.18
"Lebanon County, PA",33,2020-04-12,"step11",0.18
"Lebanon County, PA",33,2020-04-12,"step12",0.16
"Lebanon County, PA",34,2020-04-13,"step12",0.16
"Lebanon County, PA",35,2020-04-14,"step12",0.16
"Lebanon County, PA",35,2020-04-14,"step13",0.14
"Lebanon County, PA",36,2020-04-15,"step13",0.14
"Lebanon County, PA",37,2020-04-16,"step13",0.14
"Lebanon County, PA",37,2020-04-16,"step14",0.14
"Lebanon County, PA",38,2020-04-17,"step14",0.14
"Lebanon County, PA",39,2020-04-18,"step14",0.14
"Lebanon County, PA",39,2020-04-18,"step15",0.13
"Lebanon County, PA",40,2020-04-19,"step15",0.13
"Lebanon County, PA",41,2020-04-20,"step15",0.13
"Lebanon County, PA",41,2020-04-20,"step16",0.12
"Lebanon County, PA",42,2020-04-21,"step16",0.12
"Lebanon County, PA",43,2020-04-22,"step16",0.12
"Lebanon County, PA",43,2020-04-22,"step17",0.12
"Lebanon County, PA",44,2020-04-23,"step17",0.12
"Lebanon County, PA",45,2020-04-24,"step17",0.12
"Lebanon County, PA",45,2020-04-24,"step18",0.11
"Lebanon County, PA",46,2020-04-25,"step18",0.11
"Lebanon County, PA",47,2020-04-26,"step18",0.11
"Lebanon County, PA",47,2020-04-26,"step19",0.11
"Lebanon County, PA",48,2020-04-27,"step19",0.11
"Lebanon County, PA",49,2020-04-28,"step19",0.11
"Lebanon County, PA",49,2020-04-28,"step20",0.1
"Lebanon County, PA",50,2020-04-29,"step20",0.1
"Lebanon County, PA",51,2020-04-30,"step20",0.1
"Lebanon County, PA",51,2020-04-30,"step21",0.07
"Lebanon County, PA",52,2020-05-01,"step21",0.07
"Lebanon County, PA",53,2020-05-02,"step21",0.07
"Lebanon County, PA",53,2020-05-02,"step22",0
"Lebanon County, PA",54,2020-05-03,"step22",0
"Lebanon County, PA",55,2020-05-04,"step22",0
"Lebanon County, PA",55,2020-05-04,"step23",0
"Lebanon County, PA",56,2020-05-05,"step23",0
"Lebanon County, PA",57,2020-05-06,"step23",0
"Lebanon County, PA",57,2020-05-06,"step24",0
"Lebanon County, PA",58,2020-05-07,"step24",0
"Lebanon County, PA",59,2020-05-08,"step24",0
"Lebanon County, PA",59,2020-05-08,"step25",0
"Lebanon County, PA",60,2020-05-09,"step25",0
"Lebanon County, PA",61,2020-05-10,"step25",0
