"region","time","date","period","b1"
"Pearl River County, MS",0,2020-03-14,"baseline",0.27
"Pearl River County, MS",1,2020-03-15,"baseline",0.27
"Pearl River County, MS",2,2020-03-16,"baseline",0.27
"Pearl River County, MS",3,2020-03-17,"baseline",0.27
"Pearl River County, MS",3,2020-03-17,"step1",0.2
"Pearl River County, MS",4,2020-03-18,"step1",0.2
"Pearl River County, MS",5,2020-03-19,"step1",0.2
"Pearl River County, MS",5,2020-03-19,"step2",0.2
"Pearl River County, MS",6,2020-03-20,"step2",0.2
"Pearl River County, MS",7,2020-03-21,"step2",0.2
"Pearl River County, MS",7,2020-03-21,"step3",0.19
"Pearl River County, MS",8,2020-03-22,"step3",0.19
"Pearl River County, MS",9,2020-03-23,"step3",0.19
"Pearl River County, MS",9,2020-03-23,"step4",0.19
"Pearl River County, MS",10,2020-03-24,"step4",0.19
"Pearl River County, MS",11,2020-03-25,"step4",0.19
"Pearl River County, MS",11,2020-03-25,"step5",0.17
"Pearl River County, MS",12,2020-03-26,"step5",0.17
"Pearl River County, MS",13,2020-03-27,"step5",0.17
"Pearl River County, MS",13,2020-03-27,"step6",0.16
"Pearl River County, MS",14,2020-03-28,"step6",0.16
"Pearl River County, MS",15,2020-03-29,"step6",0.16
"Pearl River County, MS",15,2020-03-29,"step7",0.13
"Pearl River County, MS",16,2020-03-30,"step7",0.13
"Pearl River County, MS",17,2020-03-31,"step7",0.13
"Pearl River County, MS",17,2020-03-31,"step8",0.11
"Pearl River County, MS",18,2020-04-01,"step8",0.11
"Pearl River County, MS",19,2020-04-02,"step8",0.11
"Pearl River County, MS",19,2020-04-02,"step9",0.1
"Pearl River County, MS",20,2020-04-03,"step9",0.1
"Pearl River County, MS",21,2020-04-04,"step9",0.1
"Pearl River County, MS",21,2020-04-04,"step10",0.1
"Pearl River County, MS",22,2020-04-05,"step10",0.1
"Pearl River County, MS",23,2020-04-06,"step10",0.1
"Pearl River County, MS",23,2020-04-06,"step11",0.1
"Pearl River County, MS",24,2020-04-07,"step11",0.1
"Pearl River County, MS",25,2020-04-08,"step11",0.1
"Pearl River County, MS",25,2020-04-08,"step12",0.12
"Pearl River County, MS",26,2020-04-09,"step12",0.12
"Pearl River County, MS",27,2020-04-10,"step12",0.12
"Pearl River County, MS",27,2020-04-10,"step13",0.13
"Pearl River County, MS",28,2020-04-11,"step13",0.13
"Pearl River County, MS",29,2020-04-12,"step13",0.13
"Pearl River County, MS",29,2020-04-12,"step14",0.14
"Pearl River County, MS",30,2020-04-13,"step14",0.14
"Pearl River County, MS",31,2020-04-14,"step14",0.14
"Pearl River County, MS",31,2020-04-14,"step15",0.13
"Pearl River County, MS",32,2020-04-15,"step15",0.13
"Pearl River County, MS",33,2020-04-16,"step15",0.13
"Pearl River County, MS",33,2020-04-16,"step16",0.12
"Pearl River County, MS",34,2020-04-17,"step16",0.12
"Pearl River County, MS",35,2020-04-18,"step16",0.12
"Pearl River County, MS",35,2020-04-18,"step17",0.12
"Pearl River County, MS",36,2020-04-19,"step17",0.12
"Pearl River County, MS",37,2020-04-20,"step17",0.12
"Pearl River County, MS",37,2020-04-20,"step18",0.12
"Pearl River County, MS",38,2020-04-21,"step18",0.12
"Pearl River County, MS",39,2020-04-22,"step18",0.12
"Pearl River County, MS",39,2020-04-22,"step19",0.12
"Pearl River County, MS",40,2020-04-23,"step19",0.12
"Pearl River County, MS",41,2020-04-24,"step19",0.12
"Pearl River County, MS",41,2020-04-24,"step20",0.12
"Pearl River County, MS",42,2020-04-25,"step20",0.12
"Pearl River County, MS",43,2020-04-26,"step20",0.12
"Pearl River County, MS",43,2020-04-26,"step21",0.12
"Pearl River County, MS",44,2020-04-27,"step21",0.12
"Pearl River County, MS",45,2020-04-28,"step21",0.12
"Pearl River County, MS",45,2020-04-28,"step22",0.12
"Pearl River County, MS",46,2020-04-29,"step22",0.12
"Pearl River County, MS",47,2020-04-30,"step22",0.12
"Pearl River County, MS",47,2020-04-30,"step23",0.11
"Pearl River County, MS",48,2020-05-01,"step23",0.11
"Pearl River County, MS",49,2020-05-02,"step23",0.11
"Pearl River County, MS",49,2020-05-02,"step24",0.08
"Pearl River County, MS",50,2020-05-03,"step24",0.08
"Pearl River County, MS",51,2020-05-04,"step24",0.08
"Pearl River County, MS",51,2020-05-04,"step25",0.02
"Pearl River County, MS",52,2020-05-05,"step25",0.02
"Pearl River County, MS",53,2020-05-06,"step25",0.02
"Pearl River County, MS",53,2020-05-06,"step26",0
"Pearl River County, MS",54,2020-05-07,"step26",0
"Pearl River County, MS",55,2020-05-08,"step26",0
"Pearl River County, MS",55,2020-05-08,"step27",0
"Pearl River County, MS",56,2020-05-09,"step27",0
"Pearl River County, MS",57,2020-05-10,"step27",0
