"region","time","date","period","b1"
"Salem County, NJ",0,2020-03-13,"baseline",1.08
"Salem County, NJ",1,2020-03-14,"baseline",1.08
"Salem County, NJ",2,2020-03-15,"baseline",1.08
"Salem County, NJ",3,2020-03-16,"baseline",1.08
"Salem County, NJ",4,2020-03-17,"baseline",1.08
"Salem County, NJ",5,2020-03-18,"baseline",1.08
"Salem County, NJ",6,2020-03-19,"baseline",1.08
"Salem County, NJ",7,2020-03-20,"baseline",1.08
"Salem County, NJ",8,2020-03-21,"baseline",1.08
"Salem County, NJ",9,2020-03-22,"baseline",1.08
"Salem County, NJ",10,2020-03-23,"baseline",1.08
"Salem County, NJ",11,2020-03-24,"baseline",1.08
"Salem County, NJ",11,2020-03-24,"step1",0
"Salem County, NJ",12,2020-03-25,"step1",0
"Salem County, NJ",13,2020-03-26,"step1",0
"Salem County, NJ",13,2020-03-26,"step2",0
"Salem County, NJ",14,2020-03-27,"step2",0
"Salem County, NJ",15,2020-03-28,"step2",0
"Salem County, NJ",15,2020-03-28,"step3",0
"Salem County, NJ",16,2020-03-29,"step3",0
"Salem County, NJ",17,2020-03-30,"step3",0
"Salem County, NJ",17,2020-03-30,"step4",0
"Salem County, NJ",18,2020-03-31,"step4",0
"Salem County, NJ",19,2020-04-01,"step4",0
"Salem County, NJ",19,2020-04-01,"step5",0
"Salem County, NJ",20,2020-04-02,"step5",0
"Salem County, NJ",21,2020-04-03,"step5",0
"Salem County, NJ",21,2020-04-03,"step6",0
"Salem County, NJ",22,2020-04-04,"step6",0
"Salem County, NJ",23,2020-04-05,"step6",0
"Salem County, NJ",23,2020-04-05,"step7",0
"Salem County, NJ",24,2020-04-06,"step7",0
"Salem County, NJ",25,2020-04-07,"step7",0
"Salem County, NJ",25,2020-04-07,"step8",0
"Salem County, NJ",26,2020-04-08,"step8",0
"Salem County, NJ",27,2020-04-09,"step8",0
"Salem County, NJ",27,2020-04-09,"step9",0
"Salem County, NJ",28,2020-04-10,"step9",0
"Salem County, NJ",29,2020-04-11,"step9",0
"Salem County, NJ",29,2020-04-11,"step10",0
"Salem County, NJ",30,2020-04-12,"step10",0
"Salem County, NJ",31,2020-04-13,"step10",0
"Salem County, NJ",31,2020-04-13,"step11",0
"Salem County, NJ",32,2020-04-14,"step11",0
"Salem County, NJ",33,2020-04-15,"step11",0
"Salem County, NJ",33,2020-04-15,"step12",0
"Salem County, NJ",34,2020-04-16,"step12",0
"Salem County, NJ",35,2020-04-17,"step12",0
"Salem County, NJ",35,2020-04-17,"step13",0
"Salem County, NJ",36,2020-04-18,"step13",0
"Salem County, NJ",37,2020-04-19,"step13",0
"Salem County, NJ",37,2020-04-19,"step14",0
"Salem County, NJ",38,2020-04-20,"step14",0
"Salem County, NJ",39,2020-04-21,"step14",0
"Salem County, NJ",39,2020-04-21,"step15",0
"Salem County, NJ",40,2020-04-22,"step15",0
"Salem County, NJ",41,2020-04-23,"step15",0
"Salem County, NJ",41,2020-04-23,"step16",0
"Salem County, NJ",42,2020-04-24,"step16",0
"Salem County, NJ",43,2020-04-25,"step16",0
"Salem County, NJ",43,2020-04-25,"step17",0
"Salem County, NJ",44,2020-04-26,"step17",0
"Salem County, NJ",45,2020-04-27,"step17",0
"Salem County, NJ",45,2020-04-27,"step18",0
"Salem County, NJ",46,2020-04-28,"step18",0
"Salem County, NJ",47,2020-04-29,"step18",0
"Salem County, NJ",47,2020-04-29,"step19",0
"Salem County, NJ",48,2020-04-30,"step19",0
"Salem County, NJ",49,2020-05-01,"step19",0
"Salem County, NJ",49,2020-05-01,"step20",0
"Salem County, NJ",50,2020-05-02,"step20",0
"Salem County, NJ",51,2020-05-03,"step20",0
"Salem County, NJ",51,2020-05-03,"step21",0.02
"Salem County, NJ",52,2020-05-04,"step21",0.02
"Salem County, NJ",53,2020-05-05,"step21",0.02
"Salem County, NJ",53,2020-05-05,"step22",0
"Salem County, NJ",54,2020-05-06,"step22",0
"Salem County, NJ",55,2020-05-07,"step22",0
"Salem County, NJ",55,2020-05-07,"step23",0
"Salem County, NJ",56,2020-05-08,"step23",0
"Salem County, NJ",57,2020-05-09,"step23",0
"Salem County, NJ",57,2020-05-09,"step24",0
"Salem County, NJ",58,2020-05-10,"step24",0
"Salem County, NJ",59,2020-05-11,"step24",0
