"region","time","date","period","b1"
"California",0,2020-02-01,"baseline",0.48
"California",1,2020-02-02,"baseline",0.48
"California",2,2020-02-03,"baseline",0.48
"California",3,2020-02-04,"baseline",0.48
"California",3,2020-02-04,"step1",0.89
"California",4,2020-02-05,"step1",0.89
"California",5,2020-02-06,"step1",0.89
"California",5,2020-02-06,"step2",0.68
"California",6,2020-02-07,"step2",0.68
"California",7,2020-02-08,"step2",0.68
"California",7,2020-02-08,"step3",0.5
"California",8,2020-02-09,"step3",0.5
"California",9,2020-02-10,"step3",0.5
"California",9,2020-02-10,"step4",0.36
"California",10,2020-02-11,"step4",0.36
"California",11,2020-02-12,"step4",0.36
"California",11,2020-02-12,"step5",0.27
"California",12,2020-02-13,"step5",0.27
"California",13,2020-02-14,"step5",0.27
"California",13,2020-02-14,"step6",0.23
"California",14,2020-02-15,"step6",0.23
"California",15,2020-02-16,"step6",0.23
"California",15,2020-02-16,"step7",0.22
"California",16,2020-02-17,"step7",0.22
"California",17,2020-02-18,"step7",0.22
"California",17,2020-02-18,"step8",0.23
"California",18,2020-02-19,"step8",0.23
"California",19,2020-02-20,"step8",0.23
"California",19,2020-02-20,"step9",0.26
"California",20,2020-02-21,"step9",0.26
"California",21,2020-02-22,"step9",0.26
"California",21,2020-02-22,"step10",0.31
"California",22,2020-02-23,"step10",0.31
"California",23,2020-02-24,"step10",0.31
"California",23,2020-02-24,"step11",0.4
"California",24,2020-02-25,"step11",0.4
"California",25,2020-02-26,"step11",0.4
"California",25,2020-02-26,"step12",0.48
"California",26,2020-02-27,"step12",0.48
"California",27,2020-02-28,"step12",0.48
"California",27,2020-02-28,"step13",0.54
"California",28,2020-02-29,"step13",0.54
"California",29,2020-03-01,"step13",0.54
"California",29,2020-03-01,"step14",0.58
"California",30,2020-03-02,"step14",0.58
"California",31,2020-03-03,"step14",0.58
"California",31,2020-03-03,"step15",0.62
"California",32,2020-03-04,"step15",0.62
"California",33,2020-03-05,"step15",0.62
"California",33,2020-03-05,"step16",0.64
"California",34,2020-03-06,"step16",0.64
"California",35,2020-03-07,"step16",0.64
"California",35,2020-03-07,"step17",0.6
"California",36,2020-03-08,"step17",0.6
"California",37,2020-03-09,"step17",0.6
"California",37,2020-03-09,"step18",0.52
"California",38,2020-03-10,"step18",0.52
"California",39,2020-03-11,"step18",0.52
"California",39,2020-03-11,"step19",0.46
"California",40,2020-03-12,"step19",0.46
"California",41,2020-03-13,"step19",0.46
"California",41,2020-03-13,"step20",0.4
"California",42,2020-03-14,"step20",0.4
"California",43,2020-03-15,"step20",0.4
"California",43,2020-03-15,"step21",0.35
"California",44,2020-03-16,"step21",0.35
"California",45,2020-03-17,"step21",0.35
"California",45,2020-03-17,"step22",0.31
"California",46,2020-03-18,"step22",0.31
"California",47,2020-03-19,"step22",0.31
"California",47,2020-03-19,"step23",0.28
"California",48,2020-03-20,"step23",0.28
"California",49,2020-03-21,"step23",0.28
"California",49,2020-03-21,"step24",0.24
"California",50,2020-03-22,"step24",0.24
"California",51,2020-03-23,"step24",0.24
"California",51,2020-03-23,"step25",0.22
"California",52,2020-03-24,"step25",0.22
"California",53,2020-03-25,"step25",0.22
"California",53,2020-03-25,"step26",0.19
"California",54,2020-03-26,"step26",0.19
"California",55,2020-03-27,"step26",0.19
"California",55,2020-03-27,"step27",0.18
"California",56,2020-03-28,"step27",0.18
"California",57,2020-03-29,"step27",0.18
"California",57,2020-03-29,"step28",0.16
"California",58,2020-03-30,"step28",0.16
"California",59,2020-03-31,"step28",0.16
"California",59,2020-03-31,"step29",0.14
"California",60,2020-04-01,"step29",0.14
"California",61,2020-04-02,"step29",0.14
"California",61,2020-04-02,"step30",0.13
"California",62,2020-04-03,"step30",0.13
"California",63,2020-04-04,"step30",0.13
"California",63,2020-04-04,"step31",0.13
"California",64,2020-04-05,"step31",0.13
"California",65,2020-04-06,"step31",0.13
"California",65,2020-04-06,"step32",0.12
"California",66,2020-04-07,"step32",0.12
"California",67,2020-04-08,"step32",0.12
"California",67,2020-04-08,"step33",0.11
"California",68,2020-04-09,"step33",0.11
"California",69,2020-04-10,"step33",0.11
"California",69,2020-04-10,"step34",0.09
"California",70,2020-04-11,"step34",0.09
"California",71,2020-04-12,"step34",0.09
"California",71,2020-04-12,"step35",0.09
"California",72,2020-04-13,"step35",0.09
"California",73,2020-04-14,"step35",0.09
"California",73,2020-04-14,"step36",0.08
"California",74,2020-04-15,"step36",0.08
"California",75,2020-04-16,"step36",0.08
"California",75,2020-04-16,"step37",0.08
"California",76,2020-04-17,"step37",0.08
"California",77,2020-04-18,"step37",0.08
"California",77,2020-04-18,"step38",0.08
"California",78,2020-04-19,"step38",0.08
"California",79,2020-04-20,"step38",0.08
"California",79,2020-04-20,"step39",0.09
"California",80,2020-04-21,"step39",0.09
"California",81,2020-04-22,"step39",0.09
"California",81,2020-04-22,"step40",0.11
"California",82,2020-04-23,"step40",0.11
"California",83,2020-04-24,"step40",0.11
"California",83,2020-04-24,"step41",0.12
"California",84,2020-04-25,"step41",0.12
"California",85,2020-04-26,"step41",0.12
"California",85,2020-04-26,"step42",0.12
"California",86,2020-04-27,"step42",0.12
"California",87,2020-04-28,"step42",0.12
"California",87,2020-04-28,"step43",0.13
"California",88,2020-04-29,"step43",0.13
"California",89,2020-04-30,"step43",0.13
"California",89,2020-04-30,"step44",0.14
"California",90,2020-05-01,"step44",0.14
"California",91,2020-05-02,"step44",0.14
"California",91,2020-05-02,"step45",0.14
"California",92,2020-05-03,"step45",0.14
"California",93,2020-05-04,"step45",0.14
"California",93,2020-05-04,"step46",0.13
"California",94,2020-05-05,"step46",0.13
"California",95,2020-05-06,"step46",0.13
"California",95,2020-05-06,"step47",0.13
"California",96,2020-05-07,"step47",0.13
"California",97,2020-05-08,"step47",0.13
"California",97,2020-05-08,"step48",0.12
"California",98,2020-05-09,"step48",0.12
"California",99,2020-05-10,"step48",0.12
"California",99,2020-05-10,"step49",0.12
"California",100,2020-05-11,"step49",0.12
"California",101,2020-05-12,"step49",0.12
"California",101,2020-05-12,"step51",0.12
"California",101,2020-05-12,"step52",0.12
"California",102,2020-05-13,"step52",0.12
"California",103,2020-05-14,"step52",0.12
"California",103,2020-05-14,"step53",0.13
"California",104,2020-05-15,"step53",0.13
"California",105,2020-05-16,"step53",0.13
"California",105,2020-05-16,"step54",0.12
"California",106,2020-05-17,"step54",0.12
"California",107,2020-05-18,"step54",0.12
"California",107,2020-05-18,"step55",0.13
"California",108,2020-05-19,"step55",0.13
"California",109,2020-05-20,"step55",0.13
"California",109,2020-05-20,"step56",0.12
"California",110,2020-05-21,"step56",0.12
"California",111,2020-05-22,"step56",0.12
"California",111,2020-05-22,"step57",0.13
"California",112,2020-05-23,"step57",0.13
"California",113,2020-05-24,"step57",0.13
"California",113,2020-05-24,"step58",0.12
"California",114,2020-05-25,"step58",0.12
"California",115,2020-05-26,"step58",0.12
"California",115,2020-05-26,"step59",0.13
"California",116,2020-05-27,"step59",0.13
"California",117,2020-05-28,"step59",0.13
"California",117,2020-05-28,"step60",0.12
"California",118,2020-05-29,"step60",0.12
"California",119,2020-05-30,"step60",0.12
"California",119,2020-05-30,"step61",0.12
"California",120,2020-05-31,"step61",0.12
"California",121,2020-06-01,"step61",0.12
"California",121,2020-06-01,"step62",0.1
"California",122,2020-06-02,"step62",0.1
"California",123,2020-06-03,"step62",0.1
