"region","time","date","period","b1"
"Charles County, MD",0,2020-01-27,"baseline",0.05
"Charles County, MD",1,2020-01-28,"baseline",0.05
"Charles County, MD",2,2020-01-29,"baseline",0.05
"Charles County, MD",3,2020-01-30,"baseline",0.05
"Charles County, MD",4,2020-01-31,"baseline",0.05
"Charles County, MD",5,2020-02-01,"baseline",0.05
"Charles County, MD",6,2020-02-02,"baseline",0.05
"Charles County, MD",7,2020-02-03,"baseline",0.05
"Charles County, MD",8,2020-02-04,"baseline",0.05
"Charles County, MD",9,2020-02-05,"baseline",0.05
"Charles County, MD",10,2020-02-06,"baseline",0.05
"Charles County, MD",11,2020-02-07,"baseline",0.05
"Charles County, MD",12,2020-02-08,"baseline",0.05
"Charles County, MD",13,2020-02-09,"baseline",0.05
"Charles County, MD",14,2020-02-10,"baseline",0.05
"Charles County, MD",15,2020-02-11,"baseline",0.05
"Charles County, MD",16,2020-02-12,"baseline",0.05
"Charles County, MD",17,2020-02-13,"baseline",0.05
"Charles County, MD",18,2020-02-14,"baseline",0.05
"Charles County, MD",19,2020-02-15,"baseline",0.05
"Charles County, MD",20,2020-02-16,"baseline",0.05
"Charles County, MD",21,2020-02-17,"baseline",0.05
"Charles County, MD",22,2020-02-18,"baseline",0.05
"Charles County, MD",23,2020-02-19,"baseline",0.05
"Charles County, MD",24,2020-02-20,"baseline",0.05
"Charles County, MD",25,2020-02-21,"baseline",0.05
"Charles County, MD",26,2020-02-22,"baseline",0.05
"Charles County, MD",27,2020-02-23,"baseline",0.05
"Charles County, MD",28,2020-02-24,"baseline",0.05
"Charles County, MD",29,2020-02-25,"baseline",0.05
"Charles County, MD",30,2020-02-26,"baseline",0.05
"Charles County, MD",31,2020-02-27,"baseline",0.05
"Charles County, MD",32,2020-02-28,"baseline",0.05
"Charles County, MD",33,2020-02-29,"baseline",0.05
"Charles County, MD",34,2020-03-01,"baseline",0.05
"Charles County, MD",35,2020-03-02,"baseline",0.05
"Charles County, MD",36,2020-03-03,"baseline",0.05
"Charles County, MD",37,2020-03-04,"baseline",0.05
"Charles County, MD",38,2020-03-05,"baseline",0.05
"Charles County, MD",39,2020-03-06,"baseline",0.05
"Charles County, MD",40,2020-03-07,"baseline",0.05
"Charles County, MD",41,2020-03-08,"baseline",0.05
"Charles County, MD",42,2020-03-09,"baseline",0.05
"Charles County, MD",43,2020-03-10,"baseline",0.05
"Charles County, MD",44,2020-03-11,"baseline",0.05
"Charles County, MD",45,2020-03-12,"baseline",0.05
"Charles County, MD",46,2020-03-13,"baseline",0.05
"Charles County, MD",47,2020-03-14,"baseline",0.05
"Charles County, MD",48,2020-03-15,"baseline",0.05
"Charles County, MD",48,2020-03-15,"step1",0.55
"Charles County, MD",49,2020-03-16,"step1",0.55
"Charles County, MD",50,2020-03-17,"step1",0.55
"Charles County, MD",50,2020-03-17,"step2",0.52
"Charles County, MD",51,2020-03-18,"step2",0.52
"Charles County, MD",52,2020-03-19,"step2",0.52
"Charles County, MD",52,2020-03-19,"step3",0.51
"Charles County, MD",53,2020-03-20,"step3",0.51
"Charles County, MD",54,2020-03-21,"step3",0.51
"Charles County, MD",54,2020-03-21,"step4",0.51
"Charles County, MD",55,2020-03-22,"step4",0.51
"Charles County, MD",56,2020-03-23,"step4",0.51
"Charles County, MD",56,2020-03-23,"step5",0.5
"Charles County, MD",57,2020-03-24,"step5",0.5
"Charles County, MD",58,2020-03-25,"step5",0.5
"Charles County, MD",58,2020-03-25,"step6",0.47
"Charles County, MD",59,2020-03-26,"step6",0.47
"Charles County, MD",60,2020-03-27,"step6",0.47
"Charles County, MD",60,2020-03-27,"step7",0.42
"Charles County, MD",61,2020-03-28,"step7",0.42
"Charles County, MD",62,2020-03-29,"step7",0.42
"Charles County, MD",62,2020-03-29,"step8",0.38
"Charles County, MD",63,2020-03-30,"step8",0.38
"Charles County, MD",64,2020-03-31,"step8",0.38
"Charles County, MD",64,2020-03-31,"step9",0.35
"Charles County, MD",65,2020-04-01,"step9",0.35
"Charles County, MD",66,2020-04-02,"step9",0.35
"Charles County, MD",66,2020-04-02,"step10",0.32
"Charles County, MD",67,2020-04-03,"step10",0.32
"Charles County, MD",68,2020-04-04,"step10",0.32
"Charles County, MD",68,2020-04-04,"step11",0.29
"Charles County, MD",69,2020-04-05,"step11",0.29
"Charles County, MD",70,2020-04-06,"step11",0.29
"Charles County, MD",70,2020-04-06,"step12",0.25
"Charles County, MD",71,2020-04-07,"step12",0.25
"Charles County, MD",72,2020-04-08,"step12",0.25
"Charles County, MD",72,2020-04-08,"step13",0.21
"Charles County, MD",73,2020-04-09,"step13",0.21
"Charles County, MD",74,2020-04-10,"step13",0.21
"Charles County, MD",73,2020-04-09,"step14",0.19
"Charles County, MD",74,2020-04-10,"step14",0.19
"Charles County, MD",75,2020-04-11,"step14",0.19
"Charles County, MD",76,2020-04-12,"step14",0.19
"Charles County, MD",75,2020-04-11,"step15",0.14
"Charles County, MD",76,2020-04-12,"step15",0.14
"Charles County, MD",77,2020-04-13,"step15",0.14
"Charles County, MD",78,2020-04-14,"step15",0.14
"Charles County, MD",77,2020-04-13,"step16",0.11
"Charles County, MD",78,2020-04-14,"step16",0.11
"Charles County, MD",79,2020-04-15,"step16",0.11
"Charles County, MD",79,2020-04-15,"step18",0
"Charles County, MD",80,2020-04-16,"step18",0
"Charles County, MD",81,2020-04-17,"step18",0
"Charles County, MD",81,2020-04-17,"step19",0
"Charles County, MD",82,2020-04-18,"step19",0
"Charles County, MD",83,2020-04-19,"step19",0
"Charles County, MD",83,2020-04-19,"step20",0
"Charles County, MD",84,2020-04-20,"step20",0
"Charles County, MD",85,2020-04-21,"step20",0
"Charles County, MD",85,2020-04-21,"step21",0
"Charles County, MD",86,2020-04-22,"step21",0
"Charles County, MD",87,2020-04-23,"step21",0
"Charles County, MD",87,2020-04-23,"step22",0
"Charles County, MD",88,2020-04-24,"step22",0
"Charles County, MD",89,2020-04-25,"step22",0
"Charles County, MD",89,2020-04-25,"step23",0
"Charles County, MD",90,2020-04-26,"step23",0
"Charles County, MD",91,2020-04-27,"step23",0
"Charles County, MD",91,2020-04-27,"step24",0
"Charles County, MD",92,2020-04-28,"step24",0
"Charles County, MD",93,2020-04-29,"step24",0
"Charles County, MD",93,2020-04-29,"step25",0
"Charles County, MD",94,2020-04-30,"step25",0
"Charles County, MD",95,2020-05-01,"step25",0
"Charles County, MD",95,2020-05-01,"step26",0
"Charles County, MD",96,2020-05-02,"step26",0
"Charles County, MD",97,2020-05-03,"step26",0
"Charles County, MD",97,2020-05-03,"step27",0
"Charles County, MD",98,2020-05-04,"step27",0
"Charles County, MD",99,2020-05-05,"step27",0
"Charles County, MD",99,2020-05-05,"step29",0.34
"Charles County, MD",100,2020-05-06,"step29",0.34
"Charles County, MD",101,2020-05-07,"step29",0.34
"Charles County, MD",101,2020-05-07,"step31",0.33
"Charles County, MD",102,2020-05-08,"step31",0.33
"Charles County, MD",102,2020-05-08,"step33",0.32
"Charles County, MD",103,2020-05-09,"step33",0.32
"Charles County, MD",104,2020-05-10,"step33",0.32
"Charles County, MD",104,2020-05-10,"step35",0.28
"Charles County, MD",105,2020-05-11,"step35",0.28
"Charles County, MD",106,2020-05-12,"step35",0.28
"Charles County, MD",106,2020-05-12,"step38",0.25
"Charles County, MD",106,2020-05-12,"step39",0.25
"Charles County, MD",107,2020-05-13,"step39",0.25
"Charles County, MD",108,2020-05-14,"step39",0.25
"Charles County, MD",108,2020-05-14,"step40",0.24
"Charles County, MD",109,2020-05-15,"step40",0.24
"Charles County, MD",110,2020-05-16,"step40",0.24
"Charles County, MD",110,2020-05-16,"step41",0.22
"Charles County, MD",111,2020-05-17,"step41",0.22
"Charles County, MD",112,2020-05-18,"step41",0.22
"Charles County, MD",112,2020-05-18,"step42",0.2
"Charles County, MD",113,2020-05-19,"step42",0.2
"Charles County, MD",114,2020-05-20,"step42",0.2
"Charles County, MD",114,2020-05-20,"step43",0.18
"Charles County, MD",115,2020-05-21,"step43",0.18
"Charles County, MD",116,2020-05-22,"step43",0.18
"Charles County, MD",116,2020-05-22,"step44",0.18
"Charles County, MD",117,2020-05-23,"step44",0.18
"Charles County, MD",118,2020-05-24,"step44",0.18
"Charles County, MD",118,2020-05-24,"step45",0.17
"Charles County, MD",119,2020-05-25,"step45",0.17
"Charles County, MD",120,2020-05-26,"step45",0.17
"Charles County, MD",120,2020-05-26,"step46",0.17
"Charles County, MD",121,2020-05-27,"step46",0.17
"Charles County, MD",122,2020-05-28,"step46",0.17
"Charles County, MD",122,2020-05-28,"step47",0.16
"Charles County, MD",123,2020-05-29,"step47",0.16
"Charles County, MD",124,2020-05-30,"step47",0.16
"Charles County, MD",124,2020-05-30,"step48",0.13
"Charles County, MD",125,2020-05-31,"step48",0.13
"Charles County, MD",126,2020-06-01,"step48",0.13
"Charles County, MD",126,2020-06-01,"step49",0.1
"Charles County, MD",127,2020-06-02,"step49",0.1
"Charles County, MD",128,2020-06-03,"step49",0.1
