"region","time","date","period","b1"
"Chesterfield County, VA",0,2020-03-05,"baseline",0.38
"Chesterfield County, VA",1,2020-03-06,"baseline",0.38
"Chesterfield County, VA",2,2020-03-07,"baseline",0.38
"Chesterfield County, VA",3,2020-03-08,"baseline",0.38
"Chesterfield County, VA",4,2020-03-09,"baseline",0.38
"Chesterfield County, VA",5,2020-03-10,"baseline",0.38
"Chesterfield County, VA",6,2020-03-11,"baseline",0.38
"Chesterfield County, VA",7,2020-03-12,"baseline",0.38
"Chesterfield County, VA",8,2020-03-13,"baseline",0.38
"Chesterfield County, VA",9,2020-03-14,"baseline",0.38
"Chesterfield County, VA",10,2020-03-15,"baseline",0.38
"Chesterfield County, VA",11,2020-03-16,"baseline",0.38
"Chesterfield County, VA",11,2020-03-16,"step1",0.23
"Chesterfield County, VA",12,2020-03-17,"step1",0.23
"Chesterfield County, VA",13,2020-03-18,"step1",0.23
"Chesterfield County, VA",13,2020-03-18,"step2",0.21
"Chesterfield County, VA",14,2020-03-19,"step2",0.21
"Chesterfield County, VA",15,2020-03-20,"step2",0.21
"Chesterfield County, VA",15,2020-03-20,"step3",0.2
"Chesterfield County, VA",16,2020-03-21,"step3",0.2
"Chesterfield County, VA",17,2020-03-22,"step3",0.2
"Chesterfield County, VA",15,2020-03-20,"step4",0.19
"Chesterfield County, VA",16,2020-03-21,"step4",0.19
"Chesterfield County, VA",17,2020-03-22,"step4",0.19
"Chesterfield County, VA",18,2020-03-23,"step4",0.19
"Chesterfield County, VA",19,2020-03-24,"step4",0.19
"Chesterfield County, VA",17,2020-03-22,"step5",0.17
"Chesterfield County, VA",18,2020-03-23,"step5",0.17
"Chesterfield County, VA",19,2020-03-24,"step5",0.17
"Chesterfield County, VA",20,2020-03-25,"step5",0.17
"Chesterfield County, VA",21,2020-03-26,"step5",0.17
"Chesterfield County, VA",19,2020-03-24,"step6",0.15
"Chesterfield County, VA",20,2020-03-25,"step6",0.15
"Chesterfield County, VA",21,2020-03-26,"step6",0.15
"Chesterfield County, VA",22,2020-03-27,"step6",0.15
"Chesterfield County, VA",23,2020-03-28,"step6",0.15
"Chesterfield County, VA",21,2020-03-26,"step7",0.135
"Chesterfield County, VA",22,2020-03-27,"step7",0.135
"Chesterfield County, VA",23,2020-03-28,"step7",0.135
"Chesterfield County, VA",24,2020-03-29,"step7",0.135
"Chesterfield County, VA",25,2020-03-30,"step7",0.135
"Chesterfield County, VA",23,2020-03-28,"step8",0.125
