"region","time","date","period","b1"
"Cook County, IL",0,2020-01-30,"baseline",0.37
"Cook County, IL",1,2020-01-31,"baseline",0.37
"Cook County, IL",2,2020-02-01,"baseline",0.37
"Cook County, IL",3,2020-02-02,"baseline",0.37
"Cook County, IL",3,2020-02-02,"step1",0
"Cook County, IL",4,2020-02-03,"step1",0
"Cook County, IL",5,2020-02-04,"step1",0
"Cook County, IL",5,2020-02-04,"step2",0
"Cook County, IL",6,2020-02-05,"step2",0
"Cook County, IL",7,2020-02-06,"step2",0
"Cook County, IL",7,2020-02-06,"step3",0
"Cook County, IL",8,2020-02-07,"step3",0
"Cook County, IL",9,2020-02-08,"step3",0
"Cook County, IL",9,2020-02-08,"step4",0
"Cook County, IL",10,2020-02-09,"step4",0
"Cook County, IL",11,2020-02-10,"step4",0
"Cook County, IL",11,2020-02-10,"step5",0
"Cook County, IL",12,2020-02-11,"step5",0
"Cook County, IL",13,2020-02-12,"step5",0
"Cook County, IL",13,2020-02-12,"step6",0
"Cook County, IL",14,2020-02-13,"step6",0
"Cook County, IL",15,2020-02-14,"step6",0
"Cook County, IL",15,2020-02-14,"step7",0
"Cook County, IL",16,2020-02-15,"step7",0
"Cook County, IL",17,2020-02-16,"step7",0
"Cook County, IL",17,2020-02-16,"step8",0
"Cook County, IL",18,2020-02-17,"step8",0
"Cook County, IL",19,2020-02-18,"step8",0
"Cook County, IL",19,2020-02-18,"step9",0
"Cook County, IL",20,2020-02-19,"step9",0
"Cook County, IL",21,2020-02-20,"step9",0
"Cook County, IL",21,2020-02-20,"step10",0
"Cook County, IL",22,2020-02-21,"step10",0
"Cook County, IL",23,2020-02-22,"step10",0
"Cook County, IL",23,2020-02-22,"step11",0
"Cook County, IL",24,2020-02-23,"step11",0
"Cook County, IL",25,2020-02-24,"step11",0
"Cook County, IL",25,2020-02-24,"step12",0
"Cook County, IL",26,2020-02-25,"step12",0
"Cook County, IL",27,2020-02-26,"step12",0
"Cook County, IL",27,2020-02-26,"step13",0
"Cook County, IL",28,2020-02-27,"step13",0
"Cook County, IL",29,2020-02-28,"step13",0
"Cook County, IL",29,2020-02-28,"step14",1.33
"Cook County, IL",30,2020-02-29,"step14",1.33
"Cook County, IL",31,2020-03-01,"step14",1.33
"Cook County, IL",31,2020-03-01,"step15",1.33
"Cook County, IL",32,2020-03-02,"step15",1.33
"Cook County, IL",33,2020-03-03,"step15",1.33
"Cook County, IL",33,2020-03-03,"step16",1.33
"Cook County, IL",34,2020-03-04,"step16",1.33
"Cook County, IL",35,2020-03-05,"step16",1.33
"Cook County, IL",35,2020-03-05,"step17",1.33
"Cook County, IL",36,2020-03-06,"step17",1.33
"Cook County, IL",37,2020-03-07,"step17",1.33
"Cook County, IL",37,2020-03-07,"step18",1.15
"Cook County, IL",38,2020-03-08,"step18",1.15
"Cook County, IL",39,2020-03-09,"step18",1.15
"Cook County, IL",39,2020-03-09,"step19",1
"Cook County, IL",40,2020-03-10,"step19",1
"Cook County, IL",41,2020-03-11,"step19",1
"Cook County, IL",41,2020-03-11,"step20",0.88
"Cook County, IL",42,2020-03-12,"step20",0.88
"Cook County, IL",43,2020-03-13,"step20",0.88
"Cook County, IL",43,2020-03-13,"step21",0.77
"Cook County, IL",44,2020-03-14,"step21",0.77
"Cook County, IL",45,2020-03-15,"step21",0.77
"Cook County, IL",45,2020-03-15,"step22",0.67
"Cook County, IL",46,2020-03-16,"step22",0.67
"Cook County, IL",47,2020-03-17,"step22",0.67
"Cook County, IL",47,2020-03-17,"step23",0.59
"Cook County, IL",48,2020-03-18,"step23",0.59
"Cook County, IL",49,2020-03-19,"step23",0.59
"Cook County, IL",49,2020-03-19,"step24",0.51
"Cook County, IL",50,2020-03-20,"step24",0.51
"Cook County, IL",51,2020-03-21,"step24",0.51
"Cook County, IL",51,2020-03-21,"step25",0.45
"Cook County, IL",52,2020-03-22,"step25",0.45
"Cook County, IL",53,2020-03-23,"step25",0.45
"Cook County, IL",53,2020-03-23,"step26",0.39
"Cook County, IL",54,2020-03-24,"step26",0.39
"Cook County, IL",55,2020-03-25,"step26",0.39
"Cook County, IL",55,2020-03-25,"step27",0.34
"Cook County, IL",56,2020-03-26,"step27",0.34
"Cook County, IL",57,2020-03-27,"step27",0.34
"Cook County, IL",57,2020-03-27,"step28",0.3
"Cook County, IL",58,2020-03-28,"step28",0.3
"Cook County, IL",59,2020-03-29,"step28",0.3
"Cook County, IL",59,2020-03-29,"step29",0.26
"Cook County, IL",60,2020-03-30,"step29",0.26
"Cook County, IL",61,2020-03-31,"step29",0.26
"Cook County, IL",61,2020-03-31,"step30",0.22
"Cook County, IL",62,2020-04-01,"step30",0.22
"Cook County, IL",63,2020-04-02,"step30",0.22
"Cook County, IL",63,2020-04-02,"step31",0.19
"Cook County, IL",64,2020-04-03,"step31",0.19
"Cook County, IL",65,2020-04-04,"step31",0.19
"Cook County, IL",65,2020-04-04,"step32",0.16
"Cook County, IL",66,2020-04-05,"step32",0.16
"Cook County, IL",67,2020-04-06,"step32",0.16
"Cook County, IL",67,2020-04-06,"step33",0.13
"Cook County, IL",68,2020-04-07,"step33",0.13
"Cook County, IL",69,2020-04-08,"step33",0.13
"Cook County, IL",69,2020-04-08,"step34",0.11
"Cook County, IL",70,2020-04-09,"step34",0.11
"Cook County, IL",71,2020-04-10,"step34",0.11
"Cook County, IL",70,2020-04-09,"step35",0.105
"Cook County, IL",71,2020-04-10,"step35",0.105
"Cook County, IL",72,2020-04-11,"step35",0.105
"Cook County, IL",73,2020-04-12,"step35",0.105
"Cook County, IL",72,2020-04-11,"step36",0.09
"Cook County, IL",73,2020-04-12,"step36",0.09
"Cook County, IL",74,2020-04-13,"step36",0.09
"Cook County, IL",75,2020-04-14,"step36",0.09
"Cook County, IL",74,2020-04-13,"step37",0.085
"Cook County, IL",75,2020-04-14,"step37",0.085
"Cook County, IL",76,2020-04-15,"step37",0.085
"Cook County, IL",76,2020-04-15,"step39",0
"Cook County, IL",77,2020-04-16,"step39",0
"Cook County, IL",78,2020-04-17,"step39",0
"Cook County, IL",78,2020-04-17,"step40",0
"Cook County, IL",79,2020-04-18,"step40",0
"Cook County, IL",80,2020-04-19,"step40",0
"Cook County, IL",80,2020-04-19,"step41",0.1
"Cook County, IL",81,2020-04-20,"step41",0.1
"Cook County, IL",82,2020-04-21,"step41",0.1
"Cook County, IL",82,2020-04-21,"step42",0.16
"Cook County, IL",83,2020-04-22,"step42",0.16
"Cook County, IL",84,2020-04-23,"step42",0.16
"Cook County, IL",84,2020-04-23,"step43",0.18
"Cook County, IL",85,2020-04-24,"step43",0.18
"Cook County, IL",86,2020-04-25,"step43",0.18
"Cook County, IL",86,2020-04-25,"step44",0.18
"Cook County, IL",87,2020-04-26,"step44",0.18
"Cook County, IL",88,2020-04-27,"step44",0.18
"Cook County, IL",88,2020-04-27,"step45",0.18
"Cook County, IL",89,2020-04-28,"step45",0.18
"Cook County, IL",90,2020-04-29,"step45",0.18
"Cook County, IL",90,2020-04-29,"step46",0.17
"Cook County, IL",91,2020-04-30,"step46",0.17
"Cook County, IL",92,2020-05-01,"step46",0.17
"Cook County, IL",92,2020-05-01,"step47",0.16
"Cook County, IL",93,2020-05-02,"step47",0.16
"Cook County, IL",94,2020-05-03,"step47",0.16
"Cook County, IL",94,2020-05-03,"step48",0.15
"Cook County, IL",95,2020-05-04,"step48",0.15
"Cook County, IL",96,2020-05-05,"step48",0.15
"Cook County, IL",96,2020-05-05,"step50",0.13
"Cook County, IL",97,2020-05-06,"step50",0.13
"Cook County, IL",98,2020-05-07,"step50",0.13
"Cook County, IL",98,2020-05-07,"step52",0.12
"Cook County, IL",99,2020-05-08,"step52",0.12
"Cook County, IL",99,2020-05-08,"step54",0.11
"Cook County, IL",100,2020-05-09,"step54",0.11
"Cook County, IL",101,2020-05-10,"step54",0.11
"Cook County, IL",101,2020-05-10,"step56",0.11
"Cook County, IL",102,2020-05-11,"step56",0.11
"Cook County, IL",103,2020-05-12,"step56",0.11
"Cook County, IL",103,2020-05-12,"step59",0.1
"Cook County, IL",103,2020-05-12,"step60",0.1
"Cook County, IL",104,2020-05-13,"step60",0.1
"Cook County, IL",105,2020-05-14,"step60",0.1
"Cook County, IL",105,2020-05-14,"step61",0.1
"Cook County, IL",106,2020-05-15,"step61",0.1
"Cook County, IL",107,2020-05-16,"step61",0.1
"Cook County, IL",107,2020-05-16,"step62",0.1
"Cook County, IL",108,2020-05-17,"step62",0.1
"Cook County, IL",109,2020-05-18,"step62",0.1
"Cook County, IL",109,2020-05-18,"step63",0.1
"Cook County, IL",110,2020-05-19,"step63",0.1
"Cook County, IL",111,2020-05-20,"step63",0.1
"Cook County, IL",111,2020-05-20,"step64",0.1
"Cook County, IL",112,2020-05-21,"step64",0.1
"Cook County, IL",113,2020-05-22,"step64",0.1
"Cook County, IL",113,2020-05-22,"step65",0.11
"Cook County, IL",114,2020-05-23,"step65",0.11
"Cook County, IL",115,2020-05-24,"step65",0.11
"Cook County, IL",115,2020-05-24,"step66",0.1
"Cook County, IL",116,2020-05-25,"step66",0.1
"Cook County, IL",117,2020-05-26,"step66",0.1
