"region","time","date","period","b1"
"Hampden County, MA",0,2020-03-06,"baseline",0.85
"Hampden County, MA",1,2020-03-07,"baseline",0.85
"Hampden County, MA",2,2020-03-08,"baseline",0.85
"Hampden County, MA",3,2020-03-09,"baseline",0.85
"Hampden County, MA",4,2020-03-10,"baseline",0.85
"Hampden County, MA",5,2020-03-11,"baseline",0.85
"Hampden County, MA",6,2020-03-12,"baseline",0.85
"Hampden County, MA",7,2020-03-13,"baseline",0.85
"Hampden County, MA",8,2020-03-14,"baseline",0.85
"Hampden County, MA",9,2020-03-15,"baseline",0.85
"Hampden County, MA",10,2020-03-16,"baseline",0.85
"Hampden County, MA",11,2020-03-17,"baseline",0.85
"Hampden County, MA",12,2020-03-18,"baseline",0.85
"Hampden County, MA",12,2020-03-18,"step1",0.19
"Hampden County, MA",13,2020-03-19,"step1",0.19
"Hampden County, MA",14,2020-03-20,"step1",0.19
"Hampden County, MA",14,2020-03-20,"step2",0.19
"Hampden County, MA",15,2020-03-21,"step2",0.19
"Hampden County, MA",16,2020-03-22,"step2",0.19
"Hampden County, MA",16,2020-03-22,"step3",0.18
"Hampden County, MA",17,2020-03-23,"step3",0.18
"Hampden County, MA",18,2020-03-24,"step3",0.18
"Hampden County, MA",18,2020-03-24,"step4",0.17
"Hampden County, MA",19,2020-03-25,"step4",0.17
"Hampden County, MA",20,2020-03-26,"step4",0.17
"Hampden County, MA",20,2020-03-26,"step5",0.17
"Hampden County, MA",21,2020-03-27,"step5",0.17
"Hampden County, MA",22,2020-03-28,"step5",0.17
"Hampden County, MA",22,2020-03-28,"step6",0.17
"Hampden County, MA",23,2020-03-29,"step6",0.17
"Hampden County, MA",24,2020-03-30,"step6",0.17
"Hampden County, MA",24,2020-03-30,"step7",0.16
"Hampden County, MA",25,2020-03-31,"step7",0.16
"Hampden County, MA",26,2020-04-01,"step7",0.16
"Hampden County, MA",26,2020-04-01,"step8",0.16
"Hampden County, MA",27,2020-04-02,"step8",0.16
"Hampden County, MA",28,2020-04-03,"step8",0.16
"Hampden County, MA",28,2020-04-03,"step9",0.16
"Hampden County, MA",29,2020-04-04,"step9",0.16
"Hampden County, MA",30,2020-04-05,"step9",0.16
"Hampden County, MA",30,2020-04-05,"step10",0.15
"Hampden County, MA",31,2020-04-06,"step10",0.15
"Hampden County, MA",32,2020-04-07,"step10",0.15
"Hampden County, MA",32,2020-04-07,"step11",0.13
"Hampden County, MA",33,2020-04-08,"step11",0.13
"Hampden County, MA",34,2020-04-09,"step11",0.13
"Hampden County, MA",34,2020-04-09,"step12",0.12
"Hampden County, MA",35,2020-04-10,"step12",0.12
"Hampden County, MA",36,2020-04-11,"step12",0.12
"Hampden County, MA",34,2020-04-09,"step13",0.11
"Hampden County, MA",35,2020-04-10,"step13",0.11
"Hampden County, MA",36,2020-04-11,"step13",0.11
"Hampden County, MA",37,2020-04-12,"step13",0.11
"Hampden County, MA",38,2020-04-13,"step13",0.11
"Hampden County, MA",36,2020-04-11,"step14",0.095
"Hampden County, MA",37,2020-04-12,"step14",0.095
"Hampden County, MA",38,2020-04-13,"step14",0.095
"Hampden County, MA",39,2020-04-14,"step14",0.095
"Hampden County, MA",40,2020-04-15,"step14",0.095
"Hampden County, MA",38,2020-04-13,"step15",0.08
"Hampden County, MA",39,2020-04-14,"step15",0.08
"Hampden County, MA",40,2020-04-15,"step15",0.08
"Hampden County, MA",40,2020-04-15,"step17",0
"Hampden County, MA",41,2020-04-16,"step17",0
"Hampden County, MA",42,2020-04-17,"step17",0
"Hampden County, MA",42,2020-04-17,"step18",0
"Hampden County, MA",43,2020-04-18,"step18",0
"Hampden County, MA",44,2020-04-19,"step18",0
"Hampden County, MA",44,2020-04-19,"step19",0
"Hampden County, MA",45,2020-04-20,"step19",0
"Hampden County, MA",46,2020-04-21,"step19",0
"Hampden County, MA",46,2020-04-21,"step20",0
"Hampden County, MA",47,2020-04-22,"step20",0
"Hampden County, MA",48,2020-04-23,"step20",0
"Hampden County, MA",48,2020-04-23,"step21",0
"Hampden County, MA",49,2020-04-24,"step21",0
"Hampden County, MA",50,2020-04-25,"step21",0
"Hampden County, MA",50,2020-04-25,"step22",0
"Hampden County, MA",51,2020-04-26,"step22",0
"Hampden County, MA",52,2020-04-27,"step22",0
"Hampden County, MA",52,2020-04-27,"step23",0
"Hampden County, MA",53,2020-04-28,"step23",0
"Hampden County, MA",54,2020-04-29,"step23",0
"Hampden County, MA",54,2020-04-29,"step24",0.32
"Hampden County, MA",55,2020-04-30,"step24",0.32
"Hampden County, MA",56,2020-05-01,"step24",0.32
"Hampden County, MA",56,2020-05-01,"step25",0.32
"Hampden County, MA",57,2020-05-02,"step25",0.32
"Hampden County, MA",58,2020-05-03,"step25",0.32
"Hampden County, MA",58,2020-05-03,"step26",0.29
"Hampden County, MA",59,2020-05-04,"step26",0.29
"Hampden County, MA",60,2020-05-05,"step26",0.29
"Hampden County, MA",60,2020-05-05,"step28",0.29
"Hampden County, MA",61,2020-05-06,"step28",0.29
"Hampden County, MA",62,2020-05-07,"step28",0.29
"Hampden County, MA",62,2020-05-07,"step30",0.26
"Hampden County, MA",63,2020-05-08,"step30",0.26
"Hampden County, MA",63,2020-05-08,"step32",0.24
"Hampden County, MA",64,2020-05-09,"step32",0.24
"Hampden County, MA",65,2020-05-10,"step32",0.24
"Hampden County, MA",65,2020-05-10,"step34",0.21
"Hampden County, MA",66,2020-05-11,"step34",0.21
"Hampden County, MA",67,2020-05-12,"step34",0.21
"Hampden County, MA",67,2020-05-12,"step37",0.19
"Hampden County, MA",67,2020-05-12,"step38",0.19
"Hampden County, MA",68,2020-05-13,"step38",0.19
"Hampden County, MA",69,2020-05-14,"step38",0.19
"Hampden County, MA",69,2020-05-14,"step39",0.17
"Hampden County, MA",70,2020-05-15,"step39",0.17
"Hampden County, MA",71,2020-05-16,"step39",0.17
"Hampden County, MA",71,2020-05-16,"step40",0.14
"Hampden County, MA",72,2020-05-17,"step40",0.14
"Hampden County, MA",73,2020-05-18,"step40",0.14
"Hampden County, MA",73,2020-05-18,"step41",0.12
"Hampden County, MA",74,2020-05-19,"step41",0.12
"Hampden County, MA",75,2020-05-20,"step41",0.12
"Hampden County, MA",75,2020-05-20,"step42",0.1
"Hampden County, MA",76,2020-05-21,"step42",0.1
"Hampden County, MA",77,2020-05-22,"step42",0.1
"Hampden County, MA",77,2020-05-22,"step43",0.09
"Hampden County, MA",78,2020-05-23,"step43",0.09
"Hampden County, MA",79,2020-05-24,"step43",0.09
"Hampden County, MA",79,2020-05-24,"step44",0.08
"Hampden County, MA",80,2020-05-25,"step44",0.08
"Hampden County, MA",81,2020-05-26,"step44",0.08
"Hampden County, MA",81,2020-05-26,"step45",0.08
"Hampden County, MA",82,2020-05-27,"step45",0.08
"Hampden County, MA",83,2020-05-28,"step45",0.08
"Hampden County, MA",83,2020-05-28,"step46",0.06
"Hampden County, MA",84,2020-05-29,"step46",0.06
"Hampden County, MA",85,2020-05-30,"step46",0.06
"Hampden County, MA",85,2020-05-30,"step47",0.03
"Hampden County, MA",86,2020-05-31,"step47",0.03
"Hampden County, MA",87,2020-06-01,"step47",0.03
"Hampden County, MA",87,2020-06-01,"step48",0
"Hampden County, MA",88,2020-06-02,"step48",0
"Hampden County, MA",89,2020-06-03,"step48",0
