"region","time","date","period","b1"
"Henrico County, VA",0,2020-02-24,"baseline",0.27
"Henrico County, VA",1,2020-02-25,"baseline",0.27
"Henrico County, VA",2,2020-02-26,"baseline",0.27
"Henrico County, VA",3,2020-02-27,"baseline",0.27
"Henrico County, VA",4,2020-02-28,"baseline",0.27
"Henrico County, VA",5,2020-02-29,"baseline",0.27
"Henrico County, VA",6,2020-03-01,"baseline",0.27
"Henrico County, VA",7,2020-03-02,"baseline",0.27
"Henrico County, VA",8,2020-03-03,"baseline",0.27
"Henrico County, VA",9,2020-03-04,"baseline",0.27
"Henrico County, VA",10,2020-03-05,"baseline",0.27
"Henrico County, VA",11,2020-03-06,"baseline",0.27
"Henrico County, VA",12,2020-03-07,"baseline",0.27
"Henrico County, VA",13,2020-03-08,"baseline",0.27
"Henrico County, VA",14,2020-03-09,"baseline",0.27
"Henrico County, VA",15,2020-03-10,"baseline",0.27
"Henrico County, VA",16,2020-03-11,"baseline",0.27
"Henrico County, VA",17,2020-03-12,"baseline",0.27
"Henrico County, VA",18,2020-03-13,"baseline",0.27
"Henrico County, VA",19,2020-03-14,"baseline",0.27
"Henrico County, VA",20,2020-03-15,"baseline",0.27
"Henrico County, VA",21,2020-03-16,"baseline",0.27
"Henrico County, VA",22,2020-03-17,"baseline",0.27
"Henrico County, VA",23,2020-03-18,"baseline",0.27
"Henrico County, VA",24,2020-03-19,"baseline",0.27
"Henrico County, VA",24,2020-03-19,"step1",0.34
"Henrico County, VA",25,2020-03-20,"step1",0.34
"Henrico County, VA",26,2020-03-21,"step1",0.34
"Henrico County, VA",26,2020-03-21,"step2",0.31
"Henrico County, VA",27,2020-03-22,"step2",0.31
"Henrico County, VA",28,2020-03-23,"step2",0.31
"Henrico County, VA",28,2020-03-23,"step3",0.28
"Henrico County, VA",29,2020-03-24,"step3",0.28
"Henrico County, VA",30,2020-03-25,"step3",0.28
"Henrico County, VA",30,2020-03-25,"step4",0.26
"Henrico County, VA",31,2020-03-26,"step4",0.26
"Henrico County, VA",32,2020-03-27,"step4",0.26
"Henrico County, VA",32,2020-03-27,"step5",0.24
"Henrico County, VA",33,2020-03-28,"step5",0.24
"Henrico County, VA",34,2020-03-29,"step5",0.24
"Henrico County, VA",34,2020-03-29,"step6",0.21
"Henrico County, VA",35,2020-03-30,"step6",0.21
"Henrico County, VA",36,2020-03-31,"step6",0.21
"Henrico County, VA",36,2020-03-31,"step7",0.19
"Henrico County, VA",37,2020-04-01,"step7",0.19
"Henrico County, VA",38,2020-04-02,"step7",0.19
"Henrico County, VA",38,2020-04-02,"step8",0.16
"Henrico County, VA",39,2020-04-03,"step8",0.16
"Henrico County, VA",40,2020-04-04,"step8",0.16
"Henrico County, VA",40,2020-04-04,"step9",0.13
"Henrico County, VA",41,2020-04-05,"step9",0.13
"Henrico County, VA",42,2020-04-06,"step9",0.13
"Henrico County, VA",42,2020-04-06,"step10",0.1
"Henrico County, VA",43,2020-04-07,"step10",0.1
"Henrico County, VA",44,2020-04-08,"step10",0.1
"Henrico County, VA",44,2020-04-08,"step11",0.08
"Henrico County, VA",45,2020-04-09,"step11",0.08
"Henrico County, VA",46,2020-04-10,"step11",0.08
"Henrico County, VA",45,2020-04-09,"step12",0.065
"Henrico County, VA",46,2020-04-10,"step12",0.065
"Henrico County, VA",47,2020-04-11,"step12",0.065
"Henrico County, VA",48,2020-04-12,"step12",0.065
"Henrico County, VA",47,2020-04-11,"step13",0.055
"Henrico County, VA",48,2020-04-12,"step13",0.055
"Henrico County, VA",49,2020-04-13,"step13",0.055
"Henrico County, VA",50,2020-04-14,"step13",0.055
"Henrico County, VA",49,2020-04-13,"step14",0.05
"Henrico County, VA",50,2020-04-14,"step14",0.05
"Henrico County, VA",51,2020-04-15,"step14",0.05
"Henrico County, VA",51,2020-04-15,"step16",0
"Henrico County, VA",52,2020-04-16,"step16",0
"Henrico County, VA",53,2020-04-17,"step16",0
"Henrico County, VA",53,2020-04-17,"step17",0
"Henrico County, VA",54,2020-04-18,"step17",0
"Henrico County, VA",55,2020-04-19,"step17",0
"Henrico County, VA",55,2020-04-19,"step18",0
"Henrico County, VA",56,2020-04-20,"step18",0
"Henrico County, VA",57,2020-04-21,"step18",0
"Henrico County, VA",57,2020-04-21,"step19",0
"Henrico County, VA",58,2020-04-22,"step19",0
"Henrico County, VA",59,2020-04-23,"step19",0
"Henrico County, VA",59,2020-04-23,"step20",0
"Henrico County, VA",60,2020-04-24,"step20",0
"Henrico County, VA",61,2020-04-25,"step20",0
"Henrico County, VA",61,2020-04-25,"step21",0
"Henrico County, VA",62,2020-04-26,"step21",0
"Henrico County, VA",63,2020-04-27,"step21",0
"Henrico County, VA",63,2020-04-27,"step22",0.31
"Henrico County, VA",64,2020-04-28,"step22",0.31
"Henrico County, VA",65,2020-04-29,"step22",0.31
"Henrico County, VA",65,2020-04-29,"step23",0.29
"Henrico County, VA",66,2020-04-30,"step23",0.29
"Henrico County, VA",67,2020-05-01,"step23",0.29
"Henrico County, VA",67,2020-05-01,"step24",0.27
"Henrico County, VA",68,2020-05-02,"step24",0.27
"Henrico County, VA",69,2020-05-03,"step24",0.27
"Henrico County, VA",69,2020-05-03,"step25",0.26
"Henrico County, VA",70,2020-05-04,"step25",0.26
"Henrico County, VA",71,2020-05-05,"step25",0.26
"Henrico County, VA",71,2020-05-05,"step27",0.24
"Henrico County, VA",72,2020-05-06,"step27",0.24
"Henrico County, VA",73,2020-05-07,"step27",0.24
"Henrico County, VA",73,2020-05-07,"step29",0.23
