"region","time","date","period","b1"
"Hopkins County, KY",0,2020-02-29,"baseline",0.22
"Hopkins County, KY",1,2020-03-01,"baseline",0.22
"Hopkins County, KY",2,2020-03-02,"baseline",0.22
"Hopkins County, KY",3,2020-03-03,"baseline",0.22
"Hopkins County, KY",4,2020-03-04,"baseline",0.22
"Hopkins County, KY",5,2020-03-05,"baseline",0.22
"Hopkins County, KY",6,2020-03-06,"baseline",0.22
"Hopkins County, KY",7,2020-03-07,"baseline",0.22
"Hopkins County, KY",8,2020-03-08,"baseline",0.22
"Hopkins County, KY",9,2020-03-09,"baseline",0.22
"Hopkins County, KY",10,2020-03-10,"baseline",0.22
"Hopkins County, KY",11,2020-03-11,"baseline",0.22
"Hopkins County, KY",12,2020-03-12,"baseline",0.22
"Hopkins County, KY",13,2020-03-13,"baseline",0.22
"Hopkins County, KY",14,2020-03-14,"baseline",0.22
"Hopkins County, KY",15,2020-03-15,"baseline",0.22
"Hopkins County, KY",16,2020-03-16,"baseline",0.22
"Hopkins County, KY",17,2020-03-17,"baseline",0.22
"Hopkins County, KY",18,2020-03-18,"baseline",0.22
"Hopkins County, KY",19,2020-03-19,"baseline",0.22
"Hopkins County, KY",20,2020-03-20,"baseline",0.22
"Hopkins County, KY",21,2020-03-21,"baseline",0.22
"Hopkins County, KY",22,2020-03-22,"baseline",0.22
"Hopkins County, KY",23,2020-03-23,"baseline",0.22
"Hopkins County, KY",24,2020-03-24,"baseline",0.22
"Hopkins County, KY",25,2020-03-25,"baseline",0.22
"Hopkins County, KY",26,2020-03-26,"baseline",0.22
"Hopkins County, KY",27,2020-03-27,"baseline",0.22
"Hopkins County, KY",28,2020-03-28,"baseline",0.22
"Hopkins County, KY",20,2020-03-20,"stepNA",0.164302325581395
"Hopkins County, KY",21,2020-03-21,"stepNA",0.164302325581395
"Hopkins County, KY",22,2020-03-22,"stepNA",0.164302325581395
"Hopkins County, KY",23,2020-03-23,"stepNA",0.164302325581395
"Hopkins County, KY",24,2020-03-24,"stepNA",0.164302325581395
"Hopkins County, KY",25,2020-03-25,"stepNA",0.164302325581395
"Hopkins County, KY",26,2020-03-26,"stepNA",0.164302325581395
"Hopkins County, KY",27,2020-03-27,"stepNA",0.164302325581395
"Hopkins County, KY",28,2020-03-28,"stepNA",0.164302325581395
"Hopkins County, KY",29,2020-03-29,"stepNA",0.164302325581395
"Hopkins County, KY",30,2020-03-30,"stepNA",0.164302325581395
"Hopkins County, KY",31,2020-03-31,"stepNA",0.164302325581395
"Hopkins County, KY",32,2020-04-01,"stepNA",0.164302325581395
"Hopkins County, KY",33,2020-04-02,"stepNA",0.164302325581395
"Hopkins County, KY",34,2020-04-03,"stepNA",0.164302325581395
"Hopkins County, KY",35,2020-04-04,"stepNA",0.164302325581395
