"region","time","date","period","b1"
"Idaho",0,2020-02-19,"baseline",0.37
"Idaho",1,2020-02-20,"baseline",0.37
"Idaho",2,2020-02-21,"baseline",0.37
"Idaho",3,2020-02-22,"baseline",0.37
"Idaho",4,2020-02-23,"baseline",0.37
"Idaho",5,2020-02-24,"baseline",0.37
"Idaho",6,2020-02-25,"baseline",0.37
"Idaho",7,2020-02-26,"baseline",0.37
"Idaho",8,2020-02-27,"baseline",0.37
"Idaho",9,2020-02-28,"baseline",0.37
"Idaho",10,2020-02-29,"baseline",0.37
"Idaho",11,2020-03-01,"baseline",0.37
"Idaho",12,2020-03-02,"baseline",0.37
"Idaho",13,2020-03-03,"baseline",0.37
"Idaho",14,2020-03-04,"baseline",0.37
"Idaho",15,2020-03-05,"baseline",0.37
"Idaho",16,2020-03-06,"baseline",0.37
"Idaho",17,2020-03-07,"baseline",0.37
"Idaho",18,2020-03-08,"baseline",0.37
"Idaho",19,2020-03-09,"baseline",0.37
"Idaho",20,2020-03-10,"baseline",0.37
"Idaho",21,2020-03-11,"baseline",0.37
"Idaho",22,2020-03-12,"baseline",0.37
"Idaho",23,2020-03-13,"baseline",0.37
"Idaho",24,2020-03-14,"baseline",0.37
"Idaho",25,2020-03-15,"baseline",0.37
"Idaho",26,2020-03-16,"baseline",0.37
"Idaho",26,2020-03-16,"step1",0.32
"Idaho",27,2020-03-17,"step1",0.32
"Idaho",28,2020-03-18,"step1",0.32
"Idaho",28,2020-03-18,"step2",0.29
"Idaho",29,2020-03-19,"step2",0.29
"Idaho",30,2020-03-20,"step2",0.29
"Idaho",30,2020-03-20,"step3",0.26
"Idaho",31,2020-03-21,"step3",0.26
"Idaho",32,2020-03-22,"step3",0.26
"Idaho",32,2020-03-22,"step4",0.24
"Idaho",33,2020-03-23,"step4",0.24
"Idaho",34,2020-03-24,"step4",0.24
"Idaho",34,2020-03-24,"step5",0.22
"Idaho",35,2020-03-25,"step5",0.22
"Idaho",36,2020-03-26,"step5",0.22
"Idaho",36,2020-03-26,"step6",0.19
"Idaho",37,2020-03-27,"step6",0.19
"Idaho",38,2020-03-28,"step6",0.19
"Idaho",38,2020-03-28,"step7",0.17
"Idaho",39,2020-03-29,"step7",0.17
"Idaho",40,2020-03-30,"step7",0.17
"Idaho",40,2020-03-30,"step8",0.15
"Idaho",41,2020-03-31,"step8",0.15
"Idaho",42,2020-04-01,"step8",0.15
"Idaho",42,2020-04-01,"step9",0.13
"Idaho",43,2020-04-02,"step9",0.13
"Idaho",44,2020-04-03,"step9",0.13
"Idaho",44,2020-04-03,"step10",0.11
"Idaho",45,2020-04-04,"step10",0.11
"Idaho",46,2020-04-05,"step10",0.11
"Idaho",46,2020-04-05,"step11",0.08
"Idaho",47,2020-04-06,"step11",0.08
"Idaho",48,2020-04-07,"step11",0.08
"Idaho",48,2020-04-07,"step12",0.07
"Idaho",49,2020-04-08,"step12",0.07
"Idaho",50,2020-04-09,"step12",0.07
"Idaho",50,2020-04-09,"step13",0.05
"Idaho",51,2020-04-10,"step13",0.05
"Idaho",52,2020-04-11,"step13",0.05
"Idaho",52,2020-04-11,"step14",0.04
"Idaho",53,2020-04-12,"step14",0.04
"Idaho",54,2020-04-13,"step14",0.04
"Idaho",54,2020-04-13,"step15",0.04
"Idaho",55,2020-04-14,"step15",0.04
"Idaho",56,2020-04-15,"step15",0.04
"Idaho",56,2020-04-15,"step16",0.03
"Idaho",57,2020-04-16,"step16",0.03
"Idaho",58,2020-04-17,"step16",0.03
"Idaho",58,2020-04-17,"step17",0.01
"Idaho",59,2020-04-18,"step17",0.01
"Idaho",60,2020-04-19,"step17",0.01
"Idaho",60,2020-04-19,"step18",0
"Idaho",61,2020-04-20,"step18",0
"Idaho",62,2020-04-21,"step18",0
"Idaho",62,2020-04-21,"step19",0
"Idaho",63,2020-04-22,"step19",0
"Idaho",64,2020-04-23,"step19",0
"Idaho",64,2020-04-23,"step20",0
"Idaho",65,2020-04-24,"step20",0
"Idaho",66,2020-04-25,"step20",0
"Idaho",66,2020-04-25,"step21",0
"Idaho",67,2020-04-26,"step21",0
"Idaho",68,2020-04-27,"step21",0
"Idaho",68,2020-04-27,"step22",0.11
"Idaho",69,2020-04-28,"step22",0.11
"Idaho",70,2020-04-29,"step22",0.11
"Idaho",70,2020-04-29,"step23",0.21
"Idaho",71,2020-04-30,"step23",0.21
"Idaho",72,2020-05-01,"step23",0.21
"Idaho",72,2020-05-01,"step24",0.25
"Idaho",73,2020-05-02,"step24",0.25
"Idaho",74,2020-05-03,"step24",0.25
"Idaho",74,2020-05-03,"step25",0.26
"Idaho",75,2020-05-04,"step25",0.26
"Idaho",76,2020-05-05,"step25",0.26
"Idaho",76,2020-05-05,"step26",0.26
"Idaho",77,2020-05-06,"step26",0.26
"Idaho",78,2020-05-07,"step26",0.26
"Idaho",78,2020-05-07,"step27",0.24
"Idaho",79,2020-05-08,"step27",0.24
"Idaho",80,2020-05-09,"step27",0.24
"Idaho",80,2020-05-09,"step28",0.2
"Idaho",81,2020-05-10,"step28",0.2
"Idaho",82,2020-05-11,"step28",0.2
"Idaho",82,2020-05-11,"step29",0.12
"Idaho",83,2020-05-12,"step29",0.12
"Idaho",83,2020-05-12,"step30",0.08
"Idaho",83,2020-05-12,"step31",0.08
"Idaho",84,2020-05-13,"step31",0.08
"Idaho",85,2020-05-14,"step31",0.08
"Idaho",85,2020-05-14,"step32",0
"Idaho",86,2020-05-15,"step32",0
"Idaho",87,2020-05-16,"step32",0
"Idaho",87,2020-05-16,"step33",0
"Idaho",88,2020-05-17,"step33",0
"Idaho",89,2020-05-18,"step33",0
"Idaho",89,2020-05-18,"step34",0
"Idaho",90,2020-05-19,"step34",0
"Idaho",91,2020-05-20,"step34",0
"Idaho",91,2020-05-20,"step35",0
"Idaho",92,2020-05-21,"step35",0
"Idaho",93,2020-05-22,"step35",0
"Idaho",93,2020-05-22,"step36",0
"Idaho",94,2020-05-23,"step36",0
"Idaho",95,2020-05-24,"step36",0
"Idaho",95,2020-05-24,"step37",0
"Idaho",96,2020-05-25,"step37",0
"Idaho",97,2020-05-26,"step37",0
"Idaho",97,2020-05-26,"step38",0
"Idaho",98,2020-05-27,"step38",0
"Idaho",99,2020-05-28,"step38",0
"Idaho",99,2020-05-28,"step39",0
"Idaho",100,2020-05-29,"step39",0
"Idaho",101,2020-05-30,"step39",0
"Idaho",101,2020-05-30,"step40",0
"Idaho",102,2020-05-31,"step40",0
"Idaho",103,2020-06-01,"step40",0
"Idaho",103,2020-06-01,"step41",0
"Idaho",104,2020-06-02,"step41",0
"Idaho",105,2020-06-03,"step41",0
