"region","time","date","period","b1"
"Johnston County, NC",0,2020-03-05,"baseline",0.33
"Johnston County, NC",1,2020-03-06,"baseline",0.33
"Johnston County, NC",2,2020-03-07,"baseline",0.33
"Johnston County, NC",3,2020-03-08,"baseline",0.33
"Johnston County, NC",4,2020-03-09,"baseline",0.33
"Johnston County, NC",5,2020-03-10,"baseline",0.33
"Johnston County, NC",6,2020-03-11,"baseline",0.33
"Johnston County, NC",7,2020-03-12,"baseline",0.33
"Johnston County, NC",8,2020-03-13,"baseline",0.33
"Johnston County, NC",8,2020-03-13,"step1",0.19
"Johnston County, NC",9,2020-03-14,"step1",0.19
"Johnston County, NC",10,2020-03-15,"step1",0.19
"Johnston County, NC",10,2020-03-15,"step2",0.19
"Johnston County, NC",11,2020-03-16,"step2",0.19
"Johnston County, NC",12,2020-03-17,"step2",0.19
"Johnston County, NC",12,2020-03-17,"step3",0.18
"Johnston County, NC",13,2020-03-18,"step3",0.18
"Johnston County, NC",14,2020-03-19,"step3",0.18
"Johnston County, NC",14,2020-03-19,"step4",0.16
"Johnston County, NC",15,2020-03-20,"step4",0.16
"Johnston County, NC",15,2020-03-20,"step5",0.16
"Johnston County, NC",16,2020-03-21,"step5",0.16
"Johnston County, NC",17,2020-03-22,"step5",0.16
"Johnston County, NC",17,2020-03-22,"step6",0.14
"Johnston County, NC",18,2020-03-23,"step6",0.14
"Johnston County, NC",19,2020-03-24,"step6",0.14
"Johnston County, NC",19,2020-03-24,"step7",0.14
"Johnston County, NC",20,2020-03-25,"step7",0.14
"Johnston County, NC",21,2020-03-26,"step7",0.14
"Johnston County, NC",21,2020-03-26,"step8",0.13
"Johnston County, NC",22,2020-03-27,"step8",0.13
"Johnston County, NC",23,2020-03-28,"step8",0.13
"Johnston County, NC",23,2020-03-28,"step9",0.12
"Johnston County, NC",24,2020-03-29,"step9",0.12
"Johnston County, NC",25,2020-03-30,"step9",0.12
"Johnston County, NC",25,2020-03-30,"step10",0.11
"Johnston County, NC",26,2020-03-31,"step10",0.11
"Johnston County, NC",27,2020-04-01,"step10",0.11
"Johnston County, NC",27,2020-04-01,"step11",0.11
"Johnston County, NC",28,2020-04-02,"step11",0.11
"Johnston County, NC",29,2020-04-03,"step11",0.11
"Johnston County, NC",29,2020-04-03,"step12",0.1
"Johnston County, NC",30,2020-04-04,"step12",0.1
"Johnston County, NC",31,2020-04-05,"step12",0.1
"Johnston County, NC",31,2020-04-05,"step13",0.09
"Johnston County, NC",32,2020-04-06,"step13",0.09
"Johnston County, NC",33,2020-04-07,"step13",0.09
"Johnston County, NC",33,2020-04-07,"step14",0.1
"Johnston County, NC",34,2020-04-08,"step14",0.1
"Johnston County, NC",35,2020-04-09,"step14",0.1
"Johnston County, NC",35,2020-04-09,"step15",0.1
"Johnston County, NC",36,2020-04-10,"step15",0.1
"Johnston County, NC",37,2020-04-11,"step15",0.1
"Johnston County, NC",37,2020-04-11,"step16",0.11
"Johnston County, NC",38,2020-04-12,"step16",0.11
"Johnston County, NC",39,2020-04-13,"step16",0.11
"Johnston County, NC",39,2020-04-13,"step17",0.12
"Johnston County, NC",40,2020-04-14,"step17",0.12
"Johnston County, NC",41,2020-04-15,"step17",0.12
"Johnston County, NC",41,2020-04-15,"step19",0.13
"Johnston County, NC",42,2020-04-16,"step19",0.13
"Johnston County, NC",43,2020-04-17,"step19",0.13
"Johnston County, NC",43,2020-04-17,"step20",0.13
"Johnston County, NC",44,2020-04-18,"step20",0.13
"Johnston County, NC",45,2020-04-19,"step20",0.13
"Johnston County, NC",45,2020-04-19,"step21",0.13
"Johnston County, NC",46,2020-04-20,"step21",0.13
"Johnston County, NC",47,2020-04-21,"step21",0.13
"Johnston County, NC",47,2020-04-21,"step22",0.12
"Johnston County, NC",48,2020-04-22,"step22",0.12
"Johnston County, NC",49,2020-04-23,"step22",0.12
"Johnston County, NC",49,2020-04-23,"step23",0.11
"Johnston County, NC",50,2020-04-24,"step23",0.11
"Johnston County, NC",51,2020-04-25,"step23",0.11
"Johnston County, NC",51,2020-04-25,"step24",0.11
"Johnston County, NC",52,2020-04-26,"step24",0.11
"Johnston County, NC",53,2020-04-27,"step24",0.11
"Johnston County, NC",53,2020-04-27,"step25",0.1
"Johnston County, NC",54,2020-04-28,"step25",0.1
"Johnston County, NC",55,2020-04-29,"step25",0.1
"Johnston County, NC",55,2020-04-29,"step26",0.1
"Johnston County, NC",56,2020-04-30,"step26",0.1
"Johnston County, NC",57,2020-05-01,"step26",0.1
"Johnston County, NC",57,2020-05-01,"step27",0.09
"Johnston County, NC",58,2020-05-02,"step27",0.09
"Johnston County, NC",59,2020-05-03,"step27",0.09
"Johnston County, NC",59,2020-05-03,"step28",0.08
"Johnston County, NC",60,2020-05-04,"step28",0.08
"Johnston County, NC",61,2020-05-05,"step28",0.08
"Johnston County, NC",61,2020-05-05,"step30",0.02
"Johnston County, NC",62,2020-05-06,"step30",0.02
"Johnston County, NC",63,2020-05-07,"step30",0.02
"Johnston County, NC",63,2020-05-07,"step32",0
"Johnston County, NC",64,2020-05-08,"step32",0
"Johnston County, NC",64,2020-05-08,"step34",0
"Johnston County, NC",65,2020-05-09,"step34",0
"Johnston County, NC",66,2020-05-10,"step34",0
"Johnston County, NC",66,2020-05-10,"step36",0
"Johnston County, NC",67,2020-05-11,"step36",0
"Johnston County, NC",68,2020-05-12,"step36",0
"Johnston County, NC",68,2020-05-12,"step39",0
"Johnston County, NC",68,2020-05-12,"step40",0
"Johnston County, NC",69,2020-05-13,"step40",0
"Johnston County, NC",70,2020-05-14,"step40",0
"Johnston County, NC",70,2020-05-14,"step41",0
"Johnston County, NC",71,2020-05-15,"step41",0
"Johnston County, NC",72,2020-05-16,"step41",0
"Johnston County, NC",72,2020-05-16,"step42",0.36
"Johnston County, NC",73,2020-05-17,"step42",0.36
"Johnston County, NC",74,2020-05-18,"step42",0.36
"Johnston County, NC",74,2020-05-18,"step43",0.34
"Johnston County, NC",75,2020-05-19,"step43",0.34
"Johnston County, NC",76,2020-05-20,"step43",0.34
"Johnston County, NC",76,2020-05-20,"step44",0.32
"Johnston County, NC",77,2020-05-21,"step44",0.32
"Johnston County, NC",78,2020-05-22,"step44",0.32
"Johnston County, NC",78,2020-05-22,"step45",0.32
"Johnston County, NC",79,2020-05-23,"step45",0.32
"Johnston County, NC",80,2020-05-24,"step45",0.32
"Johnston County, NC",80,2020-05-24,"step46",0.31
"Johnston County, NC",81,2020-05-25,"step46",0.31
"Johnston County, NC",82,2020-05-26,"step46",0.31
"Johnston County, NC",82,2020-05-26,"step47",0.31
"Johnston County, NC",83,2020-05-27,"step47",0.31
"Johnston County, NC",84,2020-05-28,"step47",0.31
"Johnston County, NC",84,2020-05-28,"step48",0.32
"Johnston County, NC",85,2020-05-29,"step48",0.32
"Johnston County, NC",86,2020-05-30,"step48",0.32
"Johnston County, NC",86,2020-05-30,"step49",0.31
"Johnston County, NC",87,2020-05-31,"step49",0.31
"Johnston County, NC",88,2020-06-01,"step49",0.31
"Johnston County, NC",88,2020-06-01,"step50",0.3
"Johnston County, NC",89,2020-06-02,"step50",0.3
"Johnston County, NC",90,2020-06-03,"step50",0.3
