"region","time","date","period","b1"
"Kalamazoo County, MI",0,2020-03-13,"baseline",0.5
"Kalamazoo County, MI",1,2020-03-14,"baseline",0.5
"Kalamazoo County, MI",2,2020-03-15,"baseline",0.5
"Kalamazoo County, MI",3,2020-03-16,"baseline",0.5
"Kalamazoo County, MI",4,2020-03-17,"baseline",0.5
"Kalamazoo County, MI",5,2020-03-18,"baseline",0.5
"Kalamazoo County, MI",6,2020-03-19,"baseline",0.5
"Kalamazoo County, MI",7,2020-03-20,"baseline",0.5
"Kalamazoo County, MI",8,2020-03-21,"baseline",0.5
"Kalamazoo County, MI",9,2020-03-22,"baseline",0.5
"Kalamazoo County, MI",10,2020-03-23,"baseline",0.5
"Kalamazoo County, MI",11,2020-03-24,"baseline",0.5
"Kalamazoo County, MI",12,2020-03-25,"baseline",0.5
"Kalamazoo County, MI",12,2020-03-25,"step1",0.25
"Kalamazoo County, MI",13,2020-03-26,"step1",0.25
"Kalamazoo County, MI",14,2020-03-27,"step1",0.25
"Kalamazoo County, MI",14,2020-03-27,"step2",0.22
"Kalamazoo County, MI",15,2020-03-28,"step2",0.22
"Kalamazoo County, MI",16,2020-03-29,"step2",0.22
"Kalamazoo County, MI",16,2020-03-29,"step3",0.19
"Kalamazoo County, MI",17,2020-03-30,"step3",0.19
"Kalamazoo County, MI",18,2020-03-31,"step3",0.19
"Kalamazoo County, MI",18,2020-03-31,"step4",0.16
"Kalamazoo County, MI",19,2020-04-01,"step4",0.16
"Kalamazoo County, MI",20,2020-04-02,"step4",0.16
"Kalamazoo County, MI",20,2020-04-02,"step5",0.14
"Kalamazoo County, MI",21,2020-04-03,"step5",0.14
"Kalamazoo County, MI",22,2020-04-04,"step5",0.14
"Kalamazoo County, MI",22,2020-04-04,"step6",0.13
"Kalamazoo County, MI",23,2020-04-05,"step6",0.13
"Kalamazoo County, MI",24,2020-04-06,"step6",0.13
"Kalamazoo County, MI",24,2020-04-06,"step7",0.11
"Kalamazoo County, MI",25,2020-04-07,"step7",0.11
"Kalamazoo County, MI",26,2020-04-08,"step7",0.11
"Kalamazoo County, MI",26,2020-04-08,"step8",0.09
"Kalamazoo County, MI",27,2020-04-09,"step8",0.09
"Kalamazoo County, MI",28,2020-04-10,"step8",0.09
"Kalamazoo County, MI",27,2020-04-09,"step9",0.08
"Kalamazoo County, MI",28,2020-04-10,"step9",0.08
"Kalamazoo County, MI",29,2020-04-11,"step9",0.08
