"region","time","date","period","b1"
"Maine",0,2020-02-20,"baseline",0.38
"Maine",1,2020-02-21,"baseline",0.38
"Maine",2,2020-02-22,"baseline",0.38
"Maine",3,2020-02-23,"baseline",0.38
"Maine",4,2020-02-24,"baseline",0.38
"Maine",5,2020-02-25,"baseline",0.38
"Maine",6,2020-02-26,"baseline",0.38
"Maine",7,2020-02-27,"baseline",0.38
"Maine",8,2020-02-28,"baseline",0.38
"Maine",9,2020-02-29,"baseline",0.38
"Maine",10,2020-03-01,"baseline",0.38
"Maine",11,2020-03-02,"baseline",0.38
"Maine",12,2020-03-03,"baseline",0.38
"Maine",13,2020-03-04,"baseline",0.38
"Maine",14,2020-03-05,"baseline",0.38
"Maine",15,2020-03-06,"baseline",0.38
"Maine",16,2020-03-07,"baseline",0.38
"Maine",17,2020-03-08,"baseline",0.38
"Maine",18,2020-03-09,"baseline",0.38
"Maine",19,2020-03-10,"baseline",0.38
"Maine",20,2020-03-11,"baseline",0.38
"Maine",21,2020-03-12,"baseline",0.38
"Maine",22,2020-03-13,"baseline",0.38
"Maine",23,2020-03-14,"baseline",0.38
"Maine",23,2020-03-14,"step1",0.26
"Maine",24,2020-03-15,"step1",0.26
"Maine",25,2020-03-16,"step1",0.26
"Maine",25,2020-03-16,"step2",0.23
"Maine",26,2020-03-17,"step2",0.23
"Maine",27,2020-03-18,"step2",0.23
"Maine",27,2020-03-18,"step3",0.21
"Maine",28,2020-03-19,"step3",0.21
"Maine",29,2020-03-20,"step3",0.21
"Maine",29,2020-03-20,"step4",0.19
"Maine",30,2020-03-21,"step4",0.19
"Maine",31,2020-03-22,"step4",0.19
"Maine",31,2020-03-22,"step5",0.17
"Maine",32,2020-03-23,"step5",0.17
"Maine",33,2020-03-24,"step5",0.17
"Maine",33,2020-03-24,"step6",0.15
"Maine",34,2020-03-25,"step6",0.15
"Maine",35,2020-03-26,"step6",0.15
"Maine",35,2020-03-26,"step7",0.13
"Maine",36,2020-03-27,"step7",0.13
"Maine",37,2020-03-28,"step7",0.13
"Maine",37,2020-03-28,"step8",0.13
"Maine",38,2020-03-29,"step8",0.13
"Maine",39,2020-03-30,"step8",0.13
"Maine",39,2020-03-30,"step9",0.12
"Maine",40,2020-03-31,"step9",0.12
"Maine",41,2020-04-01,"step9",0.12
"Maine",41,2020-04-01,"step10",0.12
"Maine",42,2020-04-02,"step10",0.12
"Maine",43,2020-04-03,"step10",0.12
"Maine",43,2020-04-03,"step11",0.12
"Maine",44,2020-04-04,"step11",0.12
"Maine",45,2020-04-05,"step11",0.12
"Maine",45,2020-04-05,"step12",0.12
"Maine",46,2020-04-06,"step12",0.12
"Maine",47,2020-04-07,"step12",0.12
"Maine",47,2020-04-07,"step13",0.1
"Maine",48,2020-04-08,"step13",0.1
"Maine",49,2020-04-09,"step13",0.1
"Maine",49,2020-04-09,"step14",0.09
"Maine",50,2020-04-10,"step14",0.09
"Maine",51,2020-04-11,"step14",0.09
"Maine",51,2020-04-11,"step15",0.08
"Maine",52,2020-04-12,"step15",0.08
"Maine",53,2020-04-13,"step15",0.08
"Maine",53,2020-04-13,"step16",0.08
"Maine",54,2020-04-14,"step16",0.08
"Maine",55,2020-04-15,"step16",0.08
"Maine",55,2020-04-15,"step17",0.08
"Maine",56,2020-04-16,"step17",0.08
"Maine",57,2020-04-17,"step17",0.08
"Maine",57,2020-04-17,"step18",0.08
"Maine",58,2020-04-18,"step18",0.08
"Maine",59,2020-04-19,"step18",0.08
"Maine",59,2020-04-19,"step19",0.08
"Maine",60,2020-04-20,"step19",0.08
"Maine",61,2020-04-21,"step19",0.08
"Maine",61,2020-04-21,"step20",0.09
"Maine",62,2020-04-22,"step20",0.09
"Maine",63,2020-04-23,"step20",0.09
"Maine",63,2020-04-23,"step21",0.09
"Maine",64,2020-04-24,"step21",0.09
"Maine",65,2020-04-25,"step21",0.09
"Maine",65,2020-04-25,"step22",0.11
"Maine",66,2020-04-26,"step22",0.11
"Maine",67,2020-04-27,"step22",0.11
"Maine",67,2020-04-27,"step23",0.12
"Maine",68,2020-04-28,"step23",0.12
"Maine",69,2020-04-29,"step23",0.12
"Maine",69,2020-04-29,"step24",0.13
"Maine",70,2020-04-30,"step24",0.13
