"region","time","date","period","b1"
"Maryland",0,2020-02-09,"baseline",0.42
"Maryland",1,2020-02-10,"baseline",0.42
"Maryland",2,2020-02-11,"baseline",0.42
"Maryland",3,2020-02-12,"baseline",0.42
"Maryland",4,2020-02-13,"baseline",0.42
"Maryland",5,2020-02-14,"baseline",0.42
"Maryland",6,2020-02-15,"baseline",0.42
"Maryland",7,2020-02-16,"baseline",0.42
"Maryland",8,2020-02-17,"baseline",0.42
"Maryland",9,2020-02-18,"baseline",0.42
"Maryland",10,2020-02-19,"baseline",0.42
"Maryland",11,2020-02-20,"baseline",0.42
"Maryland",12,2020-02-21,"baseline",0.42
"Maryland",13,2020-02-22,"baseline",0.42
"Maryland",14,2020-02-23,"baseline",0.42
"Maryland",15,2020-02-24,"baseline",0.42
"Maryland",16,2020-02-25,"baseline",0.42
"Maryland",17,2020-02-26,"baseline",0.42
"Maryland",18,2020-02-27,"baseline",0.42
"Maryland",19,2020-02-28,"baseline",0.42
"Maryland",20,2020-02-29,"baseline",0.42
"Maryland",21,2020-03-01,"baseline",0.42
"Maryland",22,2020-03-02,"baseline",0.42
"Maryland",23,2020-03-03,"baseline",0.42
"Maryland",24,2020-03-04,"baseline",0.42
"Maryland",25,2020-03-05,"baseline",0.42
"Maryland",26,2020-03-06,"baseline",0.42
"Maryland",27,2020-03-07,"baseline",0.42
"Maryland",28,2020-03-08,"baseline",0.42
"Maryland",28,2020-03-08,"step1",0
"Maryland",29,2020-03-09,"step1",0
"Maryland",30,2020-03-10,"step1",0
"Maryland",30,2020-03-10,"step2",0
"Maryland",31,2020-03-11,"step2",0
"Maryland",32,2020-03-12,"step2",0
"Maryland",32,2020-03-12,"step3",0.37
"Maryland",33,2020-03-13,"step3",0.37
"Maryland",34,2020-03-14,"step3",0.37
"Maryland",34,2020-03-14,"step4",0.35
"Maryland",35,2020-03-15,"step4",0.35
"Maryland",36,2020-03-16,"step4",0.35
"Maryland",36,2020-03-16,"step5",0.33
"Maryland",37,2020-03-17,"step5",0.33
"Maryland",38,2020-03-18,"step5",0.33
"Maryland",38,2020-03-18,"step6",0.31
"Maryland",39,2020-03-19,"step6",0.31
"Maryland",40,2020-03-20,"step6",0.31
"Maryland",40,2020-03-20,"step7",0.28
"Maryland",41,2020-03-21,"step7",0.28
"Maryland",42,2020-03-22,"step7",0.28
"Maryland",42,2020-03-22,"step8",0.26
