"region","time","date","period","b1"
"Michigan",0,2020-01-28,"baseline",0.38
"Michigan",1,2020-01-29,"baseline",0.38
"Michigan",2,2020-01-30,"baseline",0.38
"Michigan",3,2020-01-31,"baseline",0.38
"Michigan",4,2020-02-01,"baseline",0.38
"Michigan",5,2020-02-02,"baseline",0.38
"Michigan",6,2020-02-03,"baseline",0.38
"Michigan",7,2020-02-04,"baseline",0.38
"Michigan",8,2020-02-05,"baseline",0.38
"Michigan",9,2020-02-06,"baseline",0.38
"Michigan",10,2020-02-07,"baseline",0.38
"Michigan",11,2020-02-08,"baseline",0.38
"Michigan",12,2020-02-09,"baseline",0.38
"Michigan",13,2020-02-10,"baseline",0.38
"Michigan",14,2020-02-11,"baseline",0.38
"Michigan",15,2020-02-12,"baseline",0.38
"Michigan",16,2020-02-13,"baseline",0.38
"Michigan",17,2020-02-14,"baseline",0.38
"Michigan",18,2020-02-15,"baseline",0.38
"Michigan",19,2020-02-16,"baseline",0.38
"Michigan",20,2020-02-17,"baseline",0.38
"Michigan",21,2020-02-18,"baseline",0.38
"Michigan",22,2020-02-19,"baseline",0.38
"Michigan",23,2020-02-20,"baseline",0.38
"Michigan",24,2020-02-21,"baseline",0.38
"Michigan",25,2020-02-22,"baseline",0.38
"Michigan",26,2020-02-23,"baseline",0.38
"Michigan",27,2020-02-24,"baseline",0.38
"Michigan",28,2020-02-25,"baseline",0.38
"Michigan",29,2020-02-26,"baseline",0.38
"Michigan",30,2020-02-27,"baseline",0.38
"Michigan",31,2020-02-28,"baseline",0.38
"Michigan",32,2020-02-29,"baseline",0.38
"Michigan",33,2020-03-01,"baseline",0.38
"Michigan",34,2020-03-02,"baseline",0.38
"Michigan",35,2020-03-03,"baseline",0.38
"Michigan",36,2020-03-04,"baseline",0.38
"Michigan",37,2020-03-05,"baseline",0.38
"Michigan",38,2020-03-06,"baseline",0.38
"Michigan",39,2020-03-07,"baseline",0.38
"Michigan",40,2020-03-08,"baseline",0.38
"Michigan",41,2020-03-09,"baseline",0.38
"Michigan",42,2020-03-10,"baseline",0.38
"Michigan",43,2020-03-11,"baseline",0.38
"Michigan",44,2020-03-12,"baseline",0.38
"Michigan",44,2020-03-12,"step1",0.32
"Michigan",45,2020-03-13,"step1",0.32
"Michigan",46,2020-03-14,"step1",0.32
"Michigan",46,2020-03-14,"step2",0.29
"Michigan",47,2020-03-15,"step2",0.29
"Michigan",48,2020-03-16,"step2",0.29
"Michigan",48,2020-03-16,"step3",0.27
"Michigan",49,2020-03-17,"step3",0.27
"Michigan",50,2020-03-18,"step3",0.27
"Michigan",50,2020-03-18,"step4",0.25
"Michigan",51,2020-03-19,"step4",0.25
"Michigan",52,2020-03-20,"step4",0.25
"Michigan",52,2020-03-20,"step5",0.23
"Michigan",53,2020-03-21,"step5",0.23
"Michigan",54,2020-03-22,"step5",0.23
"Michigan",54,2020-03-22,"step6",0.21
"Michigan",55,2020-03-23,"step6",0.21
"Michigan",56,2020-03-24,"step6",0.21
"Michigan",56,2020-03-24,"step7",0.19
"Michigan",57,2020-03-25,"step7",0.19
"Michigan",58,2020-03-26,"step7",0.19
"Michigan",58,2020-03-26,"step8",0.17
"Michigan",59,2020-03-27,"step8",0.17
"Michigan",60,2020-03-28,"step8",0.17
"Michigan",60,2020-03-28,"step9",0.15
"Michigan",61,2020-03-29,"step9",0.15
"Michigan",62,2020-03-30,"step9",0.15
"Michigan",62,2020-03-30,"step10",0.14
"Michigan",63,2020-03-31,"step10",0.14
"Michigan",64,2020-04-01,"step10",0.14
"Michigan",64,2020-04-01,"step11",0.12
"Michigan",65,2020-04-02,"step11",0.12
"Michigan",66,2020-04-03,"step11",0.12
"Michigan",66,2020-04-03,"step12",0.11
"Michigan",67,2020-04-04,"step12",0.11
"Michigan",68,2020-04-05,"step12",0.11
"Michigan",68,2020-04-05,"step13",0.1
"Michigan",69,2020-04-06,"step13",0.1
"Michigan",70,2020-04-07,"step13",0.1
"Michigan",70,2020-04-07,"step14",0.1
"Michigan",71,2020-04-08,"step14",0.1
"Michigan",72,2020-04-09,"step14",0.1
"Michigan",72,2020-04-09,"step15",0.09
"Michigan",73,2020-04-10,"step15",0.09
"Michigan",74,2020-04-11,"step15",0.09
"Michigan",74,2020-04-11,"step16",0.09
"Michigan",75,2020-04-12,"step16",0.09
"Michigan",76,2020-04-13,"step16",0.09
"Michigan",76,2020-04-13,"step17",0.09
"Michigan",77,2020-04-14,"step17",0.09
"Michigan",78,2020-04-15,"step17",0.09
"Michigan",78,2020-04-15,"step18",0.09
"Michigan",79,2020-04-16,"step18",0.09
"Michigan",80,2020-04-17,"step18",0.09
"Michigan",80,2020-04-17,"step19",0.09
"Michigan",81,2020-04-18,"step19",0.09
"Michigan",82,2020-04-19,"step19",0.09
"Michigan",82,2020-04-19,"step20",0.1
"Michigan",83,2020-04-20,"step20",0.1
"Michigan",84,2020-04-21,"step20",0.1
"Michigan",84,2020-04-21,"step21",0.1
"Michigan",85,2020-04-22,"step21",0.1
"Michigan",86,2020-04-23,"step21",0.1
"Michigan",86,2020-04-23,"step22",0.1
