"region","time","date","period","b1"
"Middlesex County, MA",0,2020-02-27,"baseline",0.62
"Middlesex County, MA",1,2020-02-28,"baseline",0.62
"Middlesex County, MA",2,2020-02-29,"baseline",0.62
"Middlesex County, MA",3,2020-03-01,"baseline",0.62
"Middlesex County, MA",4,2020-03-02,"baseline",0.62
"Middlesex County, MA",5,2020-03-03,"baseline",0.62
"Middlesex County, MA",6,2020-03-04,"baseline",0.62
"Middlesex County, MA",7,2020-03-05,"baseline",0.62
"Middlesex County, MA",8,2020-03-06,"baseline",0.62
"Middlesex County, MA",9,2020-03-07,"baseline",0.62
"Middlesex County, MA",10,2020-03-08,"baseline",0.62
"Middlesex County, MA",10,2020-03-08,"step1",0.51
"Middlesex County, MA",11,2020-03-09,"step1",0.51
"Middlesex County, MA",12,2020-03-10,"step1",0.51
"Middlesex County, MA",12,2020-03-10,"step2",0.47
"Middlesex County, MA",13,2020-03-11,"step2",0.47
"Middlesex County, MA",14,2020-03-12,"step2",0.47
"Middlesex County, MA",14,2020-03-12,"step3",0.42
"Middlesex County, MA",15,2020-03-13,"step3",0.42
"Middlesex County, MA",16,2020-03-14,"step3",0.42
"Middlesex County, MA",16,2020-03-14,"step4",0.39
"Middlesex County, MA",17,2020-03-15,"step4",0.39
"Middlesex County, MA",18,2020-03-16,"step4",0.39
"Middlesex County, MA",18,2020-03-16,"step5",0.35
"Middlesex County, MA",19,2020-03-17,"step5",0.35
"Middlesex County, MA",20,2020-03-18,"step5",0.35
"Middlesex County, MA",20,2020-03-18,"step6",0.32
"Middlesex County, MA",21,2020-03-19,"step6",0.32
"Middlesex County, MA",22,2020-03-20,"step6",0.32
"Middlesex County, MA",22,2020-03-20,"step7",0.29
"Middlesex County, MA",23,2020-03-21,"step7",0.29
"Middlesex County, MA",24,2020-03-22,"step7",0.29
"Middlesex County, MA",24,2020-03-22,"step8",0.27
"Middlesex County, MA",25,2020-03-23,"step8",0.27
"Middlesex County, MA",26,2020-03-24,"step8",0.27
"Middlesex County, MA",26,2020-03-24,"step9",0.25
"Middlesex County, MA",27,2020-03-25,"step9",0.25
"Middlesex County, MA",28,2020-03-26,"step9",0.25
"Middlesex County, MA",28,2020-03-26,"step10",0.24
"Middlesex County, MA",29,2020-03-27,"step10",0.24
"Middlesex County, MA",30,2020-03-28,"step10",0.24
"Middlesex County, MA",30,2020-03-28,"step11",0.23
"Middlesex County, MA",31,2020-03-29,"step11",0.23
"Middlesex County, MA",32,2020-03-30,"step11",0.23
"Middlesex County, MA",32,2020-03-30,"step12",0.22
"Middlesex County, MA",33,2020-03-31,"step12",0.22
"Middlesex County, MA",34,2020-04-01,"step12",0.22
"Middlesex County, MA",34,2020-04-01,"step13",0.21
"Middlesex County, MA",35,2020-04-02,"step13",0.21
"Middlesex County, MA",36,2020-04-03,"step13",0.21
"Middlesex County, MA",36,2020-04-03,"step14",0.19
"Middlesex County, MA",37,2020-04-04,"step14",0.19
"Middlesex County, MA",38,2020-04-05,"step14",0.19
"Middlesex County, MA",38,2020-04-05,"step15",0.18
"Middlesex County, MA",39,2020-04-06,"step15",0.18
"Middlesex County, MA",40,2020-04-07,"step15",0.18
"Middlesex County, MA",40,2020-04-07,"step16",0.17
"Middlesex County, MA",41,2020-04-08,"step16",0.17
"Middlesex County, MA",42,2020-04-09,"step16",0.17
"Middlesex County, MA",42,2020-04-09,"step17",0.16
"Middlesex County, MA",43,2020-04-10,"step17",0.16
"Middlesex County, MA",44,2020-04-11,"step17",0.16
"Middlesex County, MA",42,2020-04-09,"step18",0.15
"Middlesex County, MA",43,2020-04-10,"step18",0.15
"Middlesex County, MA",44,2020-04-11,"step18",0.15
"Middlesex County, MA",45,2020-04-12,"step18",0.15
"Middlesex County, MA",46,2020-04-13,"step18",0.15
"Middlesex County, MA",44,2020-04-11,"step19",0.135
"Middlesex County, MA",45,2020-04-12,"step19",0.135
"Middlesex County, MA",46,2020-04-13,"step19",0.135
"Middlesex County, MA",47,2020-04-14,"step19",0.135
"Middlesex County, MA",48,2020-04-15,"step19",0.135
"Middlesex County, MA",46,2020-04-13,"step20",0.125
"Middlesex County, MA",47,2020-04-14,"step20",0.125
"Middlesex County, MA",48,2020-04-15,"step20",0.125
"Middlesex County, MA",48,2020-04-15,"step22",0
"Middlesex County, MA",49,2020-04-16,"step22",0
"Middlesex County, MA",50,2020-04-17,"step22",0
"Middlesex County, MA",50,2020-04-17,"step23",0
"Middlesex County, MA",51,2020-04-18,"step23",0
"Middlesex County, MA",52,2020-04-19,"step23",0
"Middlesex County, MA",52,2020-04-19,"step24",0
"Middlesex County, MA",53,2020-04-20,"step24",0
"Middlesex County, MA",54,2020-04-21,"step24",0
"Middlesex County, MA",54,2020-04-21,"step25",0
"Middlesex County, MA",55,2020-04-22,"step25",0
"Middlesex County, MA",56,2020-04-23,"step25",0
"Middlesex County, MA",56,2020-04-23,"step26",0
"Middlesex County, MA",57,2020-04-24,"step26",0
"Middlesex County, MA",58,2020-04-25,"step26",0
"Middlesex County, MA",58,2020-04-25,"step27",0
"Middlesex County, MA",59,2020-04-26,"step27",0
"Middlesex County, MA",60,2020-04-27,"step27",0
"Middlesex County, MA",60,2020-04-27,"step28",0
"Middlesex County, MA",61,2020-04-28,"step28",0
"Middlesex County, MA",62,2020-04-29,"step28",0
"Middlesex County, MA",62,2020-04-29,"step29",0
"Middlesex County, MA",63,2020-04-30,"step29",0
"Middlesex County, MA",64,2020-05-01,"step29",0
"Middlesex County, MA",64,2020-05-01,"step30",0.3
"Middlesex County, MA",65,2020-05-02,"step30",0.3
"Middlesex County, MA",66,2020-05-03,"step30",0.3
"Middlesex County, MA",66,2020-05-03,"step31",0.3
"Middlesex County, MA",67,2020-05-04,"step31",0.3
"Middlesex County, MA",68,2020-05-05,"step31",0.3
"Middlesex County, MA",68,2020-05-05,"step33",0.38
"Middlesex County, MA",69,2020-05-06,"step33",0.38
"Middlesex County, MA",70,2020-05-07,"step33",0.38
"Middlesex County, MA",70,2020-05-07,"step35",0.32
"Middlesex County, MA",71,2020-05-08,"step35",0.32
"Middlesex County, MA",71,2020-05-08,"step37",0.3
"Middlesex County, MA",72,2020-05-09,"step37",0.3
