"region","time","date","period","b1"
"Mohave County, AZ",0,2020-03-15,"baseline",0.02
"Mohave County, AZ",1,2020-03-16,"baseline",0.02
"Mohave County, AZ",2,2020-03-17,"baseline",0.02
"Mohave County, AZ",3,2020-03-18,"baseline",0.02
"Mohave County, AZ",4,2020-03-19,"baseline",0.02
"Mohave County, AZ",5,2020-03-20,"baseline",0.02
"Mohave County, AZ",5,2020-03-20,"stepNA",0.217072269424742
"Mohave County, AZ",6,2020-03-21,"stepNA",0.217072269424742
"Mohave County, AZ",7,2020-03-22,"stepNA",0.217072269424742
"Mohave County, AZ",8,2020-03-23,"stepNA",0.217072269424742
"Mohave County, AZ",9,2020-03-24,"stepNA",0.217072269424742
"Mohave County, AZ",10,2020-03-25,"stepNA",0.217072269424742
"Mohave County, AZ",11,2020-03-26,"stepNA",0.217072269424742
"Mohave County, AZ",12,2020-03-27,"stepNA",0.217072269424742
"Mohave County, AZ",13,2020-03-28,"stepNA",0.217072269424742
"Mohave County, AZ",14,2020-03-29,"stepNA",0.217072269424742
"Mohave County, AZ",15,2020-03-30,"stepNA",0.217072269424742
"Mohave County, AZ",16,2020-03-31,"stepNA",0.217072269424742
"Mohave County, AZ",17,2020-04-01,"stepNA",0.217072269424742
"Mohave County, AZ",18,2020-04-02,"stepNA",0.217072269424742
"Mohave County, AZ",19,2020-04-03,"stepNA",0.217072269424742
"Mohave County, AZ",20,2020-04-04,"stepNA",0.217072269424742
"Mohave County, AZ",21,2020-04-05,"stepNA",0.217072269424742
"Mohave County, AZ",22,2020-04-06,"stepNA",0.217072269424742
"Mohave County, AZ",23,2020-04-07,"stepNA",0.217072269424742
"Mohave County, AZ",24,2020-04-08,"stepNA",0.217072269424742
"Mohave County, AZ",25,2020-04-09,"stepNA",0.217072269424742
"Mohave County, AZ",26,2020-04-10,"stepNA",0.217072269424742
"Mohave County, AZ",27,2020-04-11,"stepNA",0.217072269424742
"Mohave County, AZ",28,2020-04-12,"stepNA",0.217072269424742
"Mohave County, AZ",29,2020-04-13,"stepNA",0.217072269424742
"Mohave County, AZ",30,2020-04-14,"stepNA",0.217072269424742
"Mohave County, AZ",31,2020-04-15,"stepNA",0.217072269424742
"Mohave County, AZ",32,2020-04-16,"stepNA",0.217072269424742
"Mohave County, AZ",33,2020-04-17,"stepNA",0.217072269424742
"Mohave County, AZ",34,2020-04-18,"stepNA",0.217072269424742
"Mohave County, AZ",35,2020-04-19,"stepNA",0.217072269424742
"Mohave County, AZ",36,2020-04-20,"stepNA",0.217072269424742
