"region","time","date","period","b1"
"Navajo County, AZ",0,2020-03-03,"baseline",0.27
"Navajo County, AZ",1,2020-03-04,"baseline",0.27
"Navajo County, AZ",2,2020-03-05,"baseline",0.27
"Navajo County, AZ",3,2020-03-06,"baseline",0.27
"Navajo County, AZ",4,2020-03-07,"baseline",0.27
"Navajo County, AZ",5,2020-03-08,"baseline",0.27
"Navajo County, AZ",6,2020-03-09,"baseline",0.27
"Navajo County, AZ",7,2020-03-10,"baseline",0.27
"Navajo County, AZ",8,2020-03-11,"baseline",0.27
"Navajo County, AZ",9,2020-03-12,"baseline",0.27
"Navajo County, AZ",10,2020-03-13,"baseline",0.27
"Navajo County, AZ",11,2020-03-14,"baseline",0.27
"Navajo County, AZ",12,2020-03-15,"baseline",0.27
"Navajo County, AZ",13,2020-03-16,"baseline",0.27
"Navajo County, AZ",14,2020-03-17,"baseline",0.27
"Navajo County, AZ",15,2020-03-18,"baseline",0.27
"Navajo County, AZ",16,2020-03-19,"baseline",0.27
"Navajo County, AZ",16,2020-03-19,"step1",0.1
"Navajo County, AZ",17,2020-03-20,"step1",0.1
"Navajo County, AZ",18,2020-03-21,"step1",0.1
"Navajo County, AZ",18,2020-03-21,"step2",0.1
"Navajo County, AZ",19,2020-03-22,"step2",0.1
"Navajo County, AZ",20,2020-03-23,"step2",0.1
"Navajo County, AZ",20,2020-03-23,"step3",0.1
"Navajo County, AZ",21,2020-03-24,"step3",0.1
"Navajo County, AZ",22,2020-03-25,"step3",0.1
"Navajo County, AZ",22,2020-03-25,"step4",0.1
"Navajo County, AZ",23,2020-03-26,"step4",0.1
"Navajo County, AZ",24,2020-03-27,"step4",0.1
"Navajo County, AZ",24,2020-03-27,"step5",0.1
"Navajo County, AZ",25,2020-03-28,"step5",0.1
"Navajo County, AZ",26,2020-03-29,"step5",0.1
"Navajo County, AZ",26,2020-03-29,"step6",0.1
"Navajo County, AZ",27,2020-03-30,"step6",0.1
"Navajo County, AZ",28,2020-03-31,"step6",0.1
"Navajo County, AZ",28,2020-03-31,"step7",0.09
"Navajo County, AZ",29,2020-04-01,"step7",0.09
"Navajo County, AZ",30,2020-04-02,"step7",0.09
"Navajo County, AZ",30,2020-04-02,"step8",0.1
"Navajo County, AZ",31,2020-04-03,"step8",0.1
"Navajo County, AZ",32,2020-04-04,"step8",0.1
"Navajo County, AZ",32,2020-04-04,"step9",0.13
"Navajo County, AZ",33,2020-04-05,"step9",0.13
"Navajo County, AZ",34,2020-04-06,"step9",0.13
"Navajo County, AZ",34,2020-04-06,"step10",0.14
"Navajo County, AZ",35,2020-04-07,"step10",0.14
"Navajo County, AZ",36,2020-04-08,"step10",0.14
"Navajo County, AZ",36,2020-04-08,"step11",0.14
"Navajo County, AZ",37,2020-04-09,"step11",0.14
"Navajo County, AZ",38,2020-04-10,"step11",0.14
"Navajo County, AZ",37,2020-04-09,"step12",0.135
"Navajo County, AZ",38,2020-04-10,"step12",0.135
"Navajo County, AZ",39,2020-04-11,"step12",0.135
"Navajo County, AZ",40,2020-04-12,"step12",0.135
"Navajo County, AZ",39,2020-04-11,"step13",0.135
"Navajo County, AZ",40,2020-04-12,"step13",0.135
"Navajo County, AZ",41,2020-04-13,"step13",0.135
"Navajo County, AZ",42,2020-04-14,"step13",0.135
"Navajo County, AZ",41,2020-04-13,"step14",0.145
"Navajo County, AZ",42,2020-04-14,"step14",0.145
"Navajo County, AZ",43,2020-04-15,"step14",0.145
"Navajo County, AZ",43,2020-04-15,"step16",0.08
"Navajo County, AZ",44,2020-04-16,"step16",0.08
"Navajo County, AZ",45,2020-04-17,"step16",0.08
"Navajo County, AZ",45,2020-04-17,"step17",0.15
"Navajo County, AZ",46,2020-04-18,"step17",0.15
"Navajo County, AZ",47,2020-04-19,"step17",0.15
"Navajo County, AZ",47,2020-04-19,"step18",0.17
"Navajo County, AZ",48,2020-04-20,"step18",0.17
"Navajo County, AZ",49,2020-04-21,"step18",0.17
"Navajo County, AZ",49,2020-04-21,"step19",0.18
"Navajo County, AZ",50,2020-04-22,"step19",0.18
"Navajo County, AZ",51,2020-04-23,"step19",0.18
"Navajo County, AZ",51,2020-04-23,"step20",0.19
"Navajo County, AZ",52,2020-04-24,"step20",0.19
"Navajo County, AZ",53,2020-04-25,"step20",0.19
"Navajo County, AZ",53,2020-04-25,"step21",0.18
"Navajo County, AZ",54,2020-04-26,"step21",0.18
"Navajo County, AZ",55,2020-04-27,"step21",0.18
"Navajo County, AZ",55,2020-04-27,"step22",0.16
"Navajo County, AZ",56,2020-04-28,"step22",0.16
"Navajo County, AZ",57,2020-04-29,"step22",0.16
"Navajo County, AZ",57,2020-04-29,"step23",0.14
"Navajo County, AZ",58,2020-04-30,"step23",0.14
"Navajo County, AZ",59,2020-05-01,"step23",0.14
"Navajo County, AZ",59,2020-05-01,"step24",0.13
"Navajo County, AZ",60,2020-05-02,"step24",0.13
"Navajo County, AZ",61,2020-05-03,"step24",0.13
"Navajo County, AZ",61,2020-05-03,"step25",0.11
"Navajo County, AZ",62,2020-05-04,"step25",0.11
"Navajo County, AZ",63,2020-05-05,"step25",0.11
"Navajo County, AZ",63,2020-05-05,"step27",0.12
"Navajo County, AZ",64,2020-05-06,"step27",0.12
"Navajo County, AZ",65,2020-05-07,"step27",0.12
"Navajo County, AZ",65,2020-05-07,"step29",0.11
"Navajo County, AZ",66,2020-05-08,"step29",0.11
"Navajo County, AZ",66,2020-05-08,"step31",0.1
"Navajo County, AZ",67,2020-05-09,"step31",0.1
"Navajo County, AZ",68,2020-05-10,"step31",0.1
"Navajo County, AZ",68,2020-05-10,"step33",0.09
"Navajo County, AZ",69,2020-05-11,"step33",0.09
"Navajo County, AZ",70,2020-05-12,"step33",0.09
"Navajo County, AZ",70,2020-05-12,"step36",0.1
"Navajo County, AZ",70,2020-05-12,"step37",0.1
"Navajo County, AZ",71,2020-05-13,"step37",0.1
"Navajo County, AZ",72,2020-05-14,"step37",0.1
"Navajo County, AZ",72,2020-05-14,"step38",0.11
"Navajo County, AZ",73,2020-05-15,"step38",0.11
"Navajo County, AZ",74,2020-05-16,"step38",0.11
"Navajo County, AZ",74,2020-05-16,"step39",0.11
"Navajo County, AZ",75,2020-05-17,"step39",0.11
"Navajo County, AZ",76,2020-05-18,"step39",0.11
"Navajo County, AZ",76,2020-05-18,"step40",0.12
"Navajo County, AZ",77,2020-05-19,"step40",0.12
"Navajo County, AZ",78,2020-05-20,"step40",0.12
"Navajo County, AZ",78,2020-05-20,"step41",0.13
"Navajo County, AZ",79,2020-05-21,"step41",0.13
"Navajo County, AZ",80,2020-05-22,"step41",0.13
"Navajo County, AZ",80,2020-05-22,"step42",0.12
"Navajo County, AZ",81,2020-05-23,"step42",0.12
"Navajo County, AZ",82,2020-05-24,"step42",0.12
"Navajo County, AZ",82,2020-05-24,"step43",0.13
"Navajo County, AZ",83,2020-05-25,"step43",0.13
"Navajo County, AZ",84,2020-05-26,"step43",0.13
"Navajo County, AZ",84,2020-05-26,"step44",0.13
"Navajo County, AZ",85,2020-05-27,"step44",0.13
"Navajo County, AZ",86,2020-05-28,"step44",0.13
"Navajo County, AZ",86,2020-05-28,"step45",0.13
"Navajo County, AZ",87,2020-05-29,"step45",0.13
"Navajo County, AZ",88,2020-05-30,"step45",0.13
"Navajo County, AZ",88,2020-05-30,"step46",0.13
"Navajo County, AZ",89,2020-05-31,"step46",0.13
"Navajo County, AZ",90,2020-06-01,"step46",0.13
"Navajo County, AZ",90,2020-06-01,"step47",0.1
"Navajo County, AZ",91,2020-06-02,"step47",0.1
"Navajo County, AZ",92,2020-06-03,"step47",0.1
