"region","time","date","period","b1"
"New Jersey",0,2020-02-14,"baseline",0.59
"New Jersey",1,2020-02-15,"baseline",0.59
"New Jersey",2,2020-02-16,"baseline",0.59
"New Jersey",3,2020-02-17,"baseline",0.59
"New Jersey",4,2020-02-18,"baseline",0.59
"New Jersey",5,2020-02-19,"baseline",0.59
"New Jersey",6,2020-02-20,"baseline",0.59
"New Jersey",7,2020-02-21,"baseline",0.59
"New Jersey",8,2020-02-22,"baseline",0.59
"New Jersey",9,2020-02-23,"baseline",0.59
"New Jersey",10,2020-02-24,"baseline",0.59
"New Jersey",11,2020-02-25,"baseline",0.59
"New Jersey",12,2020-02-26,"baseline",0.59
"New Jersey",13,2020-02-27,"baseline",0.59
"New Jersey",14,2020-02-28,"baseline",0.59
"New Jersey",15,2020-02-29,"baseline",0.59
"New Jersey",16,2020-03-01,"baseline",0.59
"New Jersey",17,2020-03-02,"baseline",0.59
"New Jersey",18,2020-03-03,"baseline",0.59
"New Jersey",19,2020-03-04,"baseline",0.59
"New Jersey",20,2020-03-05,"baseline",0.59
"New Jersey",21,2020-03-06,"baseline",0.59
"New Jersey",22,2020-03-07,"baseline",0.59
"New Jersey",22,2020-03-07,"step1",0.51
"New Jersey",23,2020-03-08,"step1",0.51
"New Jersey",24,2020-03-09,"step1",0.51
"New Jersey",24,2020-03-09,"step2",0.47
"New Jersey",25,2020-03-10,"step2",0.47
"New Jersey",26,2020-03-11,"step2",0.47
"New Jersey",26,2020-03-11,"step3",0.44
"New Jersey",27,2020-03-12,"step3",0.44
"New Jersey",28,2020-03-13,"step3",0.44
"New Jersey",28,2020-03-13,"step4",0.41
"New Jersey",29,2020-03-14,"step4",0.41
"New Jersey",30,2020-03-15,"step4",0.41
"New Jersey",30,2020-03-15,"step5",0.38
"New Jersey",31,2020-03-16,"step5",0.38
"New Jersey",32,2020-03-17,"step5",0.38
"New Jersey",32,2020-03-17,"step6",0.35
"New Jersey",33,2020-03-18,"step6",0.35
"New Jersey",34,2020-03-19,"step6",0.35
"New Jersey",34,2020-03-19,"step7",0.32
"New Jersey",35,2020-03-20,"step7",0.32
"New Jersey",36,2020-03-21,"step7",0.32
"New Jersey",36,2020-03-21,"step8",0.29
"New Jersey",37,2020-03-22,"step8",0.29
"New Jersey",38,2020-03-23,"step8",0.29
"New Jersey",38,2020-03-23,"step9",0.27
"New Jersey",39,2020-03-24,"step9",0.27
"New Jersey",40,2020-03-25,"step9",0.27
"New Jersey",40,2020-03-25,"step10",0.24
"New Jersey",41,2020-03-26,"step10",0.24
"New Jersey",42,2020-03-27,"step10",0.24
"New Jersey",42,2020-03-27,"step11",0.22
"New Jersey",43,2020-03-28,"step11",0.22
"New Jersey",44,2020-03-29,"step11",0.22
"New Jersey",44,2020-03-29,"step12",0.19
"New Jersey",45,2020-03-30,"step12",0.19
"New Jersey",46,2020-03-31,"step12",0.19
"New Jersey",46,2020-03-31,"step13",0.17
"New Jersey",47,2020-04-01,"step13",0.17
"New Jersey",48,2020-04-02,"step13",0.17
"New Jersey",48,2020-04-02,"step14",0.14
"New Jersey",49,2020-04-03,"step14",0.14
"New Jersey",50,2020-04-04,"step14",0.14
"New Jersey",50,2020-04-04,"step15",0.13
"New Jersey",51,2020-04-05,"step15",0.13
"New Jersey",52,2020-04-06,"step15",0.13
"New Jersey",52,2020-04-06,"step16",0.11
"New Jersey",53,2020-04-07,"step16",0.11
"New Jersey",54,2020-04-08,"step16",0.11
"New Jersey",54,2020-04-08,"step17",0.11
"New Jersey",55,2020-04-09,"step17",0.11
"New Jersey",56,2020-04-10,"step17",0.11
"New Jersey",56,2020-04-10,"step18",0.11
"New Jersey",57,2020-04-11,"step18",0.11
"New Jersey",58,2020-04-12,"step18",0.11
"New Jersey",58,2020-04-12,"step19",0.1
"New Jersey",59,2020-04-13,"step19",0.1
"New Jersey",60,2020-04-14,"step19",0.1
"New Jersey",60,2020-04-14,"step20",0.1
"New Jersey",61,2020-04-15,"step20",0.1
"New Jersey",62,2020-04-16,"step20",0.1
"New Jersey",62,2020-04-16,"step21",0.1
"New Jersey",63,2020-04-17,"step21",0.1
"New Jersey",64,2020-04-18,"step21",0.1
"New Jersey",64,2020-04-18,"step22",0.09
"New Jersey",65,2020-04-19,"step22",0.09
"New Jersey",66,2020-04-20,"step22",0.09
"New Jersey",66,2020-04-20,"step23",0.09
"New Jersey",67,2020-04-21,"step23",0.09
"New Jersey",68,2020-04-22,"step23",0.09
"New Jersey",68,2020-04-22,"step24",0.08
"New Jersey",69,2020-04-23,"step24",0.08
"New Jersey",70,2020-04-24,"step24",0.08
"New Jersey",70,2020-04-24,"step25",0.09
