"region","time","date","period","b1"
"New York",0,2020-02-21,"baseline",0.94
"New York",1,2020-02-22,"baseline",0.94
"New York",2,2020-02-23,"baseline",0.94
"New York",3,2020-02-24,"baseline",0.94
"New York",4,2020-02-25,"baseline",0.94
"New York",5,2020-02-26,"baseline",0.94
"New York",6,2020-02-27,"baseline",0.94
"New York",7,2020-02-28,"baseline",0.94
"New York",8,2020-02-29,"baseline",0.94
"New York",9,2020-03-01,"baseline",0.94
"New York",10,2020-03-02,"baseline",0.94
"New York",11,2020-03-03,"baseline",0.94
"New York",12,2020-03-04,"baseline",0.94
"New York",12,2020-03-04,"step1",0.95
"New York",13,2020-03-05,"step1",0.95
"New York",14,2020-03-06,"step1",0.95
"New York",14,2020-03-06,"step2",0.86
"New York",15,2020-03-07,"step2",0.86
"New York",16,2020-03-08,"step2",0.86
"New York",16,2020-03-08,"step3",0.79
"New York",17,2020-03-09,"step3",0.79
"New York",18,2020-03-10,"step3",0.79
"New York",18,2020-03-10,"step4",0.72
"New York",19,2020-03-11,"step4",0.72
"New York",20,2020-03-12,"step4",0.72
"New York",20,2020-03-12,"step5",0.66
"New York",21,2020-03-13,"step5",0.66
"New York",22,2020-03-14,"step5",0.66
"New York",22,2020-03-14,"step6",0.61
"New York",23,2020-03-15,"step6",0.61
"New York",24,2020-03-16,"step6",0.61
"New York",24,2020-03-16,"step7",0.55
"New York",25,2020-03-17,"step7",0.55
"New York",26,2020-03-18,"step7",0.55
"New York",26,2020-03-18,"step8",0.5
"New York",27,2020-03-19,"step8",0.5
"New York",28,2020-03-20,"step8",0.5
"New York",28,2020-03-20,"step9",0.45
"New York",29,2020-03-21,"step9",0.45
"New York",30,2020-03-22,"step9",0.45
"New York",30,2020-03-22,"step10",0.39
"New York",31,2020-03-23,"step10",0.39
"New York",32,2020-03-24,"step10",0.39
"New York",32,2020-03-24,"step11",0.33
"New York",33,2020-03-25,"step11",0.33
"New York",34,2020-03-26,"step11",0.33
"New York",34,2020-03-26,"step12",0.28
"New York",35,2020-03-27,"step12",0.28
"New York",36,2020-03-28,"step12",0.28
"New York",36,2020-03-28,"step13",0.23
"New York",37,2020-03-29,"step13",0.23
"New York",38,2020-03-30,"step13",0.23
"New York",38,2020-03-30,"step14",0.18
"New York",39,2020-03-31,"step14",0.18
"New York",40,2020-04-01,"step14",0.18
"New York",40,2020-04-01,"step15",0.14
"New York",41,2020-04-02,"step15",0.14
"New York",42,2020-04-03,"step15",0.14
"New York",42,2020-04-03,"step16",0.1
"New York",43,2020-04-04,"step16",0.1
"New York",44,2020-04-05,"step16",0.1
"New York",44,2020-04-05,"step17",0.07
"New York",45,2020-04-06,"step17",0.07
"New York",46,2020-04-07,"step17",0.07
"New York",46,2020-04-07,"step18",0.04
"New York",47,2020-04-08,"step18",0.04
"New York",48,2020-04-09,"step18",0.04
"New York",48,2020-04-09,"step19",0.02
"New York",49,2020-04-10,"step19",0.02
"New York",50,2020-04-11,"step19",0.02
"New York",50,2020-04-11,"step20",0.01
"New York",51,2020-04-12,"step20",0.01
"New York",52,2020-04-13,"step20",0.01
"New York",52,2020-04-13,"step21",0.01
"New York",53,2020-04-14,"step21",0.01
"New York",54,2020-04-15,"step21",0.01
"New York",54,2020-04-15,"step22",0.01
"New York",55,2020-04-16,"step22",0.01
"New York",56,2020-04-17,"step22",0.01
"New York",56,2020-04-17,"step23",0.03
"New York",57,2020-04-18,"step23",0.03
"New York",58,2020-04-19,"step23",0.03
"New York",58,2020-04-19,"step24",0.05
"New York",59,2020-04-20,"step24",0.05
"New York",60,2020-04-21,"step24",0.05
"New York",60,2020-04-21,"step25",0.07
"New York",61,2020-04-22,"step25",0.07
"New York",62,2020-04-23,"step25",0.07
"New York",62,2020-04-23,"step26",0.09
"New York",63,2020-04-24,"step26",0.09
"New York",64,2020-04-25,"step26",0.09
"New York",64,2020-04-25,"step27",0.1
"New York",65,2020-04-26,"step27",0.1
"New York",66,2020-04-27,"step27",0.1
"New York",66,2020-04-27,"step28",0.1
"New York",67,2020-04-28,"step28",0.1
"New York",68,2020-04-29,"step28",0.1
"New York",68,2020-04-29,"step29",0.11
"New York",69,2020-04-30,"step29",0.11
"New York",70,2020-05-01,"step29",0.11
"New York",70,2020-05-01,"step30",0.11
"New York",71,2020-05-02,"step30",0.11
"New York",72,2020-05-03,"step30",0.11
"New York",72,2020-05-03,"step31",0.11
"New York",73,2020-05-04,"step31",0.11
"New York",74,2020-05-05,"step31",0.11
"New York",74,2020-05-05,"step32",0.11
"New York",75,2020-05-06,"step32",0.11
"New York",76,2020-05-07,"step32",0.11
"New York",76,2020-05-07,"step33",0.11
"New York",77,2020-05-08,"step33",0.11
"New York",78,2020-05-09,"step33",0.11
"New York",78,2020-05-09,"step34",0.12
"New York",79,2020-05-10,"step34",0.12
"New York",80,2020-05-11,"step34",0.12
"New York",80,2020-05-11,"step35",0.12
"New York",81,2020-05-12,"step35",0.12
"New York",81,2020-05-12,"step36",0.11
"New York",81,2020-05-12,"step37",0.11
"New York",82,2020-05-13,"step37",0.11
"New York",83,2020-05-14,"step37",0.11
"New York",83,2020-05-14,"step38",0.12
"New York",84,2020-05-15,"step38",0.12
"New York",85,2020-05-16,"step38",0.12
"New York",85,2020-05-16,"step39",0.11
"New York",86,2020-05-17,"step39",0.11
"New York",87,2020-05-18,"step39",0.11
"New York",87,2020-05-18,"step40",0.11
"New York",88,2020-05-19,"step40",0.11
"New York",89,2020-05-20,"step40",0.11
"New York",89,2020-05-20,"step41",0.11
"New York",90,2020-05-21,"step41",0.11
"New York",91,2020-05-22,"step41",0.11
"New York",91,2020-05-22,"step42",0.11
"New York",92,2020-05-23,"step42",0.11
"New York",93,2020-05-24,"step42",0.11
"New York",93,2020-05-24,"step43",0.11
"New York",94,2020-05-25,"step43",0.11
"New York",95,2020-05-26,"step43",0.11
"New York",95,2020-05-26,"step44",0.11
"New York",96,2020-05-27,"step44",0.11
"New York",97,2020-05-28,"step44",0.11
"New York",97,2020-05-28,"step45",0.1
"New York",98,2020-05-29,"step45",0.1
"New York",99,2020-05-30,"step45",0.1
"New York",99,2020-05-30,"step46",0.1
"New York",100,2020-05-31,"step46",0.1
"New York",101,2020-06-01,"step46",0.1
