"region","time","date","period","b1"
"Nez Perce County, ID",0,2020-02-27,"baseline",0.16
"Nez Perce County, ID",1,2020-02-28,"baseline",0.16
"Nez Perce County, ID",2,2020-02-29,"baseline",0.16
"Nez Perce County, ID",3,2020-03-01,"baseline",0.16
"Nez Perce County, ID",4,2020-03-02,"baseline",0.16
"Nez Perce County, ID",5,2020-03-03,"baseline",0.16
"Nez Perce County, ID",6,2020-03-04,"baseline",0.16
"Nez Perce County, ID",7,2020-03-05,"baseline",0.16
"Nez Perce County, ID",8,2020-03-06,"baseline",0.16
"Nez Perce County, ID",9,2020-03-07,"baseline",0.16
"Nez Perce County, ID",10,2020-03-08,"baseline",0.16
"Nez Perce County, ID",11,2020-03-09,"baseline",0.16
"Nez Perce County, ID",12,2020-03-10,"baseline",0.16
"Nez Perce County, ID",13,2020-03-11,"baseline",0.16
"Nez Perce County, ID",14,2020-03-12,"baseline",0.16
"Nez Perce County, ID",15,2020-03-13,"baseline",0.16
"Nez Perce County, ID",16,2020-03-14,"baseline",0.16
"Nez Perce County, ID",17,2020-03-15,"baseline",0.16
"Nez Perce County, ID",18,2020-03-16,"baseline",0.16
"Nez Perce County, ID",19,2020-03-17,"baseline",0.16
"Nez Perce County, ID",20,2020-03-18,"baseline",0.16
"Nez Perce County, ID",21,2020-03-19,"baseline",0.16
"Nez Perce County, ID",22,2020-03-20,"baseline",0.16
"Nez Perce County, ID",22,2020-03-20,"stepNA",0.146160555948245
"Nez Perce County, ID",23,2020-03-21,"stepNA",0.146160555948245
"Nez Perce County, ID",24,2020-03-22,"stepNA",0.146160555948245
"Nez Perce County, ID",25,2020-03-23,"stepNA",0.146160555948245
"Nez Perce County, ID",26,2020-03-24,"stepNA",0.146160555948245
"Nez Perce County, ID",27,2020-03-25,"stepNA",0.146160555948245
"Nez Perce County, ID",28,2020-03-26,"stepNA",0.146160555948245
"Nez Perce County, ID",29,2020-03-27,"stepNA",0.146160555948245
"Nez Perce County, ID",30,2020-03-28,"stepNA",0.146160555948245
"Nez Perce County, ID",31,2020-03-29,"stepNA",0.146160555948245
"Nez Perce County, ID",32,2020-03-30,"stepNA",0.146160555948245
"Nez Perce County, ID",33,2020-03-31,"stepNA",0.146160555948245
"Nez Perce County, ID",34,2020-04-01,"stepNA",0.146160555948245
"Nez Perce County, ID",35,2020-04-02,"stepNA",0.146160555948245
"Nez Perce County, ID",36,2020-04-03,"stepNA",0.146160555948245
"Nez Perce County, ID",37,2020-04-04,"stepNA",0.146160555948245
"Nez Perce County, ID",38,2020-04-05,"stepNA",0.146160555948245
"Nez Perce County, ID",39,2020-04-06,"stepNA",0.146160555948245
"Nez Perce County, ID",40,2020-04-07,"stepNA",0.146160555948245
"Nez Perce County, ID",41,2020-04-08,"stepNA",0.146160555948245
"Nez Perce County, ID",42,2020-04-09,"stepNA",0.146160555948245
"Nez Perce County, ID",43,2020-04-10,"stepNA",0.146160555948245
