"region","time","date","period","b1"
"North Dakota",0,2020-02-17,"baseline",0.24
"North Dakota",1,2020-02-18,"baseline",0.24
"North Dakota",2,2020-02-19,"baseline",0.24
"North Dakota",3,2020-02-20,"baseline",0.24
"North Dakota",4,2020-02-21,"baseline",0.24
"North Dakota",5,2020-02-22,"baseline",0.24
"North Dakota",6,2020-02-23,"baseline",0.24
"North Dakota",7,2020-02-24,"baseline",0.24
"North Dakota",8,2020-02-25,"baseline",0.24
"North Dakota",9,2020-02-26,"baseline",0.24
"North Dakota",10,2020-02-27,"baseline",0.24
"North Dakota",11,2020-02-28,"baseline",0.24
"North Dakota",12,2020-02-29,"baseline",0.24
"North Dakota",13,2020-03-01,"baseline",0.24
"North Dakota",14,2020-03-02,"baseline",0.24
"North Dakota",15,2020-03-03,"baseline",0.24
"North Dakota",16,2020-03-04,"baseline",0.24
"North Dakota",17,2020-03-05,"baseline",0.24
"North Dakota",18,2020-03-06,"baseline",0.24
"North Dakota",19,2020-03-07,"baseline",0.24
"North Dakota",20,2020-03-08,"baseline",0.24
"North Dakota",21,2020-03-09,"baseline",0.24
"North Dakota",22,2020-03-10,"baseline",0.24
"North Dakota",23,2020-03-11,"baseline",0.24
"North Dakota",24,2020-03-12,"baseline",0.24
"North Dakota",25,2020-03-13,"baseline",0.24
"North Dakota",26,2020-03-14,"baseline",0.24
"North Dakota",26,2020-03-14,"step1",0
"North Dakota",27,2020-03-15,"step1",0
"North Dakota",28,2020-03-16,"step1",0
"North Dakota",28,2020-03-16,"step2",0.1
"North Dakota",29,2020-03-17,"step2",0.1
"North Dakota",30,2020-03-18,"step2",0.1
"North Dakota",30,2020-03-18,"step3",0.27
"North Dakota",31,2020-03-19,"step3",0.27
"North Dakota",32,2020-03-20,"step3",0.27
"North Dakota",32,2020-03-20,"step4",0.4
"North Dakota",33,2020-03-21,"step4",0.4
"North Dakota",34,2020-03-22,"step4",0.4
"North Dakota",34,2020-03-22,"step5",0.43
"North Dakota",35,2020-03-23,"step5",0.43
"North Dakota",36,2020-03-24,"step5",0.43
"North Dakota",36,2020-03-24,"step6",0.37
"North Dakota",37,2020-03-25,"step6",0.37
"North Dakota",38,2020-03-26,"step6",0.37
"North Dakota",38,2020-03-26,"step7",0.31
"North Dakota",39,2020-03-27,"step7",0.31
"North Dakota",40,2020-03-28,"step7",0.31
"North Dakota",40,2020-03-28,"step8",0.26
"North Dakota",41,2020-03-29,"step8",0.26
"North Dakota",42,2020-03-30,"step8",0.26
"North Dakota",42,2020-03-30,"step9",0.23
