"region","time","date","period","b1"
"Ocean County, NJ",0,2020-02-21,"baseline",0.4
"Ocean County, NJ",1,2020-02-22,"baseline",0.4
"Ocean County, NJ",2,2020-02-23,"baseline",0.4
"Ocean County, NJ",3,2020-02-24,"baseline",0.4
"Ocean County, NJ",4,2020-02-25,"baseline",0.4
"Ocean County, NJ",5,2020-02-26,"baseline",0.4
"Ocean County, NJ",6,2020-02-27,"baseline",0.4
"Ocean County, NJ",7,2020-02-28,"baseline",0.4
"Ocean County, NJ",8,2020-02-29,"baseline",0.4
"Ocean County, NJ",9,2020-03-01,"baseline",0.4
"Ocean County, NJ",10,2020-03-02,"baseline",0.4
"Ocean County, NJ",11,2020-03-03,"baseline",0.4
"Ocean County, NJ",12,2020-03-04,"baseline",0.4
"Ocean County, NJ",13,2020-03-05,"baseline",0.4
"Ocean County, NJ",14,2020-03-06,"baseline",0.4
"Ocean County, NJ",15,2020-03-07,"baseline",0.4
"Ocean County, NJ",16,2020-03-08,"baseline",0.4
"Ocean County, NJ",17,2020-03-09,"baseline",0.4
"Ocean County, NJ",18,2020-03-10,"baseline",0.4
"Ocean County, NJ",19,2020-03-11,"baseline",0.4
"Ocean County, NJ",20,2020-03-12,"baseline",0.4
"Ocean County, NJ",21,2020-03-13,"baseline",0.4
"Ocean County, NJ",22,2020-03-14,"baseline",0.4
"Ocean County, NJ",23,2020-03-15,"baseline",0.4
"Ocean County, NJ",23,2020-03-15,"step1",0.21
"Ocean County, NJ",24,2020-03-16,"step1",0.21
"Ocean County, NJ",25,2020-03-17,"step1",0.21
"Ocean County, NJ",25,2020-03-17,"step2",0.21
"Ocean County, NJ",26,2020-03-18,"step2",0.21
"Ocean County, NJ",27,2020-03-19,"step2",0.21
"Ocean County, NJ",27,2020-03-19,"step3",0.2
"Ocean County, NJ",28,2020-03-20,"step3",0.2
"Ocean County, NJ",29,2020-03-21,"step3",0.2
"Ocean County, NJ",29,2020-03-21,"step4",0.19
"Ocean County, NJ",30,2020-03-22,"step4",0.19
"Ocean County, NJ",31,2020-03-23,"step4",0.19
"Ocean County, NJ",31,2020-03-23,"step5",0.18
"Ocean County, NJ",32,2020-03-24,"step5",0.18
"Ocean County, NJ",33,2020-03-25,"step5",0.18
"Ocean County, NJ",33,2020-03-25,"step6",0.16
"Ocean County, NJ",34,2020-03-26,"step6",0.16
"Ocean County, NJ",35,2020-03-27,"step6",0.16
"Ocean County, NJ",35,2020-03-27,"step7",0.15
"Ocean County, NJ",36,2020-03-28,"step7",0.15
"Ocean County, NJ",37,2020-03-29,"step7",0.15
