"region","time","date","period","b1"
"Oregon",0,2020-02-10,"baseline",0.38
"Oregon",1,2020-02-11,"baseline",0.38
"Oregon",2,2020-02-12,"baseline",0.38
"Oregon",3,2020-02-13,"baseline",0.38
"Oregon",4,2020-02-14,"baseline",0.38
"Oregon",5,2020-02-15,"baseline",0.38
"Oregon",6,2020-02-16,"baseline",0.38
"Oregon",7,2020-02-17,"baseline",0.38
"Oregon",8,2020-02-18,"baseline",0.38
"Oregon",9,2020-02-19,"baseline",0.38
"Oregon",10,2020-02-20,"baseline",0.38
"Oregon",11,2020-02-21,"baseline",0.38
"Oregon",12,2020-02-22,"baseline",0.38
"Oregon",13,2020-02-23,"baseline",0.38
"Oregon",14,2020-02-24,"baseline",0.38
"Oregon",15,2020-02-25,"baseline",0.38
"Oregon",16,2020-02-26,"baseline",0.38
"Oregon",17,2020-02-27,"baseline",0.38
"Oregon",18,2020-02-28,"baseline",0.38
"Oregon",19,2020-02-29,"baseline",0.38
"Oregon",20,2020-03-01,"baseline",0.38
"Oregon",21,2020-03-02,"baseline",0.38
"Oregon",21,2020-03-02,"step1",0
"Oregon",22,2020-03-03,"step1",0
"Oregon",23,2020-03-04,"step1",0
"Oregon",23,2020-03-04,"step2",0.3
"Oregon",24,2020-03-05,"step2",0.3
"Oregon",25,2020-03-06,"step2",0.3
"Oregon",25,2020-03-06,"step3",0.42
"Oregon",26,2020-03-07,"step3",0.42
"Oregon",27,2020-03-08,"step3",0.42
"Oregon",27,2020-03-08,"step4",0.46
"Oregon",28,2020-03-09,"step4",0.46
"Oregon",29,2020-03-10,"step4",0.46
"Oregon",29,2020-03-10,"step5",0.41
"Oregon",30,2020-03-11,"step5",0.41
"Oregon",31,2020-03-12,"step5",0.41
"Oregon",31,2020-03-12,"step6",0.36
"Oregon",32,2020-03-13,"step6",0.36
"Oregon",33,2020-03-14,"step6",0.36
"Oregon",33,2020-03-14,"step7",0.32
"Oregon",34,2020-03-15,"step7",0.32
"Oregon",35,2020-03-16,"step7",0.32
"Oregon",35,2020-03-16,"step8",0.28
"Oregon",36,2020-03-17,"step8",0.28
"Oregon",37,2020-03-18,"step8",0.28
"Oregon",37,2020-03-18,"step9",0.26
"Oregon",38,2020-03-19,"step9",0.26
"Oregon",39,2020-03-20,"step9",0.26
"Oregon",39,2020-03-20,"step10",0.23
"Oregon",40,2020-03-21,"step10",0.23
"Oregon",41,2020-03-22,"step10",0.23
"Oregon",41,2020-03-22,"step11",0.2
"Oregon",42,2020-03-23,"step11",0.2
"Oregon",43,2020-03-24,"step11",0.2
"Oregon",43,2020-03-24,"step12",0.18
"Oregon",44,2020-03-25,"step12",0.18
"Oregon",45,2020-03-26,"step12",0.18
"Oregon",45,2020-03-26,"step13",0.15
"Oregon",46,2020-03-27,"step13",0.15
"Oregon",47,2020-03-28,"step13",0.15
"Oregon",47,2020-03-28,"step14",0.13
"Oregon",48,2020-03-29,"step14",0.13
"Oregon",49,2020-03-30,"step14",0.13
"Oregon",49,2020-03-30,"step15",0.12
"Oregon",50,2020-03-31,"step15",0.12
"Oregon",51,2020-04-01,"step15",0.12
"Oregon",51,2020-04-01,"step16",0.1
"Oregon",52,2020-04-02,"step16",0.1
"Oregon",53,2020-04-03,"step16",0.1
"Oregon",53,2020-04-03,"step17",0.08
"Oregon",54,2020-04-04,"step17",0.08
"Oregon",55,2020-04-05,"step17",0.08
"Oregon",55,2020-04-05,"step18",0.07
"Oregon",56,2020-04-06,"step18",0.07
"Oregon",57,2020-04-07,"step18",0.07
"Oregon",57,2020-04-07,"step19",0.07
"Oregon",58,2020-04-08,"step19",0.07
"Oregon",59,2020-04-09,"step19",0.07
"Oregon",59,2020-04-09,"step20",0.08
"Oregon",60,2020-04-10,"step20",0.08
"Oregon",61,2020-04-11,"step20",0.08
"Oregon",61,2020-04-11,"step21",0.08
"Oregon",62,2020-04-12,"step21",0.08
"Oregon",63,2020-04-13,"step21",0.08
"Oregon",63,2020-04-13,"step22",0.08
"Oregon",64,2020-04-14,"step22",0.08
"Oregon",65,2020-04-15,"step22",0.08
"Oregon",65,2020-04-15,"step23",0.09
"Oregon",66,2020-04-16,"step23",0.09
"Oregon",67,2020-04-17,"step23",0.09
"Oregon",67,2020-04-17,"step24",0.11
"Oregon",68,2020-04-18,"step24",0.11
"Oregon",69,2020-04-19,"step24",0.11
"Oregon",69,2020-04-19,"step25",0.13
"Oregon",70,2020-04-20,"step25",0.13
"Oregon",71,2020-04-21,"step25",0.13
"Oregon",71,2020-04-21,"step26",0.13
"Oregon",72,2020-04-22,"step26",0.13
"Oregon",73,2020-04-23,"step26",0.13
"Oregon",73,2020-04-23,"step27",0.14
"Oregon",74,2020-04-24,"step27",0.14
"Oregon",75,2020-04-25,"step27",0.14
"Oregon",75,2020-04-25,"step28",0.13
"Oregon",76,2020-04-26,"step28",0.13
"Oregon",77,2020-04-27,"step28",0.13
"Oregon",77,2020-04-27,"step29",0.13
"Oregon",78,2020-04-28,"step29",0.13
"Oregon",79,2020-04-29,"step29",0.13
"Oregon",79,2020-04-29,"step30",0.13
"Oregon",80,2020-04-30,"step30",0.13
"Oregon",81,2020-05-01,"step30",0.13
"Oregon",81,2020-05-01,"step31",0.07
"Oregon",82,2020-05-02,"step31",0.07
"Oregon",83,2020-05-03,"step31",0.07
"Oregon",83,2020-05-03,"step32",0.03
"Oregon",84,2020-05-04,"step32",0.03
"Oregon",85,2020-05-05,"step32",0.03
"Oregon",85,2020-05-05,"step33",0
"Oregon",86,2020-05-06,"step33",0
"Oregon",87,2020-05-07,"step33",0
"Oregon",87,2020-05-07,"step34",0
"Oregon",88,2020-05-08,"step34",0
"Oregon",89,2020-05-09,"step34",0
"Oregon",89,2020-05-09,"step35",0
"Oregon",90,2020-05-10,"step35",0
"Oregon",91,2020-05-11,"step35",0
"Oregon",91,2020-05-11,"step36",0
"Oregon",92,2020-05-12,"step36",0
"Oregon",92,2020-05-12,"step37",0
"Oregon",92,2020-05-12,"step38",0
"Oregon",93,2020-05-13,"step38",0
"Oregon",94,2020-05-14,"step38",0
"Oregon",94,2020-05-14,"step39",0
"Oregon",95,2020-05-15,"step39",0
"Oregon",96,2020-05-16,"step39",0
"Oregon",96,2020-05-16,"step40",0
"Oregon",97,2020-05-17,"step40",0
"Oregon",98,2020-05-18,"step40",0
"Oregon",98,2020-05-18,"step41",0.2
"Oregon",99,2020-05-19,"step41",0.2
"Oregon",100,2020-05-20,"step41",0.2
"Oregon",100,2020-05-20,"step42",0.37
"Oregon",101,2020-05-21,"step42",0.37
"Oregon",102,2020-05-22,"step42",0.37
"Oregon",102,2020-05-22,"step43",0.38
"Oregon",103,2020-05-23,"step43",0.38
"Oregon",104,2020-05-24,"step43",0.38
"Oregon",104,2020-05-24,"step44",0.39
"Oregon",105,2020-05-25,"step44",0.39
"Oregon",106,2020-05-26,"step44",0.39
"Oregon",106,2020-05-26,"step45",0.42
"Oregon",107,2020-05-27,"step45",0.42
"Oregon",108,2020-05-28,"step45",0.42
"Oregon",108,2020-05-28,"step46",0.45
"Oregon",109,2020-05-29,"step46",0.45
"Oregon",110,2020-05-30,"step46",0.45
"Oregon",110,2020-05-30,"step47",0.5
"Oregon",111,2020-05-31,"step47",0.5
"Oregon",112,2020-06-01,"step47",0.5
"Oregon",112,2020-06-01,"step48",0.55
"Oregon",113,2020-06-02,"step48",0.55
"Oregon",114,2020-06-03,"step48",0.55
