"region","time","date","period","b1"
"Philadelphia County, PA",0,2020-02-28,"baseline",0.77
"Philadelphia County, PA",1,2020-02-29,"baseline",0.77
"Philadelphia County, PA",2,2020-03-01,"baseline",0.77
"Philadelphia County, PA",3,2020-03-02,"baseline",0.77
"Philadelphia County, PA",4,2020-03-03,"baseline",0.77
"Philadelphia County, PA",5,2020-03-04,"baseline",0.77
"Philadelphia County, PA",6,2020-03-05,"baseline",0.77
"Philadelphia County, PA",7,2020-03-06,"baseline",0.77
"Philadelphia County, PA",8,2020-03-07,"baseline",0.77
"Philadelphia County, PA",9,2020-03-08,"baseline",0.77
"Philadelphia County, PA",10,2020-03-09,"baseline",0.77
"Philadelphia County, PA",11,2020-03-10,"baseline",0.77
"Philadelphia County, PA",12,2020-03-11,"baseline",0.77
"Philadelphia County, PA",12,2020-03-11,"step1",0.37
"Philadelphia County, PA",13,2020-03-12,"step1",0.37
"Philadelphia County, PA",14,2020-03-13,"step1",0.37
"Philadelphia County, PA",14,2020-03-13,"step2",0.35
"Philadelphia County, PA",15,2020-03-14,"step2",0.35
"Philadelphia County, PA",16,2020-03-15,"step2",0.35
"Philadelphia County, PA",16,2020-03-15,"step3",0.33
"Philadelphia County, PA",17,2020-03-16,"step3",0.33
"Philadelphia County, PA",18,2020-03-17,"step3",0.33
"Philadelphia County, PA",18,2020-03-17,"step4",0.32
"Philadelphia County, PA",19,2020-03-18,"step4",0.32
"Philadelphia County, PA",20,2020-03-19,"step4",0.32
"Philadelphia County, PA",20,2020-03-19,"step5",0.31
"Philadelphia County, PA",21,2020-03-20,"step5",0.31
"Philadelphia County, PA",22,2020-03-21,"step5",0.31
"Philadelphia County, PA",22,2020-03-21,"step6",0.28
"Philadelphia County, PA",23,2020-03-22,"step6",0.28
"Philadelphia County, PA",24,2020-03-23,"step6",0.28
"Philadelphia County, PA",24,2020-03-23,"step7",0.25
"Philadelphia County, PA",25,2020-03-24,"step7",0.25
"Philadelphia County, PA",26,2020-03-25,"step7",0.25
"Philadelphia County, PA",26,2020-03-25,"step8",0.22
"Philadelphia County, PA",27,2020-03-26,"step8",0.22
"Philadelphia County, PA",28,2020-03-27,"step8",0.22
"Philadelphia County, PA",28,2020-03-27,"step9",0.19
"Philadelphia County, PA",29,2020-03-28,"step9",0.19
"Philadelphia County, PA",30,2020-03-29,"step9",0.19
