"region","time","date","period","b1"
"Pima County, AZ",0,2020-02-14,"baseline",0.35
"Pima County, AZ",1,2020-02-15,"baseline",0.35
"Pima County, AZ",2,2020-02-16,"baseline",0.35
"Pima County, AZ",3,2020-02-17,"baseline",0.35
"Pima County, AZ",4,2020-02-18,"baseline",0.35
"Pima County, AZ",5,2020-02-19,"baseline",0.35
"Pima County, AZ",6,2020-02-20,"baseline",0.35
"Pima County, AZ",7,2020-02-21,"baseline",0.35
"Pima County, AZ",8,2020-02-22,"baseline",0.35
"Pima County, AZ",9,2020-02-23,"baseline",0.35
"Pima County, AZ",10,2020-02-24,"baseline",0.35
"Pima County, AZ",11,2020-02-25,"baseline",0.35
"Pima County, AZ",12,2020-02-26,"baseline",0.35
"Pima County, AZ",13,2020-02-27,"baseline",0.35
"Pima County, AZ",14,2020-02-28,"baseline",0.35
"Pima County, AZ",15,2020-02-29,"baseline",0.35
"Pima County, AZ",16,2020-03-01,"baseline",0.35
"Pima County, AZ",17,2020-03-02,"baseline",0.35
"Pima County, AZ",18,2020-03-03,"baseline",0.35
"Pima County, AZ",19,2020-03-04,"baseline",0.35
"Pima County, AZ",20,2020-03-05,"baseline",0.35
"Pima County, AZ",21,2020-03-06,"baseline",0.35
"Pima County, AZ",22,2020-03-07,"baseline",0.35
"Pima County, AZ",23,2020-03-08,"baseline",0.35
"Pima County, AZ",24,2020-03-09,"baseline",0.35
"Pima County, AZ",25,2020-03-10,"baseline",0.35
"Pima County, AZ",26,2020-03-11,"baseline",0.35
"Pima County, AZ",27,2020-03-12,"baseline",0.35
"Pima County, AZ",28,2020-03-13,"baseline",0.35
"Pima County, AZ",28,2020-03-13,"step1",0.15
"Pima County, AZ",29,2020-03-14,"step1",0.15
"Pima County, AZ",30,2020-03-15,"step1",0.15
"Pima County, AZ",30,2020-03-15,"step2",0.25
"Pima County, AZ",31,2020-03-16,"step2",0.25
"Pima County, AZ",32,2020-03-17,"step2",0.25
"Pima County, AZ",32,2020-03-17,"step3",0.23
"Pima County, AZ",33,2020-03-18,"step3",0.23
"Pima County, AZ",34,2020-03-19,"step3",0.23
"Pima County, AZ",34,2020-03-19,"step4",0.22
"Pima County, AZ",35,2020-03-20,"step4",0.22
"Pima County, AZ",36,2020-03-21,"step4",0.22
"Pima County, AZ",36,2020-03-21,"step5",0.2
"Pima County, AZ",37,2020-03-22,"step5",0.2
"Pima County, AZ",38,2020-03-23,"step5",0.2
"Pima County, AZ",38,2020-03-23,"step6",0.19
"Pima County, AZ",39,2020-03-24,"step6",0.19
"Pima County, AZ",40,2020-03-25,"step6",0.19
"Pima County, AZ",40,2020-03-25,"step7",0.17
"Pima County, AZ",41,2020-03-26,"step7",0.17
"Pima County, AZ",42,2020-03-27,"step7",0.17
"Pima County, AZ",42,2020-03-27,"step8",0.17
"Pima County, AZ",43,2020-03-28,"step8",0.17
"Pima County, AZ",44,2020-03-29,"step8",0.17
"Pima County, AZ",44,2020-03-29,"step9",0.16
"Pima County, AZ",45,2020-03-30,"step9",0.16
"Pima County, AZ",46,2020-03-31,"step9",0.16
