"region","time","date","period","b1"
"Providence County, RI",0,2020-02-23,"baseline",0.38
"Providence County, RI",1,2020-02-24,"baseline",0.38
"Providence County, RI",2,2020-02-25,"baseline",0.38
"Providence County, RI",3,2020-02-26,"baseline",0.38
"Providence County, RI",4,2020-02-27,"baseline",0.38
"Providence County, RI",5,2020-02-28,"baseline",0.38
"Providence County, RI",6,2020-02-29,"baseline",0.38
"Providence County, RI",7,2020-03-01,"baseline",0.38
"Providence County, RI",8,2020-03-02,"baseline",0.38
"Providence County, RI",9,2020-03-03,"baseline",0.38
"Providence County, RI",9,2020-03-03,"step1",0
"Providence County, RI",10,2020-03-04,"step1",0
"Providence County, RI",11,2020-03-05,"step1",0
"Providence County, RI",11,2020-03-05,"step2",0
"Providence County, RI",12,2020-03-06,"step2",0
"Providence County, RI",13,2020-03-07,"step2",0
"Providence County, RI",13,2020-03-07,"step3",0
"Providence County, RI",14,2020-03-08,"step3",0
"Providence County, RI",15,2020-03-09,"step3",0
"Providence County, RI",15,2020-03-09,"step4",0
"Providence County, RI",16,2020-03-10,"step4",0
"Providence County, RI",17,2020-03-11,"step4",0
"Providence County, RI",17,2020-03-11,"step5",0
"Providence County, RI",18,2020-03-12,"step5",0
"Providence County, RI",19,2020-03-13,"step5",0
"Providence County, RI",19,2020-03-13,"step6",0.77
"Providence County, RI",20,2020-03-14,"step6",0.77
"Providence County, RI",21,2020-03-15,"step6",0.77
"Providence County, RI",21,2020-03-15,"step7",0.69
"Providence County, RI",22,2020-03-16,"step7",0.69
"Providence County, RI",23,2020-03-17,"step7",0.69
"Providence County, RI",23,2020-03-17,"step8",0.6
"Providence County, RI",24,2020-03-18,"step8",0.6
"Providence County, RI",25,2020-03-19,"step8",0.6
"Providence County, RI",25,2020-03-19,"step9",0.51
"Providence County, RI",26,2020-03-20,"step9",0.51
"Providence County, RI",27,2020-03-21,"step9",0.51
"Providence County, RI",27,2020-03-21,"step10",0.43
"Providence County, RI",28,2020-03-22,"step10",0.43
"Providence County, RI",29,2020-03-23,"step10",0.43
"Providence County, RI",29,2020-03-23,"step11",0.36
"Providence County, RI",30,2020-03-24,"step11",0.36
"Providence County, RI",31,2020-03-25,"step11",0.36
"Providence County, RI",31,2020-03-25,"step12",0.3
"Providence County, RI",32,2020-03-26,"step12",0.3
"Providence County, RI",33,2020-03-27,"step12",0.3
"Providence County, RI",33,2020-03-27,"step13",0.26
"Providence County, RI",34,2020-03-28,"step13",0.26
"Providence County, RI",35,2020-03-29,"step13",0.26
"Providence County, RI",35,2020-03-29,"step14",0.2
"Providence County, RI",36,2020-03-30,"step14",0.2
"Providence County, RI",37,2020-03-31,"step14",0.2
"Providence County, RI",37,2020-03-31,"step15",0.17
"Providence County, RI",38,2020-04-01,"step15",0.17
"Providence County, RI",39,2020-04-02,"step15",0.17
"Providence County, RI",39,2020-04-02,"step16",0.18
"Providence County, RI",40,2020-04-03,"step16",0.18
"Providence County, RI",41,2020-04-04,"step16",0.18
"Providence County, RI",41,2020-04-04,"step17",0.23
"Providence County, RI",42,2020-04-05,"step17",0.23
"Providence County, RI",43,2020-04-06,"step17",0.23
"Providence County, RI",43,2020-04-06,"step18",0.24
"Providence County, RI",44,2020-04-07,"step18",0.24
"Providence County, RI",45,2020-04-08,"step18",0.24
"Providence County, RI",45,2020-04-08,"step19",0.23
"Providence County, RI",46,2020-04-09,"step19",0.23
"Providence County, RI",47,2020-04-10,"step19",0.23
"Providence County, RI",46,2020-04-09,"step20",0.215
"Providence County, RI",47,2020-04-10,"step20",0.215
"Providence County, RI",48,2020-04-11,"step20",0.215
"Providence County, RI",49,2020-04-12,"step20",0.215
"Providence County, RI",48,2020-04-11,"step21",0.19
"Providence County, RI",49,2020-04-12,"step21",0.19
"Providence County, RI",50,2020-04-13,"step21",0.19
"Providence County, RI",51,2020-04-14,"step21",0.19
"Providence County, RI",50,2020-04-13,"step22",0.165
"Providence County, RI",51,2020-04-14,"step22",0.165
"Providence County, RI",52,2020-04-15,"step22",0.165
"Providence County, RI",52,2020-04-15,"step24",0.01
"Providence County, RI",53,2020-04-16,"step24",0.01
"Providence County, RI",54,2020-04-17,"step24",0.01
"Providence County, RI",54,2020-04-17,"step25",0.04
"Providence County, RI",55,2020-04-18,"step25",0.04
"Providence County, RI",56,2020-04-19,"step25",0.04
"Providence County, RI",56,2020-04-19,"step26",0.07
"Providence County, RI",57,2020-04-20,"step26",0.07
"Providence County, RI",58,2020-04-21,"step26",0.07
"Providence County, RI",58,2020-04-21,"step27",0.08
"Providence County, RI",59,2020-04-22,"step27",0.08
"Providence County, RI",60,2020-04-23,"step27",0.08
"Providence County, RI",60,2020-04-23,"step28",0.08
"Providence County, RI",61,2020-04-24,"step28",0.08
"Providence County, RI",62,2020-04-25,"step28",0.08
"Providence County, RI",62,2020-04-25,"step29",0.09
"Providence County, RI",63,2020-04-26,"step29",0.09
"Providence County, RI",64,2020-04-27,"step29",0.09
"Providence County, RI",64,2020-04-27,"step30",0.12
"Providence County, RI",65,2020-04-28,"step30",0.12
"Providence County, RI",66,2020-04-29,"step30",0.12
"Providence County, RI",66,2020-04-29,"step31",0.15
"Providence County, RI",67,2020-04-30,"step31",0.15
"Providence County, RI",68,2020-05-01,"step31",0.15
"Providence County, RI",68,2020-05-01,"step32",0.16
"Providence County, RI",69,2020-05-02,"step32",0.16
"Providence County, RI",70,2020-05-03,"step32",0.16
"Providence County, RI",70,2020-05-03,"step33",0.17
"Providence County, RI",71,2020-05-04,"step33",0.17
"Providence County, RI",72,2020-05-05,"step33",0.17
"Providence County, RI",72,2020-05-05,"step35",0.21
"Providence County, RI",73,2020-05-06,"step35",0.21
"Providence County, RI",74,2020-05-07,"step35",0.21
"Providence County, RI",74,2020-05-07,"step37",0.19
"Providence County, RI",75,2020-05-08,"step37",0.19
"Providence County, RI",75,2020-05-08,"step39",0.19
"Providence County, RI",76,2020-05-09,"step39",0.19
"Providence County, RI",77,2020-05-10,"step39",0.19
"Providence County, RI",77,2020-05-10,"step41",0.17
"Providence County, RI",78,2020-05-11,"step41",0.17
"Providence County, RI",79,2020-05-12,"step41",0.17
"Providence County, RI",79,2020-05-12,"step44",0.15
"Providence County, RI",79,2020-05-12,"step45",0.15
"Providence County, RI",80,2020-05-13,"step45",0.15
"Providence County, RI",81,2020-05-14,"step45",0.15
"Providence County, RI",81,2020-05-14,"step46",0.13
"Providence County, RI",82,2020-05-15,"step46",0.13
"Providence County, RI",83,2020-05-16,"step46",0.13
"Providence County, RI",83,2020-05-16,"step47",0.11
"Providence County, RI",84,2020-05-17,"step47",0.11
"Providence County, RI",85,2020-05-18,"step47",0.11
"Providence County, RI",85,2020-05-18,"step48",0.09
"Providence County, RI",86,2020-05-19,"step48",0.09
"Providence County, RI",87,2020-05-20,"step48",0.09
"Providence County, RI",87,2020-05-20,"step49",0.07
"Providence County, RI",88,2020-05-21,"step49",0.07
"Providence County, RI",89,2020-05-22,"step49",0.07
"Providence County, RI",89,2020-05-22,"step50",0.06
"Providence County, RI",90,2020-05-23,"step50",0.06
"Providence County, RI",91,2020-05-24,"step50",0.06
"Providence County, RI",91,2020-05-24,"step51",0.04
"Providence County, RI",92,2020-05-25,"step51",0.04
"Providence County, RI",93,2020-05-26,"step51",0.04
"Providence County, RI",93,2020-05-26,"step52",0
"Providence County, RI",94,2020-05-27,"step52",0
"Providence County, RI",95,2020-05-28,"step52",0
"Providence County, RI",95,2020-05-28,"step53",0
"Providence County, RI",96,2020-05-29,"step53",0
"Providence County, RI",97,2020-05-30,"step53",0
"Providence County, RI",97,2020-05-30,"step54",0
"Providence County, RI",98,2020-05-31,"step54",0
"Providence County, RI",99,2020-06-01,"step54",0
"Providence County, RI",99,2020-06-01,"step55",0
"Providence County, RI",100,2020-06-02,"step55",0
