"region","time","date","period","b1"
"Racine County, WI",0,2020-03-13,"baseline",0.85
"Racine County, WI",1,2020-03-14,"baseline",0.85
"Racine County, WI",2,2020-03-15,"baseline",0.85
"Racine County, WI",3,2020-03-16,"baseline",0.85
"Racine County, WI",3,2020-03-16,"step1",0.38
"Racine County, WI",4,2020-03-17,"step1",0.38
"Racine County, WI",5,2020-03-18,"step1",0.38
"Racine County, WI",5,2020-03-18,"step2",0.34
"Racine County, WI",6,2020-03-19,"step2",0.34
"Racine County, WI",7,2020-03-20,"step2",0.34
"Racine County, WI",7,2020-03-20,"step4",0.3
"Racine County, WI",8,2020-03-21,"step4",0.3
"Racine County, WI",9,2020-03-22,"step4",0.3
"Racine County, WI",9,2020-03-22,"step5",0.27
"Racine County, WI",10,2020-03-23,"step5",0.27
"Racine County, WI",11,2020-03-24,"step5",0.27
"Racine County, WI",11,2020-03-24,"step6",0.25
"Racine County, WI",12,2020-03-25,"step6",0.25
"Racine County, WI",13,2020-03-26,"step6",0.25
"Racine County, WI",13,2020-03-26,"step7",0.23
"Racine County, WI",14,2020-03-27,"step7",0.23
"Racine County, WI",15,2020-03-28,"step7",0.23
"Racine County, WI",15,2020-03-28,"step8",0.21
"Racine County, WI",16,2020-03-29,"step8",0.21
"Racine County, WI",17,2020-03-30,"step8",0.21
"Racine County, WI",17,2020-03-30,"step9",0.18
"Racine County, WI",18,2020-03-31,"step9",0.18
"Racine County, WI",19,2020-04-01,"step9",0.18
"Racine County, WI",19,2020-04-01,"step10",0.16
"Racine County, WI",20,2020-04-02,"step10",0.16
"Racine County, WI",21,2020-04-03,"step10",0.16
"Racine County, WI",21,2020-04-03,"step11",0.14
"Racine County, WI",22,2020-04-04,"step11",0.14
"Racine County, WI",23,2020-04-05,"step11",0.14
"Racine County, WI",23,2020-04-05,"step12",0.12
"Racine County, WI",24,2020-04-06,"step12",0.12
"Racine County, WI",25,2020-04-07,"step12",0.12
"Racine County, WI",25,2020-04-07,"step13",0.11
"Racine County, WI",26,2020-04-08,"step13",0.11
"Racine County, WI",27,2020-04-09,"step13",0.11
"Racine County, WI",27,2020-04-09,"step14",0.09
"Racine County, WI",28,2020-04-10,"step14",0.09
"Racine County, WI",29,2020-04-11,"step14",0.09
"Racine County, WI",29,2020-04-11,"step15",0.07
"Racine County, WI",30,2020-04-12,"step15",0.07
"Racine County, WI",31,2020-04-13,"step15",0.07
"Racine County, WI",31,2020-04-13,"step16",0.06
"Racine County, WI",32,2020-04-14,"step16",0.06
"Racine County, WI",33,2020-04-15,"step16",0.06
"Racine County, WI",33,2020-04-15,"step18",0.06
"Racine County, WI",34,2020-04-16,"step18",0.06
"Racine County, WI",35,2020-04-17,"step18",0.06
"Racine County, WI",35,2020-04-17,"step19",0.07
"Racine County, WI",36,2020-04-18,"step19",0.07
"Racine County, WI",37,2020-04-19,"step19",0.07
"Racine County, WI",37,2020-04-19,"step20",0.07
"Racine County, WI",38,2020-04-20,"step20",0.07
"Racine County, WI",39,2020-04-21,"step20",0.07
"Racine County, WI",39,2020-04-21,"step21",0.07
"Racine County, WI",40,2020-04-22,"step21",0.07
"Racine County, WI",41,2020-04-23,"step21",0.07
"Racine County, WI",41,2020-04-23,"step22",0.08
"Racine County, WI",42,2020-04-24,"step22",0.08
"Racine County, WI",43,2020-04-25,"step22",0.08
"Racine County, WI",43,2020-04-25,"step23",0.09
"Racine County, WI",44,2020-04-26,"step23",0.09
"Racine County, WI",45,2020-04-27,"step23",0.09
"Racine County, WI",45,2020-04-27,"step24",0.11
