"region","time","date","period","b1"
"Rhode Island",0,2020-02-27,"baseline",0.53
"Rhode Island",1,2020-02-28,"baseline",0.53
"Rhode Island",2,2020-02-29,"baseline",0.53
"Rhode Island",3,2020-03-01,"baseline",0.53
"Rhode Island",4,2020-03-02,"baseline",0.53
"Rhode Island",5,2020-03-03,"baseline",0.53
"Rhode Island",5,2020-03-03,"step1",0
"Rhode Island",6,2020-03-04,"step1",0
"Rhode Island",7,2020-03-05,"step1",0
"Rhode Island",7,2020-03-05,"step2",0
"Rhode Island",8,2020-03-06,"step2",0
"Rhode Island",9,2020-03-07,"step2",0
"Rhode Island",9,2020-03-07,"step3",0
"Rhode Island",10,2020-03-08,"step3",0
"Rhode Island",11,2020-03-09,"step3",0
"Rhode Island",11,2020-03-09,"step4",0.8
"Rhode Island",12,2020-03-10,"step4",0.8
"Rhode Island",13,2020-03-11,"step4",0.8
"Rhode Island",13,2020-03-11,"step5",0.72
"Rhode Island",14,2020-03-12,"step5",0.72
"Rhode Island",15,2020-03-13,"step5",0.72
"Rhode Island",15,2020-03-13,"step6",0.64
"Rhode Island",16,2020-03-14,"step6",0.64
"Rhode Island",17,2020-03-15,"step6",0.64
"Rhode Island",17,2020-03-15,"step7",0.56
"Rhode Island",18,2020-03-16,"step7",0.56
"Rhode Island",19,2020-03-17,"step7",0.56
"Rhode Island",19,2020-03-17,"step8",0.5
"Rhode Island",20,2020-03-18,"step8",0.5
"Rhode Island",21,2020-03-19,"step8",0.5
"Rhode Island",21,2020-03-19,"step9",0.44
"Rhode Island",22,2020-03-20,"step9",0.44
"Rhode Island",23,2020-03-21,"step9",0.44
"Rhode Island",23,2020-03-21,"step10",0.39
"Rhode Island",24,2020-03-22,"step10",0.39
"Rhode Island",25,2020-03-23,"step10",0.39
"Rhode Island",25,2020-03-23,"step11",0.35
"Rhode Island",26,2020-03-24,"step11",0.35
"Rhode Island",27,2020-03-25,"step11",0.35
"Rhode Island",27,2020-03-25,"step12",0.31
"Rhode Island",28,2020-03-26,"step12",0.31
"Rhode Island",29,2020-03-27,"step12",0.31
"Rhode Island",29,2020-03-27,"step13",0.28
"Rhode Island",30,2020-03-28,"step13",0.28
"Rhode Island",31,2020-03-29,"step13",0.28
"Rhode Island",31,2020-03-29,"step14",0.25
"Rhode Island",32,2020-03-30,"step14",0.25
"Rhode Island",33,2020-03-31,"step14",0.25
"Rhode Island",33,2020-03-31,"step15",0.22
"Rhode Island",34,2020-04-01,"step15",0.22
"Rhode Island",35,2020-04-02,"step15",0.22
"Rhode Island",35,2020-04-02,"step16",0.2
"Rhode Island",36,2020-04-03,"step16",0.2
"Rhode Island",37,2020-04-04,"step16",0.2
"Rhode Island",37,2020-04-04,"step17",0.17
