"region","time","date","period","b1"
"Saginaw County, MI",0,2020-03-06,"baseline",0.02
"Saginaw County, MI",1,2020-03-07,"baseline",0.02
"Saginaw County, MI",2,2020-03-08,"baseline",0.02
"Saginaw County, MI",3,2020-03-09,"baseline",0.02
"Saginaw County, MI",4,2020-03-10,"baseline",0.02
"Saginaw County, MI",5,2020-03-11,"baseline",0.02
"Saginaw County, MI",6,2020-03-12,"baseline",0.02
"Saginaw County, MI",7,2020-03-13,"baseline",0.02
"Saginaw County, MI",8,2020-03-14,"baseline",0.02
"Saginaw County, MI",9,2020-03-15,"baseline",0.02
"Saginaw County, MI",10,2020-03-16,"baseline",0.02
"Saginaw County, MI",11,2020-03-17,"baseline",0.02
"Saginaw County, MI",12,2020-03-18,"baseline",0.02
"Saginaw County, MI",13,2020-03-19,"baseline",0.02
"Saginaw County, MI",14,2020-03-20,"baseline",0.02
"Saginaw County, MI",15,2020-03-21,"baseline",0.02
"Saginaw County, MI",16,2020-03-22,"baseline",0.02
"Saginaw County, MI",17,2020-03-23,"baseline",0.02
"Saginaw County, MI",17,2020-03-23,"step1",0.87
"Saginaw County, MI",18,2020-03-24,"step1",0.87
"Saginaw County, MI",19,2020-03-25,"step1",0.87
"Saginaw County, MI",19,2020-03-25,"step2",0.77
"Saginaw County, MI",20,2020-03-26,"step2",0.77
"Saginaw County, MI",21,2020-03-27,"step2",0.77
"Saginaw County, MI",21,2020-03-27,"step3",0.67
"Saginaw County, MI",22,2020-03-28,"step3",0.67
"Saginaw County, MI",23,2020-03-29,"step3",0.67
"Saginaw County, MI",23,2020-03-29,"step4",0.58
"Saginaw County, MI",24,2020-03-30,"step4",0.58
"Saginaw County, MI",25,2020-03-31,"step4",0.58
"Saginaw County, MI",25,2020-03-31,"step5",0.5
"Saginaw County, MI",26,2020-04-01,"step5",0.5
"Saginaw County, MI",27,2020-04-02,"step5",0.5
"Saginaw County, MI",27,2020-04-02,"step6",0.42
"Saginaw County, MI",28,2020-04-03,"step6",0.42
"Saginaw County, MI",29,2020-04-04,"step6",0.42
"Saginaw County, MI",29,2020-04-04,"step7",0.36
"Saginaw County, MI",30,2020-04-05,"step7",0.36
"Saginaw County, MI",31,2020-04-06,"step7",0.36
"Saginaw County, MI",31,2020-04-06,"step8",0.3
"Saginaw County, MI",32,2020-04-07,"step8",0.3
"Saginaw County, MI",33,2020-04-08,"step8",0.3
"Saginaw County, MI",33,2020-04-08,"step9",0.26
"Saginaw County, MI",34,2020-04-09,"step9",0.26
"Saginaw County, MI",35,2020-04-10,"step9",0.26
"Saginaw County, MI",34,2020-04-09,"step10",0.225
"Saginaw County, MI",35,2020-04-10,"step10",0.225
"Saginaw County, MI",36,2020-04-11,"step10",0.225
"Saginaw County, MI",37,2020-04-12,"step10",0.225
"Saginaw County, MI",36,2020-04-11,"step11",0.18
"Saginaw County, MI",37,2020-04-12,"step11",0.18
"Saginaw County, MI",38,2020-04-13,"step11",0.18
"Saginaw County, MI",39,2020-04-14,"step11",0.18
"Saginaw County, MI",38,2020-04-13,"step12",0.145
"Saginaw County, MI",39,2020-04-14,"step12",0.145
"Saginaw County, MI",40,2020-04-15,"step12",0.145
"Saginaw County, MI",40,2020-04-15,"step14",0
"Saginaw County, MI",41,2020-04-16,"step14",0
"Saginaw County, MI",42,2020-04-17,"step14",0
"Saginaw County, MI",42,2020-04-17,"step15",0
"Saginaw County, MI",43,2020-04-18,"step15",0
"Saginaw County, MI",44,2020-04-19,"step15",0
"Saginaw County, MI",44,2020-04-19,"step16",0
"Saginaw County, MI",45,2020-04-20,"step16",0
"Saginaw County, MI",46,2020-04-21,"step16",0
"Saginaw County, MI",46,2020-04-21,"step17",0
"Saginaw County, MI",47,2020-04-22,"step17",0
"Saginaw County, MI",48,2020-04-23,"step17",0
"Saginaw County, MI",48,2020-04-23,"step18",0
"Saginaw County, MI",49,2020-04-24,"step18",0
"Saginaw County, MI",50,2020-04-25,"step18",0
"Saginaw County, MI",50,2020-04-25,"step19",0
"Saginaw County, MI",51,2020-04-26,"step19",0
"Saginaw County, MI",52,2020-04-27,"step19",0
"Saginaw County, MI",52,2020-04-27,"step20",0
"Saginaw County, MI",53,2020-04-28,"step20",0
"Saginaw County, MI",54,2020-04-29,"step20",0
"Saginaw County, MI",54,2020-04-29,"step21",0.05
"Saginaw County, MI",55,2020-04-30,"step21",0.05
"Saginaw County, MI",56,2020-05-01,"step21",0.05
"Saginaw County, MI",56,2020-05-01,"step22",0.23
"Saginaw County, MI",57,2020-05-02,"step22",0.23
"Saginaw County, MI",58,2020-05-03,"step22",0.23
"Saginaw County, MI",58,2020-05-03,"step23",0.23
"Saginaw County, MI",59,2020-05-04,"step23",0.23
"Saginaw County, MI",60,2020-05-05,"step23",0.23
"Saginaw County, MI",60,2020-05-05,"step25",0.3
"Saginaw County, MI",61,2020-05-06,"step25",0.3
"Saginaw County, MI",62,2020-05-07,"step25",0.3
"Saginaw County, MI",62,2020-05-07,"step27",0.26
"Saginaw County, MI",63,2020-05-08,"step27",0.26
"Saginaw County, MI",63,2020-05-08,"step29",0.24
"Saginaw County, MI",64,2020-05-09,"step29",0.24
"Saginaw County, MI",65,2020-05-10,"step29",0.24
"Saginaw County, MI",65,2020-05-10,"step31",0.19
"Saginaw County, MI",66,2020-05-11,"step31",0.19
"Saginaw County, MI",67,2020-05-12,"step31",0.19
"Saginaw County, MI",67,2020-05-12,"step34",0.16
"Saginaw County, MI",67,2020-05-12,"step35",0.16
"Saginaw County, MI",68,2020-05-13,"step35",0.16
"Saginaw County, MI",69,2020-05-14,"step35",0.16
"Saginaw County, MI",69,2020-05-14,"step36",0.14
"Saginaw County, MI",70,2020-05-15,"step36",0.14
"Saginaw County, MI",71,2020-05-16,"step36",0.14
"Saginaw County, MI",71,2020-05-16,"step37",0.11
"Saginaw County, MI",72,2020-05-17,"step37",0.11
"Saginaw County, MI",73,2020-05-18,"step37",0.11
"Saginaw County, MI",73,2020-05-18,"step38",0.1
"Saginaw County, MI",74,2020-05-19,"step38",0.1
"Saginaw County, MI",75,2020-05-20,"step38",0.1
"Saginaw County, MI",75,2020-05-20,"step39",0.1
"Saginaw County, MI",76,2020-05-21,"step39",0.1
"Saginaw County, MI",77,2020-05-22,"step39",0.1
"Saginaw County, MI",77,2020-05-22,"step40",0.1
"Saginaw County, MI",78,2020-05-23,"step40",0.1
"Saginaw County, MI",79,2020-05-24,"step40",0.1
"Saginaw County, MI",79,2020-05-24,"step41",0.09
"Saginaw County, MI",80,2020-05-25,"step41",0.09
"Saginaw County, MI",81,2020-05-26,"step41",0.09
"Saginaw County, MI",81,2020-05-26,"step42",0.08
"Saginaw County, MI",82,2020-05-27,"step42",0.08
"Saginaw County, MI",83,2020-05-28,"step42",0.08
"Saginaw County, MI",83,2020-05-28,"step43",0.07
"Saginaw County, MI",84,2020-05-29,"step43",0.07
"Saginaw County, MI",85,2020-05-30,"step43",0.07
"Saginaw County, MI",85,2020-05-30,"step44",0.01
"Saginaw County, MI",86,2020-05-31,"step44",0.01
"Saginaw County, MI",87,2020-06-01,"step44",0.01
"Saginaw County, MI",87,2020-06-01,"step45",0
"Saginaw County, MI",88,2020-06-02,"step45",0
"Saginaw County, MI",89,2020-06-03,"step45",0
