"region","time","date","period","b1"
"Schenectady County, NY",0,2020-03-06,"baseline",0.47
"Schenectady County, NY",1,2020-03-07,"baseline",0.47
"Schenectady County, NY",2,2020-03-08,"baseline",0.47
"Schenectady County, NY",3,2020-03-09,"baseline",0.47
"Schenectady County, NY",4,2020-03-10,"baseline",0.47
"Schenectady County, NY",5,2020-03-11,"baseline",0.47
"Schenectady County, NY",6,2020-03-12,"baseline",0.47
"Schenectady County, NY",7,2020-03-13,"baseline",0.47
"Schenectady County, NY",8,2020-03-14,"baseline",0.47
"Schenectady County, NY",9,2020-03-15,"baseline",0.47
"Schenectady County, NY",9,2020-03-15,"step1",0.2
"Schenectady County, NY",10,2020-03-16,"step1",0.2
"Schenectady County, NY",11,2020-03-17,"step1",0.2
"Schenectady County, NY",11,2020-03-17,"step2",0.19
"Schenectady County, NY",12,2020-03-18,"step2",0.19
"Schenectady County, NY",13,2020-03-19,"step2",0.19
"Schenectady County, NY",13,2020-03-19,"step3",0.17
"Schenectady County, NY",14,2020-03-20,"step3",0.17
"Schenectady County, NY",14,2020-03-20,"step4",0.16
"Schenectady County, NY",15,2020-03-21,"step4",0.16
"Schenectady County, NY",16,2020-03-22,"step4",0.16
"Schenectady County, NY",16,2020-03-22,"step5",0.15
"Schenectady County, NY",17,2020-03-23,"step5",0.15
"Schenectady County, NY",18,2020-03-24,"step5",0.15
"Schenectady County, NY",18,2020-03-24,"step6",0.13
"Schenectady County, NY",19,2020-03-25,"step6",0.13
"Schenectady County, NY",20,2020-03-26,"step6",0.13
"Schenectady County, NY",20,2020-03-26,"step7",0.11
"Schenectady County, NY",21,2020-03-27,"step7",0.11
"Schenectady County, NY",22,2020-03-28,"step7",0.11
"Schenectady County, NY",22,2020-03-28,"step8",0.1
"Schenectady County, NY",23,2020-03-29,"step8",0.1
"Schenectady County, NY",24,2020-03-30,"step8",0.1
"Schenectady County, NY",24,2020-03-30,"step9",0.09
"Schenectady County, NY",25,2020-03-31,"step9",0.09
"Schenectady County, NY",26,2020-04-01,"step9",0.09
"Schenectady County, NY",26,2020-04-01,"step10",0.08
"Schenectady County, NY",27,2020-04-02,"step10",0.08
"Schenectady County, NY",28,2020-04-03,"step10",0.08
"Schenectady County, NY",28,2020-04-03,"step11",0.08
"Schenectady County, NY",29,2020-04-04,"step11",0.08
"Schenectady County, NY",30,2020-04-05,"step11",0.08
"Schenectady County, NY",30,2020-04-05,"step12",0.09
"Schenectady County, NY",31,2020-04-06,"step12",0.09
"Schenectady County, NY",32,2020-04-07,"step12",0.09
"Schenectady County, NY",32,2020-04-07,"step13",0.12
"Schenectady County, NY",33,2020-04-08,"step13",0.12
"Schenectady County, NY",34,2020-04-09,"step13",0.12
"Schenectady County, NY",34,2020-04-09,"step14",0.13
"Schenectady County, NY",35,2020-04-10,"step14",0.13
"Schenectady County, NY",36,2020-04-11,"step14",0.13
"Schenectady County, NY",36,2020-04-11,"step15",0.13
"Schenectady County, NY",37,2020-04-12,"step15",0.13
"Schenectady County, NY",38,2020-04-13,"step15",0.13
"Schenectady County, NY",38,2020-04-13,"step16",0.12
"Schenectady County, NY",39,2020-04-14,"step16",0.12
"Schenectady County, NY",40,2020-04-15,"step16",0.12
"Schenectady County, NY",40,2020-04-15,"step18",0.08
"Schenectady County, NY",41,2020-04-16,"step18",0.08
"Schenectady County, NY",42,2020-04-17,"step18",0.08
"Schenectady County, NY",42,2020-04-17,"step19",0.05
"Schenectady County, NY",43,2020-04-18,"step19",0.05
"Schenectady County, NY",44,2020-04-19,"step19",0.05
"Schenectady County, NY",44,2020-04-19,"step20",0.03
"Schenectady County, NY",45,2020-04-20,"step20",0.03
"Schenectady County, NY",46,2020-04-21,"step20",0.03
"Schenectady County, NY",46,2020-04-21,"step21",0.02
"Schenectady County, NY",47,2020-04-22,"step21",0.02
"Schenectady County, NY",48,2020-04-23,"step21",0.02
"Schenectady County, NY",48,2020-04-23,"step22",0.04
"Schenectady County, NY",49,2020-04-24,"step22",0.04
"Schenectady County, NY",50,2020-04-25,"step22",0.04
"Schenectady County, NY",50,2020-04-25,"step23",0.06
"Schenectady County, NY",51,2020-04-26,"step23",0.06
"Schenectady County, NY",52,2020-04-27,"step23",0.06
"Schenectady County, NY",52,2020-04-27,"step24",0.1
"Schenectady County, NY",53,2020-04-28,"step24",0.1
"Schenectady County, NY",54,2020-04-29,"step24",0.1
"Schenectady County, NY",54,2020-04-29,"step25",0.12
"Schenectady County, NY",55,2020-04-30,"step25",0.12
"Schenectady County, NY",56,2020-05-01,"step25",0.12
"Schenectady County, NY",56,2020-05-01,"step26",0.14
"Schenectady County, NY",57,2020-05-02,"step26",0.14
"Schenectady County, NY",58,2020-05-03,"step26",0.14
"Schenectady County, NY",58,2020-05-03,"step27",0.15
"Schenectady County, NY",59,2020-05-04,"step27",0.15
"Schenectady County, NY",60,2020-05-05,"step27",0.15
"Schenectady County, NY",60,2020-05-05,"step29",0.15
"Schenectady County, NY",61,2020-05-06,"step29",0.15
"Schenectady County, NY",62,2020-05-07,"step29",0.15
"Schenectady County, NY",62,2020-05-07,"step31",0.16
"Schenectady County, NY",63,2020-05-08,"step31",0.16
"Schenectady County, NY",63,2020-05-08,"step33",0.17
"Schenectady County, NY",64,2020-05-09,"step33",0.17
"Schenectady County, NY",65,2020-05-10,"step33",0.17
"Schenectady County, NY",65,2020-05-10,"step35",0.18
"Schenectady County, NY",66,2020-05-11,"step35",0.18
"Schenectady County, NY",67,2020-05-12,"step35",0.18
"Schenectady County, NY",67,2020-05-12,"step38",0.19
"Schenectady County, NY",67,2020-05-12,"step39",0.19
"Schenectady County, NY",68,2020-05-13,"step39",0.19
"Schenectady County, NY",69,2020-05-14,"step39",0.19
"Schenectady County, NY",69,2020-05-14,"step40",0.19
"Schenectady County, NY",70,2020-05-15,"step40",0.19
"Schenectady County, NY",71,2020-05-16,"step40",0.19
"Schenectady County, NY",71,2020-05-16,"step41",0.18
"Schenectady County, NY",72,2020-05-17,"step41",0.18
"Schenectady County, NY",73,2020-05-18,"step41",0.18
"Schenectady County, NY",73,2020-05-18,"step42",0.16
"Schenectady County, NY",74,2020-05-19,"step42",0.16
"Schenectady County, NY",75,2020-05-20,"step42",0.16
"Schenectady County, NY",75,2020-05-20,"step43",0.14
"Schenectady County, NY",76,2020-05-21,"step43",0.14
"Schenectady County, NY",77,2020-05-22,"step43",0.14
"Schenectady County, NY",77,2020-05-22,"step44",0.13
"Schenectady County, NY",78,2020-05-23,"step44",0.13
"Schenectady County, NY",79,2020-05-24,"step44",0.13
"Schenectady County, NY",79,2020-05-24,"step45",0.13
"Schenectady County, NY",80,2020-05-25,"step45",0.13
"Schenectady County, NY",81,2020-05-26,"step45",0.13
"Schenectady County, NY",81,2020-05-26,"step46",0.12
"Schenectady County, NY",82,2020-05-27,"step46",0.12
"Schenectady County, NY",83,2020-05-28,"step46",0.12
"Schenectady County, NY",83,2020-05-28,"step47",0.11
"Schenectady County, NY",84,2020-05-29,"step47",0.11
"Schenectady County, NY",85,2020-05-30,"step47",0.11
"Schenectady County, NY",85,2020-05-30,"step48",0.07
"Schenectady County, NY",86,2020-05-31,"step48",0.07
"Schenectady County, NY",87,2020-06-01,"step48",0.07
"Schenectady County, NY",87,2020-06-01,"step49",0
"Schenectady County, NY",88,2020-06-02,"step49",0
"Schenectady County, NY",89,2020-06-03,"step49",0
