"region","time","date","period","b1"
"Upson County, GA",0,2020-03-16,"baseline",0.01
"Upson County, GA",1,2020-03-17,"baseline",0.01
"Upson County, GA",2,2020-03-18,"baseline",0.01
"Upson County, GA",3,2020-03-19,"baseline",0.01
"Upson County, GA",4,2020-03-20,"baseline",0.01
"Upson County, GA",4,2020-03-20,"stepNA",0.211679425871019
"Upson County, GA",5,2020-03-21,"stepNA",0.211679425871019
"Upson County, GA",6,2020-03-22,"stepNA",0.211679425871019
"Upson County, GA",7,2020-03-23,"stepNA",0.211679425871019
"Upson County, GA",8,2020-03-24,"stepNA",0.211679425871019
"Upson County, GA",9,2020-03-25,"stepNA",0.211679425871019
"Upson County, GA",10,2020-03-26,"stepNA",0.211679425871019
"Upson County, GA",11,2020-03-27,"stepNA",0.211679425871019
"Upson County, GA",12,2020-03-28,"stepNA",0.211679425871019
"Upson County, GA",13,2020-03-29,"stepNA",0.211679425871019
"Upson County, GA",14,2020-03-30,"stepNA",0.211679425871019
"Upson County, GA",15,2020-03-31,"stepNA",0.211679425871019
"Upson County, GA",16,2020-04-01,"stepNA",0.211679425871019
"Upson County, GA",17,2020-04-02,"stepNA",0.211679425871019
"Upson County, GA",18,2020-04-03,"stepNA",0.211679425871019
"Upson County, GA",19,2020-04-04,"stepNA",0.211679425871019
"Upson County, GA",20,2020-04-05,"stepNA",0.211679425871019
"Upson County, GA",21,2020-04-06,"stepNA",0.211679425871019
"Upson County, GA",22,2020-04-07,"stepNA",0.211679425871019
"Upson County, GA",23,2020-04-08,"stepNA",0.211679425871019
"Upson County, GA",24,2020-04-09,"stepNA",0.211679425871019
"Upson County, GA",25,2020-04-10,"stepNA",0.211679425871019
"Upson County, GA",26,2020-04-11,"stepNA",0.211679425871019
"Upson County, GA",27,2020-04-12,"stepNA",0.211679425871019
"Upson County, GA",28,2020-04-13,"stepNA",0.211679425871019
"Upson County, GA",29,2020-04-14,"stepNA",0.211679425871019
"Upson County, GA",30,2020-04-15,"stepNA",0.211679425871019
"Upson County, GA",31,2020-04-16,"stepNA",0.211679425871019
"Upson County, GA",32,2020-04-17,"stepNA",0.211679425871019
"Upson County, GA",33,2020-04-18,"stepNA",0.211679425871019
"Upson County, GA",34,2020-04-19,"stepNA",0.211679425871019
"Upson County, GA",35,2020-04-20,"stepNA",0.211679425871019
"Upson County, GA",36,2020-04-21,"stepNA",0.211679425871019
"Upson County, GA",37,2020-04-22,"stepNA",0.211679425871019
"Upson County, GA",38,2020-04-23,"stepNA",0.211679425871019
"Upson County, GA",39,2020-04-24,"stepNA",0.211679425871019
"Upson County, GA",40,2020-04-25,"stepNA",0.211679425871019
"Upson County, GA",41,2020-04-26,"stepNA",0.211679425871019
"Upson County, GA",42,2020-04-27,"stepNA",0.211679425871019
"Upson County, GA",43,2020-04-28,"stepNA",0.211679425871019
"Upson County, GA",44,2020-04-29,"stepNA",0.211679425871019
"Upson County, GA",45,2020-04-30,"stepNA",0.211679425871019
"Upson County, GA",46,2020-05-01,"stepNA",0.211679425871019
"Upson County, GA",47,2020-05-02,"stepNA",0.211679425871019
"Upson County, GA",48,2020-05-03,"stepNA",0.211679425871019
"Upson County, GA",49,2020-05-04,"stepNA",0.211679425871019
"Upson County, GA",50,2020-05-05,"stepNA",0.211679425871019
"Upson County, GA",51,2020-05-06,"stepNA",0.211679425871019
"Upson County, GA",52,2020-05-07,"stepNA",0.211679425871019
"Upson County, GA",53,2020-05-08,"stepNA",0.211679425871019
"Upson County, GA",54,2020-05-09,"stepNA",0.211679425871019
"Upson County, GA",55,2020-05-10,"stepNA",0.211679425871019
"Upson County, GA",56,2020-05-11,"stepNA",0.211679425871019
"Upson County, GA",57,2020-05-12,"stepNA",0.211679425871019
"Upson County, GA",57,2020-05-12,"stepNA",0
"Upson County, GA",58,2020-05-13,"stepNA",0
"Upson County, GA",59,2020-05-14,"stepNA",0
"Upson County, GA",59,2020-05-14,"stepNA",0
"Upson County, GA",60,2020-05-15,"stepNA",0
"Upson County, GA",61,2020-05-16,"stepNA",0
"Upson County, GA",61,2020-05-16,"stepNA",0
"Upson County, GA",62,2020-05-17,"stepNA",0
"Upson County, GA",63,2020-05-18,"stepNA",0
"Upson County, GA",63,2020-05-18,"stepNA",0
"Upson County, GA",64,2020-05-19,"stepNA",0
"Upson County, GA",65,2020-05-20,"stepNA",0
"Upson County, GA",65,2020-05-20,"stepNA",0
"Upson County, GA",66,2020-05-21,"stepNA",0
"Upson County, GA",67,2020-05-22,"stepNA",0
"Upson County, GA",67,2020-05-22,"stepNA",0
"Upson County, GA",68,2020-05-23,"stepNA",0
"Upson County, GA",69,2020-05-24,"stepNA",0
"Upson County, GA",69,2020-05-24,"stepNA",0
"Upson County, GA",70,2020-05-25,"stepNA",0
"Upson County, GA",71,2020-05-26,"stepNA",0
"Upson County, GA",71,2020-05-26,"stepNA",0
"Upson County, GA",72,2020-05-27,"stepNA",0
"Upson County, GA",73,2020-05-28,"stepNA",0
"Upson County, GA",73,2020-05-28,"stepNA",0
"Upson County, GA",74,2020-05-29,"stepNA",0
"Upson County, GA",75,2020-05-30,"stepNA",0
"Upson County, GA",75,2020-05-30,"stepNA",0
"Upson County, GA",76,2020-05-31,"stepNA",0
"Upson County, GA",77,2020-06-01,"stepNA",0
"Upson County, GA",77,2020-06-01,"stepNA",0
"Upson County, GA",78,2020-06-02,"stepNA",0
"Upson County, GA",79,2020-06-03,"stepNA",0
