"region","time","date","period","b1"
"Wake County, NC",0,2020-03-14,"baseline",0
"Wake County, NC",1,2020-03-15,"baseline",0
"Wake County, NC",2,2020-03-16,"baseline",0
"Wake County, NC",3,2020-03-17,"baseline",0
"Wake County, NC",3,2020-03-17,"step1",0
"Wake County, NC",4,2020-03-18,"step1",0
"Wake County, NC",5,2020-03-19,"step1",0
"Wake County, NC",5,2020-03-19,"step2",0
"Wake County, NC",6,2020-03-20,"step2",0
"Wake County, NC",6,2020-03-20,"step3",0
"Wake County, NC",7,2020-03-21,"step3",0
"Wake County, NC",8,2020-03-22,"step3",0
"Wake County, NC",8,2020-03-22,"step4",0
"Wake County, NC",9,2020-03-23,"step4",0
"Wake County, NC",10,2020-03-24,"step4",0
"Wake County, NC",10,2020-03-24,"step5",0
"Wake County, NC",11,2020-03-25,"step5",0
"Wake County, NC",12,2020-03-26,"step5",0
"Wake County, NC",12,2020-03-26,"step6",0.47
"Wake County, NC",13,2020-03-27,"step6",0.47
"Wake County, NC",14,2020-03-28,"step6",0.47
"Wake County, NC",14,2020-03-28,"step7",0.79
"Wake County, NC",15,2020-03-29,"step7",0.79
"Wake County, NC",16,2020-03-30,"step7",0.79
"Wake County, NC",16,2020-03-30,"step8",0.7
"Wake County, NC",17,2020-03-31,"step8",0.7
"Wake County, NC",18,2020-04-01,"step8",0.7
"Wake County, NC",18,2020-04-01,"step9",0.62
"Wake County, NC",19,2020-04-02,"step9",0.62
"Wake County, NC",20,2020-04-03,"step9",0.62
"Wake County, NC",20,2020-04-03,"step10",0.54
"Wake County, NC",21,2020-04-04,"step10",0.54
"Wake County, NC",22,2020-04-05,"step10",0.54
"Wake County, NC",22,2020-04-05,"step11",0.47
"Wake County, NC",23,2020-04-06,"step11",0.47
"Wake County, NC",24,2020-04-07,"step11",0.47
"Wake County, NC",24,2020-04-07,"step12",0.4
"Wake County, NC",25,2020-04-08,"step12",0.4
"Wake County, NC",26,2020-04-09,"step12",0.4
"Wake County, NC",26,2020-04-09,"step13",0.34
"Wake County, NC",27,2020-04-10,"step13",0.34
"Wake County, NC",28,2020-04-11,"step13",0.34
"Wake County, NC",28,2020-04-11,"step14",0.29
"Wake County, NC",29,2020-04-12,"step14",0.29
"Wake County, NC",30,2020-04-13,"step14",0.29
"Wake County, NC",30,2020-04-13,"step15",0.24
"Wake County, NC",31,2020-04-14,"step15",0.24
"Wake County, NC",32,2020-04-15,"step15",0.24
"Wake County, NC",32,2020-04-15,"step17",0.2
"Wake County, NC",33,2020-04-16,"step17",0.2
"Wake County, NC",34,2020-04-17,"step17",0.2
"Wake County, NC",34,2020-04-17,"step18",0.17
"Wake County, NC",35,2020-04-18,"step18",0.17
"Wake County, NC",36,2020-04-19,"step18",0.17
"Wake County, NC",36,2020-04-19,"step19",0.13
"Wake County, NC",37,2020-04-20,"step19",0.13
"Wake County, NC",38,2020-04-21,"step19",0.13
"Wake County, NC",38,2020-04-21,"step20",0.09
"Wake County, NC",39,2020-04-22,"step20",0.09
"Wake County, NC",40,2020-04-23,"step20",0.09
"Wake County, NC",40,2020-04-23,"step21",0.05
"Wake County, NC",41,2020-04-24,"step21",0.05
