"region","time","date","period","b1"
"Washington County, TX",0,2020-03-20,"stepNA",0.129036758472119
"Washington County, TX",1,2020-03-21,"stepNA",0.129036758472119
"Washington County, TX",2,2020-03-22,"stepNA",0.129036758472119
"Washington County, TX",3,2020-03-23,"stepNA",0.129036758472119
"Washington County, TX",4,2020-03-24,"stepNA",0.129036758472119
"Washington County, TX",5,2020-03-25,"stepNA",0.129036758472119
"Washington County, TX",6,2020-03-26,"stepNA",0.129036758472119
"Washington County, TX",7,2020-03-27,"stepNA",0.129036758472119
"Washington County, TX",8,2020-03-28,"stepNA",0.129036758472119
"Washington County, TX",9,2020-03-29,"stepNA",0.129036758472119
"Washington County, TX",10,2020-03-30,"stepNA",0.129036758472119
"Washington County, TX",11,2020-03-31,"stepNA",0.129036758472119
"Washington County, TX",12,2020-04-01,"stepNA",0.129036758472119
"Washington County, TX",13,2020-04-02,"stepNA",0.129036758472119
"Washington County, TX",14,2020-04-03,"stepNA",0.129036758472119
"Washington County, TX",15,2020-04-04,"stepNA",0.129036758472119
"Washington County, TX",16,2020-04-05,"stepNA",0.129036758472119
"Washington County, TX",17,2020-04-06,"stepNA",0.129036758472119
"Washington County, TX",18,2020-04-07,"stepNA",0.129036758472119
"Washington County, TX",19,2020-04-08,"stepNA",0.129036758472119
"Washington County, TX",20,2020-04-09,"stepNA",0.129036758472119
"Washington County, TX",21,2020-04-10,"stepNA",0.129036758472119
"Washington County, TX",22,2020-04-11,"stepNA",0.129036758472119
"Washington County, TX",23,2020-04-12,"stepNA",0.129036758472119
"Washington County, TX",24,2020-04-13,"stepNA",0.129036758472119
"Washington County, TX",25,2020-04-14,"stepNA",0.129036758472119
"Washington County, TX",26,2020-04-15,"stepNA",0.129036758472119
"Washington County, TX",27,2020-04-16,"stepNA",0.129036758472119
"Washington County, TX",28,2020-04-17,"stepNA",0.129036758472119
"Washington County, TX",29,2020-04-18,"stepNA",0.129036758472119
"Washington County, TX",30,2020-04-19,"stepNA",0.129036758472119
"Washington County, TX",31,2020-04-20,"stepNA",0.129036758472119
"Washington County, TX",32,2020-04-21,"stepNA",0.129036758472119
"Washington County, TX",33,2020-04-22,"stepNA",0.129036758472119
"Washington County, TX",34,2020-04-23,"stepNA",0.129036758472119
"Washington County, TX",35,2020-04-24,"stepNA",0.129036758472119
"Washington County, TX",36,2020-04-25,"stepNA",0.129036758472119
"Washington County, TX",37,2020-04-26,"stepNA",0.129036758472119
"Washington County, TX",38,2020-04-27,"stepNA",0.129036758472119
"Washington County, TX",39,2020-04-28,"stepNA",0.129036758472119
"Washington County, TX",40,2020-04-29,"stepNA",0.129036758472119
"Washington County, TX",41,2020-04-30,"stepNA",0.129036758472119
"Washington County, TX",42,2020-05-01,"stepNA",0.129036758472119
"Washington County, TX",43,2020-05-02,"stepNA",0.129036758472119
"Washington County, TX",44,2020-05-03,"stepNA",0.129036758472119
"Washington County, TX",45,2020-05-04,"stepNA",0.129036758472119
"Washington County, TX",46,2020-05-05,"stepNA",0.129036758472119
"Washington County, TX",47,2020-05-06,"stepNA",0.129036758472119
"Washington County, TX",48,2020-05-07,"stepNA",0.129036758472119
"Washington County, TX",49,2020-05-08,"stepNA",0.129036758472119
"Washington County, TX",50,2020-05-09,"stepNA",0.129036758472119
"Washington County, TX",51,2020-05-10,"stepNA",0.129036758472119
"Washington County, TX",52,2020-05-11,"stepNA",0.129036758472119
"Washington County, TX",53,2020-05-12,"stepNA",0.129036758472119
"Washington County, TX",53,2020-05-12,"stepNA",0.36
"Washington County, TX",54,2020-05-13,"stepNA",0.36
"Washington County, TX",55,2020-05-14,"stepNA",0.36
"Washington County, TX",55,2020-05-14,"stepNA",0.27
"Washington County, TX",56,2020-05-15,"stepNA",0.27
"Washington County, TX",57,2020-05-16,"stepNA",0.27
"Washington County, TX",57,2020-05-16,"stepNA",0.2
"Washington County, TX",58,2020-05-17,"stepNA",0.2
"Washington County, TX",59,2020-05-18,"stepNA",0.2
"Washington County, TX",59,2020-05-18,"stepNA",0.13
"Washington County, TX",60,2020-05-19,"stepNA",0.13
"Washington County, TX",61,2020-05-20,"stepNA",0.13
"Washington County, TX",61,2020-05-20,"stepNA",0.08
"Washington County, TX",62,2020-05-21,"stepNA",0.08
"Washington County, TX",63,2020-05-22,"stepNA",0.08
"Washington County, TX",63,2020-05-22,"stepNA",0.07
"Washington County, TX",64,2020-05-23,"stepNA",0.07
"Washington County, TX",65,2020-05-24,"stepNA",0.07
"Washington County, TX",65,2020-05-24,"stepNA",0.05
"Washington County, TX",66,2020-05-25,"stepNA",0.05
"Washington County, TX",67,2020-05-26,"stepNA",0.05
"Washington County, TX",67,2020-05-26,"stepNA",0.03
"Washington County, TX",68,2020-05-27,"stepNA",0.03
"Washington County, TX",69,2020-05-28,"stepNA",0.03
"Washington County, TX",69,2020-05-28,"stepNA",0
"Washington County, TX",70,2020-05-29,"stepNA",0
"Washington County, TX",71,2020-05-30,"stepNA",0
"Washington County, TX",71,2020-05-30,"stepNA",0
"Washington County, TX",72,2020-05-31,"stepNA",0
"Washington County, TX",73,2020-06-01,"stepNA",0
"Washington County, TX",73,2020-06-01,"stepNA",0
"Washington County, TX",74,2020-06-02,"stepNA",0
"Washington County, TX",75,2020-06-03,"stepNA",0
