"County.Pretty","abbr","county.just.name","county.ugly","polyname","fips","full"
"Autauga County","AL","Autauga","Autauga","alabama,autauga",1001,"Alabama"
"Baldwin County","AL","Baldwin","Baldwin","alabama,baldwin",1003,"Alabama"
"Barbour County","AL","Barbour","Barbour","alabama,barbour",1005,"Alabama"
"Bibb County","AL","Bibb","Bibb","alabama,bibb",1007,"Alabama"
"Blount County","AL","Blount","Blount","alabama,blount",1009,"Alabama"
"Bullock County","AL","Bullock","Bullock","alabama,bullock",1011,"Alabama"
"Butler County","AL","Butler","Butler","alabama,butler",1013,"Alabama"
"Calhoun County","AL","Calhoun","Calhoun","alabama,calhoun",1015,"Alabama"
"Chambers County","AL","Chambers","Chambers","alabama,chambers",1017,"Alabama"
"Cherokee County","AL","Cherokee","Cherokee","alabama,cherokee",1019,"Alabama"
"Chilton County","AL","Chilton","Chilton","alabama,chilton",1021,"Alabama"
"Choctaw County","AL","Choctaw","Choctaw","alabama,choctaw",1023,"Alabama"
"Clarke County","AL","Clarke","Clarke","alabama,clarke",1025,"Alabama"
"Clay County","AL","Clay","Clay","alabama,clay",1027,"Alabama"
"Cleburne County","AL","Cleburne","Cleburne","alabama,cleburne",1029,"Alabama"
"Coffee County","AL","Coffee","Coffee","alabama,coffee",1031,"Alabama"
"Colbert County","AL","Colbert","Colbert","alabama,colbert",1033,"Alabama"
"Conecuh County","AL","Conecuh","Conecuh","alabama,conecuh",1035,"Alabama"
"Coosa County","AL","Coosa","Coosa","alabama,coosa",1037,"Alabama"
"Covington County","AL","Covington","Covington","alabama,covington",1039,"Alabama"
"Crenshaw County","AL","Crenshaw","Crenshaw","alabama,crenshaw",1041,"Alabama"
"Cullman County","AL","Cullman","Cullman","alabama,cullman",1043,"Alabama"
"Dale County","AL","Dale","Dale","alabama,dale",1045,"Alabama"
"Dallas County","AL","Dallas","Dallas","alabama,dallas",1047,"Alabama"
"DeKalb County","AL","DeKalb","Dekalb","alabama,de kalb",1049,"Alabama"
"Elmore County","AL","Elmore","Elmore","alabama,elmore",1051,"Alabama"
"Escambia County","AL","Escambia","Escambia","alabama,escambia",1053,"Alabama"
"Etowah County","AL","Etowah","Etowah","alabama,etowah",1055,"Alabama"
"Fayette County","AL","Fayette","Fayette","alabama,fayette",1057,"Alabama"
"Franklin County","AL","Franklin","Franklin","alabama,franklin",1059,"Alabama"
"Geneva County","AL","Geneva","Geneva","alabama,geneva",1061,"Alabama"
