"fips","staffed_beds","icu_beds"
"10001",542,38
"10003",1715,93
"10005",379,9
"1001",55,6
"1003",362,44
"1005",30,5
"1007",25,0
"1009",25,6
"1011",30,0
"1013",44,7
"1015",413,24
"1017",0,0
"1019",45,0
"1021",26,6
"1023",25,0
"1025",56,0
"1027",46,4
"1031",99,7
"1033",348,22
"1035",44,0
"1039",128,13
"1041",57,0
"1043",185,12
"1045",77,6
"1047",109,23
"1049",97,12
"1051",70,5
"1053",95,14
"1055",590,40
"1057",45,8
"1059",74,7
"1061",73,6
"1063",20,0
"1065",28,0
"1069",769,66
"1071",92,10
"1073",3650,281
"1077",233,36
"1079",43,6
"1081",372,20
"1083",97,10
"1087",143,0
"1089",1240,58
"1091",37,5
"1093",97,8
"1095",150,20
"1097",1490,76
"1099",49,8
"11001",3077,237
"1101",1018,58
"1103",200,23
"1109",97,9
"1111",15,0
"1113",105,8
"1115",40,6
"1117",246,32
"1119",33,0
"1121",207,14
"1123",80,6
"1125",906,52
"1127",207,12
"1129",15,0
"1131",21,0
"1133",49,4
"12001",1549,66
"12003",81,0
"12005",676,77
"12007",25,0
"12009",1867,157
"12011",4702,525
"12013",15,0
"12015",595,51
"12017",332,40
"12019",459,42
"12021",773,58
"12023",456,27
"12027",49,8
"12031",3119,351
"12033",1258,85
"12035",99,18
"12037",25,0
"12039",24,0
"12045",19,0
"12049",25,0
"12051",25,3
"12053",546,44
"12055",259,38
"12057",3636,411
"12059",20,0
"12061",511,40
"12063",66,7
"12069",1060,118
"12071",1232,141
"12073",822,50
"12079",25,0
"12081",867,98
"12083",817,110
"12085",366,57
"12086",7771,540
"12087",129,14
"12089",54,0
"12091",441,51
"12093",100,8
"12095",4291,334
"12097",575,66
"12099",3967,389
"12101",1312,130
"12103",3307,276
"12105",1580,127
"12107",99,10
"12109",335,47
"12111",728,54
"12113",294,16
"12115",1277,118
"12117",332,38
"12119",40,0
"12121",25,0
"12123",48,6
"12125",145,0
"12127",1434,105
"12131",112,28
"12133",25,0
"13001",34,3
"13005",25,4
"13009",280,12
"13013",56,6
"13015",119,21
"13017",48,5
"13019",51,0
"13021",992,115
"13023",15,0
"13027",25,0
"13031",182,24
"13033",40,0
"13035",25,0
"13039",40,5
"13043",25,6
"13045",197,18
