"cve_ent","poblacion","nombre","X04.02.2020","X05.02.2020","X06.02.2020","X07.02.2020","X08.02.2020","X09.02.2020","X10.02.2020","X11.02.2020","X12.02.2020","X13.02.2020","X14.02.2020","X15.02.2020","X16.02.2020","X17.02.2020","X18.02.2020","X19.02.2020","X20.02.2020","X21.02.2020","X22.02.2020","X23.02.2020","X24.02.2020","X25.02.2020","X26.02.2020","X27.02.2020","X28.02.2020","X29.02.2020","X01.03.2020","X02.03.2020","X03.03.2020","X04.03.2020","X05.03.2020","X06.03.2020","X07.03.2020","X08.03.2020","X09.03.2020","X10.03.2020","X11.03.2020","X12.03.2020","X13.03.2020","X14.03.2020","X15.03.2020","X16.03.2020","X17.03.2020","X18.03.2020","X19.03.2020","X20.03.2020","X21.03.2020","X22.03.2020","X23.03.2020","X24.03.2020","X25.03.2020","X26.03.2020","X27.03.2020","X28.03.2020","X29.03.2020","X30.03.2020","X31.03.2020","X01.04.2020","X02.04.2020","X03.04.2020","X04.04.2020","X05.04.2020","X06.04.2020","X07.04.2020","X08.04.2020","X09.04.2020","X10.04.2020","X11.04.2020","X12.04.2020","X13.04.2020","X14.04.2020","X15.04.2020","X16.04.2020","X17.04.2020","X18.04.2020","X19.04.2020","X20.04.2020","X21.04.2020","X22.04.2020","X23.04.2020","X24.04.2020","X25.04.2020","X26.04.2020","X27.04.2020","X28.04.2020","X29.04.2020","X30.04.2020","X01.05.2020","X02.05.2020","X03.05.2020","X04.05.2020","X05.05.2020","X06.05.2020","X07.05.2020","X08.05.2020","X09.05.2020","X10.05.2020","X11.05.2020","X12.05.2020","X13.05.2020","X14.05.2020","X15.05.2020","X16.05.2020","X17.05.2020","X18.05.2020","X19.05.2020","X20.05.2020","X21.05.2020","X22.05.2020","X23.05.2020","X24.05.2020","X25.05.2020","X26.05.2020","X27.05.2020","X28.05.2020","X29.05.2020","X30.05.2020","X31.05.2020","X01.06.2020","X02.06.2020","X03.06.2020","X04.06.2020","X05.06.2020","X06.06.2020","X07.06.2020","X08.06.2020","X09.06.2020","X10.06.2020"
1,1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,3,3,1,0,1,0,0,1,1,1,1,4,0,0,0,2,1,0,4,0,0,3,3,3,1,1,2,1,2,2,0,2,0,2,2,0
2,3634868,"BAJA CALIFORNIA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,2,5,1,10,5,6,5,6,9,11,8,10,15,10,20,15,16,13,15,16,16,21,12,14,27,18,25,21,20,22,9,28,24,26,24,29,32,25,26,25,31,33,24,29,33,47,31,38,20,25,26,25,28,22,28,28,18,26,22,32,24,18,22,20,30,14,21,2,0
3,804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,2,0,1,0,2,0,1,1,0,0,0,1,1,0,2,0,2,0,2,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,1,2,2,2,0,0,0,1,0
4,1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,2,2,2,1,1,0,3,0,2,2,1,0,1,1,1,1,3,1,2,2,1,4,5,3,2,2,2,3,1,1,1,5,3,3,0,4,2,2,0,1,3,2,1,2,1,2,6,2,0
7,5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,4,0,0,3,1,1,2,4,6,4,5,5,3,2,3,4,5,11,5,2,9,8,10,9,3,9,11,7,9,7,10,17,9,10,13,4,7,9,9,2
8,3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,6,6,4,1,1,4,3,2,6,2,7,4,3,6,8,7,2,14,5,5,6,4,7,8,12,6,9,11,4,10,16,9,8,9,8,7,12,8,8,4,7,11,8,6,1,7,12,2,8,12,6,10,8,5,4,7,6,5,2,6,7,3,6,0,0
9,9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,3,1,2,4,7,5,5,7,4,4,16,10,6,17,22,21,10,14,23,21,23,16,22,29,24,36,26,28,38,45,44,40,35,52,63,53,46,59,52,65,68,56,62,60,68,63,74,75,79,84,79,85,96,79,64,93,80,80,76,81,71,73,78,58,54,83,72,46,66,64,58,49,45,31,24,1
5,3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,2,1,4,0,1,1,0,0,1,4,1,3,0,0,2,4,2,2,2,2,2,2,0,2,0,0,0,1,2,4,1,3,1,1,1,1,2,0,0,0,2,4,2,0,0,1,1,1,1,5,1,2,0,3,4,1,1,0,1,0,3,2,3,2,2,0,0
6,785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,1,0,4,0,2,1,0,1,0,2,1,0,1,0,1,2,2,0,0,0
10,1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2,1,0,0,0,0,2,1,0,0,0,1,2,3,2,1,0,0,3,1,0,0,3,2,2,2,2,3,0,3,1,3,1,1,3,0,1,0,0,0
