"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-07,0.16,1,3.01324227980893
0.56,0.25,2020-02-07,0.16,1,3.01632690943137
0.57,0.25,2020-02-07,0.16,1,3.01938132103481
0.58,0.25,2020-02-07,0.16,1,3.02240579765495
0.59,0.25,2020-02-07,0.16,1,3.02540060507806
0.6,0.25,2020-02-07,0.16,1,3.02836602722666
0.61,0.25,2020-02-07,0.16,1,3.03130232716584
0.62,0.25,2020-02-07,0.16,1,3.03420977756685
0.63,0.25,2020-02-07,0.16,1,3.03708863765462
0.64,0.25,2020-02-07,0.16,1,3.03993921154995
0.65,0.25,2020-02-07,0.16,1,3.04276175899326
0.66,0.25,2020-02-07,0.16,1,3.04555654295377
0.67,0.25,2020-02-07,0.16,1,3.04832378656701
0.68,0.25,2020-02-07,0.16,1,3.05106380228291
0.69,0.25,2020-02-07,0.16,1,3.05377683831401
0.7,0.25,2020-02-07,0.16,1,3.05646315793882
0.71,0.25,2020-02-07,0.16,1,3.05912301606676
0.72,0.25,2020-02-07,0.16,1,3.06175667879569
0.73,0.25,2020-02-07,0.16,1,3.06436441027622
0.74,0.25,2020-02-07,0.16,1,3.06694646123264
0.75,0.25,2020-02-07,0.16,1,3.08544363187908
0.76,0.25,2020-02-07,0.16,1,3.0720345317517
0.77,0.25,2020-02-07,0.16,1,3.07454106643995
0.78,0.25,2020-02-07,0.16,1,3.07702293255147
0.79,0.25,2020-02-07,0.16,1,3.07948037897999
0.8,0.25,2020-02-07,0.16,1,3.08191365303747
0.81,0.25,2020-02-07,0.16,1,3.08432300035118
0.82,0.25,2020-02-07,0.16,1,3.08670866481733
0.83,0.25,2020-02-07,0.16,1,3.08907088864373
0.84,0.25,2020-02-07,0.16,1,3.09140991215121
0.85,0.25,2020-02-07,0.16,1,3.09372597421182
0.86,0.25,2020-02-07,0.16,1,3.09601931455204
0.87,0.25,2020-02-07,0.16,1,3.0982901626336
0.88,0.25,2020-02-07,0.16,1,3.10053875460795
0.89,0.25,2020-02-07,0.16,1,3.10276532425932
0.9,0.25,2020-02-07,0.16,1,3.10497009655159
0.91,0.25,2020-02-07,0.16,1,3.1071533015665
0.92,0.25,2020-02-07,0.16,1,3.10931516523793
0.93,0.25,2020-02-07,0.16,1,3.11145591163451
0.94,0.25,2020-02-07,0.16,1,3.11357576428518
0.95,0.25,2020-02-07,0.16,1,3.11567494091922
0.55,0.3,2020-02-07,0.16,1,3.04031217798329
0.56,0.3,2020-02-07,0.16,1,3.04325842956828
0.57,0.3,2020-02-07,0.16,1,3.04617555666277
0.58,0.3,2020-02-07,0.16,1,3.04906383066538
0.59,0.3,2020-02-07,0.16,1,3.05192353081574
0.6,0.3,2020-02-07,0.16,1,3.0547549102766
0.61,0.3,2020-02-07,0.16,1,3.05755823560899
0.62,0.3,2020-02-07,0.16,1,3.06033381667967
0.63,0.3,2020-02-07,0.16,1,3.06308186075646
0.64,0.3,2020-02-07,0.16,1,3.06580266582509
0.65,0.3,2020-02-07,0.16,1,3.0684964884838
0.66,0.3,2020-02-07,0.16,1,3.0711635696198
0.67,0.3,2020-02-07,0.16,1,3.07380422696488
0.68,0.3,2020-02-07,0.16,1,3.07641869018114
0.69,0.3,2020-02-07,0.16,1,3.07900721723086
0.7,0.3,2020-02-07,0.16,1,3.08157007347321
0.71,0.3,2020-02-07,0.16,1,3.08410750436882
0.72,0.3,2020-02-07,0.16,1,3.08661976668002
0.73,0.3,2020-02-07,0.16,1,3.08910711354894
0.74,0.3,2020-02-07,0.16,1,3.09156979675996
