"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.55,0.1,0.25,2020-01-31,0.3,2,37.3878611228101
0.56,0.1,0.25,2020-01-31,0.3,2,36.8704647913237
0.57,0.1,0.25,2020-01-31,0.3,2,36.35509457384
0.58,0.1,0.25,2020-01-31,0.3,2,35.8421403014745
0.59,0.1,0.25,2020-01-31,0.3,2,35.331511531027
0.6,0.1,0.25,2020-01-31,0.3,2,34.8232513476365
0.61,0.1,0.25,2020-01-31,0.3,2,34.3173257273161
0.62,0.1,0.25,2020-01-31,0.3,2,33.8137296393614
0.63,0.1,0.25,2020-01-31,0.3,2,33.3125432279257
0.64,0.1,0.25,2020-01-31,0.3,2,32.8137948327164
0.65,0.1,0.25,2020-01-31,0.3,2,32.3174725142091
0.66,0.1,0.25,2020-01-31,0.3,2,31.8235195882318
0.67,0.1,0.25,2020-01-31,0.3,2,31.3319475587417
0.68,0.1,0.25,2020-01-31,0.3,2,30.8429528024318
0.69,0.1,0.25,2020-01-31,0.3,2,30.3564977143998
0.7,0.1,0.25,2020-01-31,0.3,2,29.8723555182048
0.71,0.1,0.25,2020-01-31,0.3,2,29.3908805681078
0.72,0.1,0.25,2020-01-31,0.3,2,28.9120028521306
0.73,0.1,0.25,2020-01-31,0.3,2,28.4356591126747
0.74,0.1,0.25,2020-01-31,0.3,2,27.9619510376747
0.75,0.1,0.25,2020-01-31,0.3,2,27.4911676726494
0.76,0.1,0.25,2020-01-31,0.3,2,27.0226842688369
0.77,0.1,0.25,2020-01-31,0.3,2,26.5571871910867
0.78,0.1,0.25,2020-01-31,0.3,2,26.0943057749916
0.79,0.1,0.25,2020-01-31,0.3,2,25.634518551205
0.8,0.1,0.25,2020-01-31,0.3,2,25.1772645596124
0.81,0.1,0.25,2020-01-31,0.3,2,24.7231775748191
0.82,0.1,0.25,2020-01-31,0.3,2,24.2718735466622
0.83,0.1,0.25,2020-01-31,0.3,2,23.8237356202381
0.84,0.1,0.25,2020-01-31,0.3,2,23.3786692135062
0.85,0.1,0.25,2020-01-31,0.3,2,22.9367883652607
0.86,0.1,0.25,2020-01-31,0.3,2,22.4981171396856
0.87,0.1,0.25,2020-01-31,0.3,2,22.0628455389338
0.88,0.1,0.25,2020-01-31,0.3,2,21.6308244125141
0.89,0.1,0.25,2020-01-31,0.3,2,21.2023217316553
0.9,0.1,0.25,2020-01-31,0.3,2,20.7773726039385
0.91,0.1,0.25,2020-01-31,0.3,2,20.3561034653947
0.92,0.1,0.25,2020-01-31,0.3,2,19.9387510401472
0.93,0.1,0.25,2020-01-31,0.3,2,19.525864460917
0.94,0.1,0.25,2020-01-31,0.3,2,19.1183495674961
0.95,0.1,0.25,2020-01-31,0.3,2,18.7165434764501
