"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","loss"
0.55,0.25,2020-03-06,0.48,207.013293534285
0.56,0.25,2020-03-06,0.48,191.23321794098
0.57,0.25,2020-03-06,0.48,176.019961550808
0.58,0.25,2020-03-06,0.48,161.355552277106
0.59,0.25,2020-03-06,0.48,147.222919054006
0.6,0.25,2020-03-06,0.48,133.605189717402
0.61,0.25,2020-03-06,0.48,120.48646526573
0.62,0.25,2020-03-06,0.48,107.851553250311
0.63,0.25,2020-03-06,0.48,95.685970310346
0.64,0.25,2020-03-06,0.48,83.9765058776137
0.65,0.25,2020-03-06,0.48,72.7114475051087
0.66,0.25,2020-03-06,0.48,61.8811393078777
0.67,0.25,2020-03-06,0.48,51.4797508706867
0.68,0.25,2020-03-06,0.48,41.5083734356097
0.69,0.25,2020-03-06,0.48,31.9833726482802
0.7,0.25,2020-03-06,0.48,22.9629247650158
0.71,0.25,2020-03-06,0.48,14.6568769855475
0.72,0.25,2020-03-06,0.48,8.11000845405827
0.73,0.25,2020-03-06,0.48,7.84689013471636
0.74,0.25,2020-03-06,0.48,13.5813197448807
0.75,0.25,2020-03-06,0.48,20.5634526114296
0.76,0.25,2020-03-06,0.48,27.1670269463394
0.77,0.25,2020-03-06,0.48,32.9496421005629
0.78,0.25,2020-03-06,0.48,34.8955750680333
0.79,0.25,2020-03-06,0.48,36.7785130177988
0.8,0.25,2020-03-06,0.48,38.5997009585228
0.81,0.25,2020-03-06,0.48,40.3606076997712
0.82,0.25,2020-03-06,0.48,42.0628216736129
0.83,0.25,2020-03-06,0.48,43.7080178311536
0.84,0.25,2020-03-06,0.48,45.2979062229247
0.85,0.25,2020-03-06,0.48,46.8342090784857
0.86,0.25,2020-03-06,0.48,48.3186467914674
0.87,0.25,2020-03-06,0.48,49.7529259000893
0.88,0.25,2020-03-06,0.48,51.1387205989597
0.89,0.25,2020-03-06,0.48,52.4774007403905
0.9,0.25,2020-03-06,0.48,53.7568173305513
0.91,0.25,2020-03-06,0.48,54.9585961404822
0.92,0.25,2020-03-06,0.48,56.0776618000878
0.93,0.25,2020-03-06,0.48,57.1150141822712
0.94,0.25,2020-03-06,0.48,58.0749640241465
0.95,0.25,2020-03-06,0.48,58.9635021148856
0.55,0.3,2020-03-06,0.48,176.024648770577
0.56,0.3,2020-03-06,0.48,161.260110241157
0.57,0.3,2020-03-06,0.48,147.033425455583
0.58,0.3,2020-03-06,0.48,133.327888078235
0.59,0.3,2020-03-06,0.48,120.127695834609
0.6,0.3,2020-03-06,0.48,107.417345239537
0.61,0.3,2020-03-06,0.48,95.1826279512863
0.62,0.3,2020-03-06,0.48,83.4099582359216
0.63,0.3,2020-03-06,0.48,72.0873764805024
0.64,0.3,2020-03-06,0.48,61.2044479288722
0.65,0.3,2020-03-06,0.48,50.7537996664975
0.66,0.3,2020-03-06,0.48,40.7331356115474
0.67,0.3,2020-03-06,0.48,31.1513753391148
0.68,0.3,2020-03-06,0.48,22.0476245287339
0.69,0.3,2020-03-06,0.48,13.5764502781619
0.7,0.3,2020-03-06,0.48,6.66756981491077
0.71,0.3,2020-03-06,0.48,6.843980407264
0.72,0.3,2020-03-06,0.48,13.1217914208417
0.73,0.3,2020-03-06,0.48,20.0102489304937
0.74,0.3,2020-03-06,0.48,26.6016759919055
0.75,0.3,2020-03-06,0.48,32.4698289469814
0.76,0.3,2020-03-06,0.48,35.9374117079742
0.77,0.3,2020-03-06,0.48,37.8417583314474
0.78,0.3,2020-03-06,0.48,39.6820603836799
0.79,0.3,2020-03-06,0.48,41.4601125174024
0.8,0.3,2020-03-06,0.48,43.4987786872969
0.81,0.3,2020-03-06,0.48,44.8368517387759
0.82,0.3,2020-03-06,0.48,46.4393086015796
