"Stay At Home Order","State-Mandated School Closures","Non-Essential Business Closures","start_date","b1","initial.infected","loss"
0.55,0.1,0.25,2020-03-20,0.15,1,0.0584576386693441
0.56,0.1,0.25,2020-03-20,0.15,1,0.0583994733056945
0.57,0.1,0.25,2020-03-20,0.15,1,0.0583414027638352
0.58,0.1,0.25,2020-03-20,0.15,1,0.0582834268859239
0.59,0.1,0.25,2020-03-20,0.15,1,0.0582255455143626
0.6,0.1,0.25,2020-03-20,0.15,1,0.0581677584917973
0.61,0.1,0.25,2020-03-20,0.15,1,0.0581100656611171
0.62,0.1,0.25,2020-03-20,0.15,1,0.0580524668654547
0.63,0.1,0.25,2020-03-20,0.15,1,0.0579949619481852
0.64,0.1,0.25,2020-03-20,0.15,1,0.0579375507529259
0.65,0.1,0.25,2020-03-20,0.15,1,0.0578802331235357
0.66,0.1,0.25,2020-03-20,0.15,1,0.0578230089041152
0.67,0.1,0.25,2020-03-20,0.15,1,0.0577658779390051
0.68,0.1,0.25,2020-03-20,0.15,1,0.0577088400727868
0.69,0.1,0.25,2020-03-20,0.15,1,0.0576518951502815
0.7,0.1,0.25,2020-03-20,0.15,1,0.0575950430165494
0.71,0.1,0.25,2020-03-20,0.15,1,0.0575382835168892
0.72,0.1,0.25,2020-03-20,0.15,1,0.0574816164968375
0.73,0.1,0.25,2020-03-20,0.15,1,0.0574250418021684
0.74,0.1,0.25,2020-03-20,0.15,1,0.0573685592788923
0.75,0.1,0.25,2020-03-20,0.15,1,0.0573121687732554
0.76,0.1,0.25,2020-03-20,0.15,1,0.0572558701317389
0.77,0.1,0.25,2020-03-20,0.15,1,0.0571996632010578
0.78,0.1,0.25,2020-03-20,0.15,1,0.0571435478281601
0.79,0.1,0.25,2020-03-20,0.15,1,0.0570875238602258
0.8,0.1,0.25,2020-03-20,0.15,1,0.0570315911446652
0.81,0.1,0.25,2020-03-20,0.15,1,0.0569757495291177
0.82,0.1,0.25,2020-03-20,0.15,1,0.0569199988614505
