"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","initial.infected","loss"
0.55,0.25,2020-02-21,0.7,2,5047.35963902157
0.56,0.25,2020-02-21,0.7,2,4833.43540486556
0.57,0.25,2020-02-21,0.7,2,4625.1131222165
0.58,0.25,2020-02-21,0.7,2,4422.29448682178
0.59,0.25,2020-02-21,0.7,2,4224.88038821379
0.6,0.25,2020-02-21,0.7,2,4032.7715207559
0.61,0.25,2020-02-21,0.7,2,3845.86712601045
0.62,0.25,2020-02-21,0.7,2,3664.05849023605
0.63,0.25,2020-02-21,0.7,2,3487.25087124015
0.64,0.25,2020-02-21,0.7,2,3315.33836424095
0.65,0.25,2020-02-21,0.7,2,3148.21748663663
0.66,0.25,2020-02-21,0.7,2,2985.7863872347
0.67,0.25,2020-02-21,0.7,2,2827.94145949526
0.68,0.25,2020-02-21,0.7,2,2674.57989044709
0.69,0.25,2020-02-21,0.7,2,2525.60195682295
0.7,0.25,2020-02-21,0.7,2,2380.905239334
0.71,0.25,2020-02-21,0.7,2,2240.39121591753
0.72,0.25,2020-02-21,0.7,2,2103.96144494396
0.73,0.25,2020-02-21,0.7,2,1971.5174838834
0.74,0.25,2020-02-21,0.7,2,1842.96451759114
0.75,0.25,2020-02-21,0.7,2,1718.20830101525
0.76,0.25,2020-02-21,0.7,2,1597.15653529374
0.77,0.25,2020-02-21,0.7,2,1479.71872056668
0.78,0.25,2020-02-21,0.7,2,1365.80689350318
0.79,0.25,2020-02-21,0.7,2,1255.33625567208
0.8,0.25,2020-02-21,0.7,2,1148.22367597423
0.81,0.25,2020-02-21,0.7,2,1044.39025806081
0.82,0.25,2020-02-21,0.7,2,943.76157524452
0.83,0.25,2020-02-21,0.7,2,846.268140687326
0.84,0.25,2020-02-21,0.7,2,751.847543155598
0.85,0.25,2020-02-21,0.7,2,660.448152519309
0.86,0.25,2020-02-21,0.7,2,572.03156464753
0.87,0.25,2020-02-21,0.7,2,486.587615274751
0.88,0.25,2020-02-21,0.7,2,404.148423838783
0.89,0.25,2020-02-21,0.7,2,324.831156487897
0.9,0.25,2020-02-21,0.7,2,249.089643187948
0.91,0.25,2020-02-21,0.7,2,179.501854005337
0.92,0.25,2020-02-21,0.7,2,119.210190269442
0.93,0.25,2020-02-21,0.7,2,71.2350144089337
0.94,0.25,2020-02-21,0.7,2,44.8058230790427
0.95,0.25,2020-02-21,0.7,2,52.1066184553606
0.55,0.3,2020-02-21,0.7,2,5047.35963902157
0.56,0.3,2020-02-21,0.7,2,4833.43540486556
0.57,0.3,2020-02-21,0.7,2,4625.1131222165
0.58,0.3,2020-02-21,0.7,2,4422.29448682178
0.59,0.3,2020-02-21,0.7,2,4224.88038821379
0.6,0.3,2020-02-21,0.7,2,4032.7715207559
0.61,0.3,2020-02-21,0.7,2,3845.86712601045
